tree,n_missing_total,n_missing_1980_on,n_outliers_total
MER01A_raw,53,34,1
MER01B_raw,216,33,6
MER02A_raw,168,33,5
MER02B_raw,220,33,2
MER02C_raw,276,33,1
MER03A_raw,267,33,2
MER03B_raw,293,33,1
MER04A_raw,381,33,1
MER04B_raw,303,33,1
MER04C_raw,315,33,0
MER11A1_raw,365,45,2
MER11A2_raw,363,33,0
MER11B_raw,189,33,2
MER12A_raw,72,33,8
MER12B_raw,33,33,4
MER13A1_raw,256,45,3
MER13B_raw,132,33,2
MER14A_raw,220,45,1
MER15B_raw,235,33,1
MER16A2_raw,144,34,5
MER16B_raw,293,33,1
MER17A_raw,343,33,2
MER17B_raw,189,33,3
MER18A_raw,297,33,2
