age_CE,231032_raw,231047_raw,231061_raw,231082_raw,231254_raw,231266_raw,231032_raw_outlier_flag,231047_raw_outlier_flag,231061_raw_outlier_flag,231082_raw_outlier_flag,231254_raw_outlier_flag,231266_raw_outlier_flag
1600,NA,NA,NA,0.56,0.67,NA,NA,NA,NA,FALSE,FALSE,NA
1601,NA,NA,NA,0.4,1.01,NA,NA,NA,NA,FALSE,FALSE,NA
1602,NA,NA,NA,0.59,0.87,NA,NA,NA,NA,FALSE,FALSE,NA
1603,NA,NA,NA,1.1,4.8,NA,NA,NA,NA,FALSE,TRUE,NA
1604,NA,NA,NA,0.8,4.32,NA,NA,NA,NA,FALSE,TRUE,NA
1605,NA,NA,NA,1.27,3.24,NA,NA,NA,NA,FALSE,TRUE,NA
1606,NA,NA,NA,1.18,2.8,NA,NA,NA,NA,FALSE,FALSE,NA
1607,NA,NA,NA,1.5,2.7,NA,NA,NA,NA,FALSE,FALSE,NA
1608,NA,NA,NA,1.34,2.02,NA,NA,NA,NA,FALSE,FALSE,NA
1609,NA,NA,NA,2.27,2.54,NA,NA,NA,NA,FALSE,FALSE,NA
1610,NA,NA,NA,2.54,3.12,NA,NA,NA,NA,FALSE,TRUE,NA
1611,NA,NA,NA,3.84,2.34,NA,NA,NA,NA,TRUE,FALSE,NA
1612,NA,NA,NA,3.62,1.02,NA,NA,NA,NA,TRUE,FALSE,NA
1613,1.67,NA,NA,1.64,0.75,NA,FALSE,NA,NA,FALSE,FALSE,NA
1614,2.5,NA,NA,2.1,0.76,NA,FALSE,NA,NA,FALSE,FALSE,NA
1615,1.2,NA,NA,2.16,0.66,NA,FALSE,NA,NA,FALSE,FALSE,NA
1616,1.71,NA,NA,2.28,0.98,NA,FALSE,NA,NA,FALSE,FALSE,NA
1617,2.86,NA,NA,2.67,1.7,NA,FALSE,NA,NA,FALSE,FALSE,NA
1618,4,NA,NA,3.5,2.26,3.6,TRUE,NA,NA,TRUE,FALSE,TRUE
1619,3.18,NA,NA,2.74,1.82,1.42,TRUE,NA,NA,FALSE,FALSE,FALSE
1620,4.24,NA,NA,4.2,2.52,3.6,TRUE,NA,NA,TRUE,FALSE,TRUE
1621,4.44,NA,NA,3.6,3.02,3.2,TRUE,NA,NA,TRUE,TRUE,TRUE
1622,2.34,NA,NA,1.94,2.24,2.28,FALSE,NA,NA,FALSE,FALSE,FALSE
1623,1.73,NA,NA,2.06,1.62,1.02,FALSE,NA,NA,FALSE,FALSE,FALSE
1624,2.1,NA,NA,2.16,2.84,0.82,FALSE,NA,NA,FALSE,FALSE,FALSE
1625,3.34,NA,NA,3.16,2.76,1.67,TRUE,NA,NA,TRUE,FALSE,FALSE
1626,1.46,NA,NA,1.61,0.97,0.26,FALSE,NA,NA,FALSE,FALSE,FALSE
1627,2.52,NA,NA,3.08,2.94,0.74,FALSE,NA,NA,TRUE,TRUE,FALSE
1628,1.87,NA,NA,1.86,1.91,1.05,FALSE,NA,NA,FALSE,FALSE,FALSE
1629,2.07,NA,NA,2.72,3.05,3.02,FALSE,NA,NA,FALSE,TRUE,TRUE
1630,2.13,NA,NA,3.36,2.13,2.34,FALSE,NA,NA,TRUE,FALSE,FALSE
1631,1.74,NA,NA,2.51,3.22,1.66,FALSE,NA,NA,FALSE,TRUE,FALSE
1632,0.91,NA,0.63,1.06,0.66,0.44,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1633,2.49,NA,3.26,3.47,3.53,2.3,FALSE,NA,TRUE,TRUE,TRUE,FALSE
1634,1.88,NA,3.21,2.5,3.21,2.74,FALSE,NA,TRUE,FALSE,TRUE,FALSE
1635,1.31,NA,2.58,1.53,2.6,3.06,FALSE,NA,FALSE,FALSE,FALSE,TRUE
1636,0.93,NA,1.27,0.98,0.98,0.74,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1637,0.32,NA,1.32,0.29,0.46,0.31,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1638,0.29,NA,0.7,0.22,0.2,0.04,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1639,1.26,NA,1.42,0.85,0.83,0.63,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1640,1.7,NA,3.1,1.75,1.1,1.03,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1641,2.27,NA,2.8,2.36,2.53,3.24,FALSE,NA,FALSE,FALSE,FALSE,TRUE
1642,2.71,NA,2.68,1.71,2.32,2.86,FALSE,NA,FALSE,FALSE,FALSE,TRUE
1643,1.7,NA,1.73,1.39,0.97,1.36,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1644,2.05,NA,2.83,2.84,2.07,2.3,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1645,2.9,NA,3.36,2.58,2.09,3.26,FALSE,NA,TRUE,FALSE,FALSE,TRUE
1646,1.26,NA,2.01,0.79,0.69,1.13,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1647,1.89,NA,1.96,2.1,1.53,2.27,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1648,1.33,NA,1.39,0.93,1.29,0.97,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1649,2.43,NA,3.24,4.2,1.72,2.16,FALSE,NA,TRUE,TRUE,FALSE,FALSE
1650,2.81,NA,3.2,2.54,0.83,2.7,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1651,2.44,NA,3.29,2.48,1.32,2.94,FALSE,NA,TRUE,FALSE,FALSE,TRUE
1652,2.71,NA,3.04,1.9,2.13,2.06,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1653,0.9,NA,1.73,0.5,1.09,0.84,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1654,1.04,NA,1.27,0.75,0.56,0.61,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1655,1.4,NA,3.4,1.76,1.05,1.12,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1656,1.7,NA,3.52,1.8,1.91,1.89,FALSE,NA,TRUE,FALSE,FALSE,FALSE
1657,1.46,NA,2.8,1.87,0.72,0.68,FALSE,NA,FALSE,FALSE,FALSE,FALSE
1658,0.91,1.23,0.9,0.56,0.45,0.49,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1659,1.71,2.52,1.64,1.26,1.1,1.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1660,1.63,6,3.24,1.95,1.43,1.85,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1661,1.41,5,3.1,1.47,1.32,2.56,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
1662,1.54,4.18,2.6,1.09,0.89,1.65,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1663,1.43,4.28,2.8,1.7,1.5,1.58,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
1664,1.57,3.84,2.14,1.05,0.95,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1665,1.01,3.56,2.08,1.12,0.87,1.02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1666,0.57,2.04,0.91,0.39,0.25,0.35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1667,0.01,0.93,0.34,0.03,0.03,0.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
