age_CE,015011_raw,015012_raw,015021_raw,015022_raw,015031_raw,015032_raw,015041_raw,015051_raw,015011_raw_outlier_flag,015012_raw_outlier_flag,015021_raw_outlier_flag,015022_raw_outlier_flag,015031_raw_outlier_flag,015032_raw_outlier_flag,015041_raw_outlier_flag,015051_raw_outlier_flag
1521,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1522,NA,NA,NA,NA,NA,NA,0.31,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1523,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1524,NA,NA,NA,NA,NA,NA,0.45,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1525,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1526,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1527,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1528,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1529,NA,NA,NA,NA,NA,NA,0.06,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1530,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1531,NA,NA,NA,NA,NA,NA,0.61,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1532,NA,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1533,NA,NA,NA,NA,NA,NA,0.32,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1534,NA,NA,NA,NA,NA,NA,0.49,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1535,NA,NA,NA,NA,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1536,NA,NA,NA,NA,NA,NA,0.65,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1537,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1538,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1539,NA,NA,NA,NA,NA,NA,0.82,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1540,NA,NA,NA,NA,NA,NA,0.57,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1541,NA,NA,NA,NA,NA,NA,0.47,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1542,NA,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1543,NA,NA,NA,NA,NA,NA,0.64,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1544,NA,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
1545,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,FALSE,NA
