Column Name,Description,Possible values/ units
SIData_S1_GrowthCompetition_CO_ABLA_20180428,,
State,"Transect name (CO, MT, WA)",
Species,4 letter species code,"ABLA = Abies lasiocarpa, TSHE= Tsuga heterophylla, PIPO= Pinus ponderosa, POTR= Populus tremuloides, PSME=Pseudotsuga menziesii"
Band,Elevation Band,"L= low range margin, M=mid elevation range center, H= high range margin"
Pair,Tree pair,15-Jan
Comp,Competitive classification,"H= high, L= low; each tree pair has one H and one L"
Tag,Tree tag ,Species-Band-PairComp
PairUn,Unique tage for each tree pair,Band-PairComp
Lat,Latitude,decimal degrees
Long,Longitude,decimal degrees
Elev,Elevation,m
Aspect,Aspect,degrees
Slope,Slope,%
DBH,Diameter at Breast Height (1.3m),cm
Bark,Bark thickness,cm
Height,tree height,m
BA_totLR,Total living and recent dead basal area in variable radius wedge prism,
BA_totLRsc,"BA_totLR, z-score standardized based on Species-replicate mean and SD",
in5_tot,number of total trees >10cm DBH within 5m of focal tree,
in5_totsc,"in5_tot, z-score standardized based on Species-replicate mean and SD",
N_Cr,Number of crowns touching the focal crown,
N_Crsc,"N_Cr, z-score standardized based on Species-replicate mean and SD",
ACF,active crown fraction,% height bearing foliage
ACFsc,z-score standardized ACF,
BAI10yr,10yr (2003-2012) mean basal area increment,mm^2
,,
SIData_S2_RingWidths_CO_ABLA_20180428,,
State,Transect name (State),"CO, MT, WA"
Species,4 letter species code,"ABLA = Abies lasiocarpa, TSHE= Tsuga heterophylla, PIPO= Pinus ponderosa, POTR= Populus tremuloides, PSME=Pseudotsuga menziesii"
Elev,"Elevation Band (L, M, H), corresponds to Band in S1",
Tree,Tree number,
Tag,long tree tag,
2013,Year of growth,mm
...,,
,,
SIData_S3_All_summaries_20180428,,
State,Transect name (State),"CO, MT, WA"
Species,4 letter species code,"ABLA = Abies lasiocarpa, TSHE= Tsuga heterophylla, PIPO= Pinus ponderosa, POTR= Populus tremuloides, PSME=Pseudotsuga menziesii"
St_Sp,unique ID for each species-replicate,
BandUn,Unique ID for each elevation band,
Band,"elevation band (L,M,H; corresponds to 'Band' in S1)",
Ntrees,# of trees in elevation band,
corr.mod.mean,"mean pairwise pearson correlation, estimated by backtransforming intercept from beta-regression model",
corr.mod.lse,lower se for mean correlation estimate from beta-regression,
corr.mod.use,upper se for mean correlation estimate from beta-regression,
BAI.mod.mean.int,mean size-and competition-standardized 10yr Basal Area Increment from linear and linear mixed models,
BAI.mod.mean.sc.int,z-score standardized BAI.mod.mean based on mean and sd across all species replicates,
BAI.prop.int,BAI.mod.mean as proportion of max species-replicate BAI (i.e. as proportion of max growth at 'benign' boundary),
CompSens.mean.int,Sensitivity to competition (growth suppression from +1sd increase in competitive environment,mm^2
CompSens.mean.int.rev,"(-1)* ComSense, for plotting",
CompSens.prop.int,CompSense as proportion of BAI.mod.mean.int,
CompSens.se.int,Standard Error for CompSens.mean.int,
reg.mod.prop,"mean regeneration density, as proportion of species-replicate max regeneration density",
Survival.mod.mean,mean 5yr survival rate,
xval,x value for plotting,
