Site Name,Date Visited,Collected By,Fire History,Latitude,Longitude,x,y,Aspect,Slope,Vegetation Type ,Observations
ESC,6/1/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.830259,-106.365132,-106.365132,35.830259,SE,50,Open QUGA,"Lots of dead & down - mostly live pre-fire, Small PIPO refugium directly to NW of site, Burned in La Mesa 1977 & an Rx 1990. Counted 84 oak seedlings!"
FR2,6/2/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.813779,-106.396923,-106.396923,35.813779,NNW,40,Open QUGA,"Moderately heavy d and d, with scrubby locust/rose/oak, aspen thicket to NW, grass groundcover"
SAW,6/2/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.828177,-106.433925,-106.433925,35.828177,W,5,Open PIPO,"Very open stand, grass/forb understory, copious d&d, light regen noted, denser live trees fleas d&d to n & s"
UWF,6/2/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.838438,-106.42808,-106.42808,35.838438,SW,55,Open QUGA,"Rocky canyon slope, grass dominated understory, aspen regen to E &S, live trees in vicinity restricted to ridge tops and isolated pockets"
UEF,6/2/2021 18:00,"M. Kunkel, E. McClure",Las_Conchas_2011,35.844218,-106.408133,-106.408133,35.844218,SW,15,PSME,"PIST, ABCO, PIPO nearby, verdant understory, high mortality of small trees, overstory mostly intact"
ABR,6/3/2021 18:00,"M. Kunkel, E. McClure, J. Coop, E. Margolis",Las_Conchas_2011,35.924949,-106.492647,-106.492647,35.924949,SSW,10,Grassland,"Mix of native and invasive grasses, mullein, thick potr regen to s of plot, brte & Kentucky blue grass present, pleasing fungus beetle. sparse pipo/potr regen"
ABH3,6/3/2021 18:00,"M. Kunkel, E. McClure, J. Coop, E. Margolis",Thompson_Ridge_2013,35.911271,-106.570259,-106.570259,35.911271,NNW,25,Grassland,"Nonnative grass, timber harvest. Logged before fire, sparse shrubs, intact mixed con to S"
ABH3-01,6/3/2021 18:00,"M. Kunkel, E. McClure, J. Coop, E. Margolis",Thompson_Ridge_2013,35.911227,-106.569921,-106.569921,35.911227,NE,20,"Grass/forb, ABCO","D&d, edge of MC & old timber harvest, understory lots of Vaccinium myrtilus, sweet view, on nose ridge line.  Interesting patchiness to burn -moved thru crown not surface?"
NAB-11,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.919451,-106.586453,-106.586453,35.919451,W,20,Open ABCO/PIST ,"Edge of narrow ridge line, grassy/rocky w/ sparse regen on E side, steep hillside w/ lots of dead standing & down on W side, some cut stumps (pre-fire)"
ABU-14,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.91885,-106.582501,-106.582501,35.91885,S,35,PIPO/mixed conifer,"Oak & shrub understory, mostly ABCO & PIPO, sparse d&d, just below top of E-W ridgeline"
ABU-03,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.915585,-106.583199,-106.583199,35.915585,SE,15,PIPO,"Nearly pure PIPO to N, mixed con to S, at edge of small NW-SE drainage, light d&d, open, grassy understory, "
ABL-04,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.913225,-106.575001,-106.575001,35.913225,NW,15,Mixed conifer,"Plot center @ sampled log/stump! Some aspen, moderate d&d, ample regen along w/grasses &forbs, pleasing fungus beetle!"
ABL-01,6/4/2021 18:00,"M. Kunkel, E. McClure",Thompson_Ridge_2013,35.914182,-106.578524,-106.578524,35.914182,W,30,Open mixed conifer,"Plot center at sampled fire scarred tree, in erosion area, mostly rock sand and dirt. plot center at sampled tree on rock/dirt slope with very small isolated grass patches"
ALA2-30,6/4/2021 18:00,"M. Kunkel, E. McClure ",Thompson_Ridge_2013,35.911723,-106.584331,-106.584331,35.911723,WNW,20,Mixed conifer,"moderately dense stand. Plot center at sampled live PIST, charred treee bases & dead saplings, little effect of fire on overstory"
