Site Name,ID,mtnrange,PIPO,PIST,PIAR5,PSME,ABCO,PIEN,JUOS,POTR,count_conifer,count_total
CRC_18,Inigu_CRC18,Catalina,0,0,0,0,0,0,0,0,0,0
CRC_2,Inigu_CRC2,Catalina,0,0,0,0,0,0,0,0,0,0
CRC_20,Inigu_CRC20,Catalina,0,0,0,0,0,0,0,0,0,0
CRC_22,Inigu_CRC22,Catalina,0,0,0,0,0,0,0,0,0,0
CRC_9,Inigu_CRC9,Catalina,0,0,0,0,0,0,0,0,0,0
ES,Farri_ES,Rincon,0,0,0,1,0,0,0,0,1,1
ESC,Allen_ESC,Jemez,0,0,0,0,0,0,0,0,0,0
FP-1-010,Fule__FP,Kaibab,0,0,0,0,0,0,0,0,0,0
FP-2-019,Fule__FP,Kaibab,0,0,0,0,0,0,0,0,0,0
FR2,Allen_FR2,Jemez,0,0,0,0,0,0,0,0,0,0
G14,O.Con_G14,Pinaleno,0,0,0,0,0,0,0,0,0,0
GB-00-01-04,Fule__GB,Kaibab,0,0,0,0,0,0,0,0,0,0
GB-00-01-13,Fule__GB,Kaibab,0,0,0,0,0,0,0,0,0,0
GB-00-02-06,Fule__GB,Kaibab,0,0,0,0,0,0,0,0,0,0
GB-00-02-16,Fule__GB,Kaibab,0,0,0,0,0,0,0,0,0,0
H16,O.Con_H16,Pinaleno,0,1,0,1,0,0,0,0,2,2
HD,Farri_HD,Rincon,35,0,0,0,0,0,0,0,35,35
HD-72,Farri_HD,Rincon,2,5,49,0,0,0,0,0,56,56
I19,O.Con_I19,Pinaleno,0,0,0,0,0,0,0,0,0,0
IS,Farri_IS,Rincon,1,0,0,0,0,0,1,0,2,2
J18,O.Con_J18,Pinaleno,0,0,0,0,0,0,0,0,0,0
J19,O.Con_J19,Pinaleno,0,0,0,6,1,0,0,2,7,9
JLN,Swetn_JLN,Kaibab,0,0,0,0,0,0,0,0,0,0
JLS,Swetn_JLS,Kaibab,0,0,0,0,0,0,0,0,0,0
K19,O.Con_K19,Pinaleno,0,0,0,2,0,0,0,0,2,2
L20,O.Con_L20,Pinaleno,0,0,0,6,62,1,0,0,69,69
L21,O.Con_L21,Pinaleno,0,0,0,0,0,0,0,0,0,0
L70,O.Con_L70,Pinaleno,0,0,0,0,3,0,0,0,3,3
LGR2-43,Margo_LGR2,Jemez,0,0,0,0,0,0,0,20,0,20
LOG,Allen_LOG,Jemez,0,0,0,0,0,0,0,0,0,0
M20,O.Con_M20,Pinaleno,0,0,0,1,0,0,0,0,1,1
M21,O.Con_M21,Pinaleno,0,0,0,1,2,0,0,0,3,3
N22,O.Con_N22,Pinaleno,0,0,0,1,0,0,0,0,1,1
NAB-11,Morin_NAB,Jemez,4,2,0,0,0,0,0,19,6,25
NS,Farri_NS,Rincon,0,0,0,0,0,0,0,0,0,0
PAL_02,Swetn_PAL02,Catalina,1,0,0,0,0,0,0,0,1,1
PIPE-03,Allen_PIPE,Jemez,0,0,0,0,0,0,0,0,0,0
Random_1,Farri_HD,Rincon,0,0,0,0,0,0,0,0,0,0
Random_2,Farri_HD,Rincon,0,0,0,0,0,0,0,0,0,0
RBS3-27,Margo_RBS3,Jemez,0,0,0,0,13,1,0,3,14,17
RCL,Baisa_RCL,Catalina,0,0,0,0,0,0,0,0,0,0
