Site Name,Species,DBH,Status,Killed by fire
02_04,PIPO,48,L,FALSE
02_04,PIPO,12.6,L,FALSE
02_04,PIPO ,13,DD,FALSE
02_04,PIPO ,11,DD,FALSE
02_04,PIPO ,9,DD,FALSE
02_04,PIPO ,38,DD,FALSE
02_11,PIPO,9.9,L,FALSE
02_11,PIPO,18.8,L,FALSE
02_11,PIPO,21.3,L,FALSE
02_11,PIPO,37.3,L,FALSE
02_11,PIST,33.3,L,FALSE
02_11,PIPO,16,L,FALSE
02_11,PIPO,15.3,L,FALSE
02_11,PIST,22,L,FALSE
02_11,PIPO,10.1,L,FALSE
02_11,PIPO,28.1,L,FALSE
02_11,PIPO,34.2,L,FALSE
02_11,PIPO,29.1,L,FALSE
02_11,PIPO,14.6,L,FALSE
02_11,PIPO,23.2,L,FALSE
02_11,PIPO,35.6,L,FALSE
02_11,PIPO,15.2,DD,FALSE
02_11,PIPO,16,DD,FALSE
02_12,PIAR5 ,33,L,FALSE
02_12,PIAR5 ,23.8,L,FALSE
02_12,PIAR5,28.8,L,FALSE
02_12,PIAR5,32.8,L,FALSE
02_12,PIAR5,27.1,L,FALSE
02_12,PIAR5,26,L,FALSE
02_12,PIAR5,32.7,L,FALSE
02_12,PIAR5,26.3,L,FALSE
02_12,PIAR5,22.2,L,FALSE
02_12,PIAR5,36.3,L,FALSE
02_12,PIAR5,37.7,L,FALSE
02_12,PIAR5,36.5,L,FALSE
02_12,PIAR5,36.6,L,FALSE
02_12,PIAR5,47.4,L,FALSE
02_28,PIAR5 ,89.8,L,FALSE
02_28,PIAR5 ,69.2,L,FALSE
02_28,PIAR5 ,30.6,L,FALSE
02_28,PIAR5 ,24.3,L,FALSE
02_28,PIAR5 ,25.6,L,FALSE
02_28,PIAR5 ,17.3,L,FALSE
02_28,PIAR5,18.6,L,FALSE
02_29,ABCO ,14,L,FALSE
02_29,ABCO,45.7,L,FALSE
02_29,PSME,42.5,L,FALSE
02_29,PSME,53.8,L,FALSE
02_29,ABCO,13.3,DD,FALSE
03_07,PSME,67.8,L,FALSE
03_07,PSME,37,L,FALSE
03_07,PSME,67.8,L,FALSE
03_07,PSME,26.9,L,FALSE
03_11B,PIST,38.4,L,FALSE
03_11B,PIAR5,21.3,L,FALSE
03_11B,PIAR5,36.8,L,FALSE
03_11B,PIAR5,15.5,L,FALSE
03_11B,PIST,22.6,L,FALSE
03_11B,PIAR5,25.8,L,FALSE
03_11B,PIAR5,23.2,L,FALSE
03_11B,PIAR5,12.2,L,FALSE
03_11B,PIAR5,31.6,L,FALSE
03_11B,PIAR5,34.6,L,FALSE
03_11B,PIAR5,31.7,L,FALSE
03_11B,PIST,12.8,L,FALSE
03_11B,PIST,34.5,L,FALSE
03_11B,PIAR5,28.2,L,FALSE
03_11B,PIAR5,44,L,FALSE
03_11B,PIAR5,36.2,L,FALSE
03_11B,PIST,10.4,L,FALSE
03_11B,PIST,30.9,L,FALSE
03_11B,PIAR5,38.7,L,FALSE
03_11B,PIAR5,30.8,L,FALSE
03_11B,PIST,24.1,L,FALSE
03_11B,PIST,32.7,L,FALSE
03_11B-2,PIAR5,87.2,L,FALSE
03_11B-2,PIAR5,25.7,L,FALSE
03_11B-2,PIST,68.7,L,FALSE
03_11B-2,PIAR5,60.8,D,FALSE
03_11B-3,PIAR5,57.5,L,FALSE
03_11B-3,PIAR5,31.8,L,FALSE
03_11B-3,PIST,34.1,L,FALSE
03_11B-3,PIAR5,70.1,L,FALSE
03_11B-3,PIAR5,60.1,D,FALSE
03_11B-3,PIST,50.6,D,FALSE
03_11B-4,PIAR5,78.5,L,FALSE
03_11B-4,PIAR5,42.5,L,FALSE
03_11B-4,PIST,40.7,L,FALSE
03_11B-4,PIAR5,16.9,L,FALSE
03_11D,PIPO,39.1,L,FALSE
03_11D,PIPO,54.5,L,FALSE
03_11D,PIPO,32.2,L,FALSE
03_11D,PIPO,45.3,L,FALSE
03_11D,PIPO,29.1,L,FALSE
03_11D,PIPO,30.8,L,FALSE
03_11D,PIPO,19.6,L,FALSE
03_11D,PIPO,32.2,L,FALSE
03_11D,PIPO,28.9,L,FALSE
03_11D,PIPO,10.9,L,FALSE
03_11D-2,PIPO,55.1,L,FALSE
03_11D-2,PIPO,64.8,L,FALSE
03_11D-2,PIPO,28,L,FALSE
03_11D-3,PIPO,39.7,L,FALSE
03_11D-3,PIPO,20.8,L,FALSE
03_11D-3,PIPO,12.7,L,FALSE
03_11D-3,PIPO,4.3,L,FALSE
03_11D-3,PIPO,26.8,L,FALSE
03_11D-3,PIPO ,23.2,L,FALSE
03_11D-4,PIPO,50.3,L,FALSE
03_11D-4,PIPO,39.3,L,FALSE
