Site Name,ID,mtnrange,Latitude,Longitude,Aspect,Slope,% torch,% scorch,% mortality,average char height (m),% consumption of heavy fuels,torch_cbi,scorch_cbi,mort_cbi,char_cbi,fuel_cbi,cbi_field
02_04,Farri_0204,Rincon,32.224575,-110.539696,NNW,35,5,85,85,1,60,1,2.5,2.7,1.1,3,2.06
02_11,Farri_0211,Rincon,32.208768,-110.538422,SW,26,0,3,0,0.1,1,0,0.5,0,0.1,0.1,0.14
02_12,Farri_0212,Rincon,32.20986,-110.524727,NE,21,0,20,20,0.5,5,0,1.5,1.3,0.4,0.5,0.74
02_28,Farri_0228,Rincon,32.207248,-110.531156,NNE,18,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0.04
02_29,Farri_0229,Rincon,32.224361,-110.551868,NNE,56,3,30,30,0.3,0,0.5,2,1.5,0.3,0,0.86
03_07,Farri_0307B,Rincon,32.221223,-110.549013,NW,59,5,70,70,0.5,0,1,0,2.5,0.4,0,0.78
03_11B,Farri_0311B,Rincon,32.204253,-110.537681,NW,31,0,5,0,0.3,2,0,1,0,0.3,0.2,0.3
03_11B-2,Farri_0311B,Rincon,32.204477,-110.537964,S,27,0,10,10,0.2,10,0,1,1,0.2,1,0.64
03_11B-3,Farri_0311B,Rincon,32.203812,-110.538108,NNW,28,0,2,0,0.2,5,0,0.4,0,0.2,0.5,0.22
03_11B-4,Farri_0311B,Rincon,32.203171,-110.53792,ESE,26,0,2,0,0.2,3,0,0.4,0,0.2,0.3,0.18
03_11D,Farri_0311D,Rincon,32.210382,-110.536557,WSW,32,0,20,15,0.2,3,0,1.5,1.2,0.2,0.3,0.64
03_11D-2,Farri_0311D,Rincon,32.20997,-110.537145,ESE,33,0,3,0,0.3,5,0,0.5,0,0.3,0.5,0.26
03_11D-3,Farri_0311D,Rincon,32.210215,-110.537335,E,25,0,10,0,0.3,3,0,1,0,0.3,0.3,0.32
03_11D-4,Farri_0311D,Rincon,32.20973,-110.537724,S,24,0,20,0,2,10,0,1.5,0,1.2,1,0.74
03_12C,Farri_0312C,Rincon,32.209263,-110.526,E,34,0,5,5,0.1,20,0,1,0.5,0.1,1.7,0.66
03_15B,Farri_0315B,Rincon,32.19975,-110530569,E,12,0,10,0,0.3,5,0,1,0,0.3,0.5,0.36
03_15D,Farri_0315D,Rincon,32.205004,-110.530376,SSE,15,0,5,0,0.2,10,0,1,0,0.2,1,0.44
03_15D-2,Farri_0315D,Rincon,32.204733,-110.530343,E,15,0,0,0,0.1,5,0,0,0,0.1,0.5,0.12
ABH3,Allen_ABH3,Jemez,35.911271,-106.570259,NNW,25,0,10,10,0,5,0,1,0.6,0,0.5,0.42
ABH3-01,Allen_ABH3,Jemez,35.911227,-106.569921,NE,20,5,80,85,0.1,15,1,2,2.7,0.1,1.3,1.02
ABL-01,Allen_ABL,Jemez,35.914182,-106.578524,W,30,0,10,10,0.1,15,0,1,1,0.1,1.3,0.68
ABL-04,Allen_ABL,Jemez,35.913225,-106.575001,NW,15,1,19,20,0.3,25,0.1,1,1.1,0.2,2,0.88
ABR,Baisa_ABR,Jemez,35.924949,-106.492647,SSW,10,10,90,100,6,80,1,2.5,3,2.7,3,2.44
ABU-03,Baisa_ABU,Jemez,35.915585,-106.583199,SE,15,5,40,45,0.5,70,1,2,1.9,0.4,3,1.66
ABU-14,Baisa_ABU,Jemez,35.91885,-106.582501,S,35,0,25,15,0.1,20,0,1.2,1,0.1,1.7,0.8
ALA1,Allen_ALA1,Jemez,35.912663,-106.589355,SE,20,0,10,0,1.2,80,0,1,0,0.7,3,0.94
