Site Name,Coordinates ,Aspect,Slope,Number Live Overstory,Number Live Sapling,Total Live Tree,Number Standing Dead,Number Dead & Down
ESC,"35.830259, -106.365132",SE,50,0,0,0,2,NA
FR2,"35.813779, -106.396923",NNW,40,0,1,1,7,NA
SAW,"35.828177, -106.433925",W,5,2,0,2,14,NA
UWF,"35.838438, -106.42808",SW,55,0,0,0,1,NA
UEF,"35.844218, -106.408133",SW,15,3,0,3,11,NA
ABR,"35.924949, -106.492647",SSW,10,0,0,0,13,21
ABH3,"35.911271, -106.570259",NNW,25,0,1,1,3,0
ABH3-01,"35.911227, -106.569921",NE,20,2,1,3,10,7
NAB-11,"35.919451, -106.586453",W,20,3,0,3,11,11
ABU-14,"35.918850, -106.582501",S,35,6,3,9,6,6
ABU-03,"35.915585, -106.583199",SE,15,1,3,4,4,1
ABL-04,"35.913225, -106.575001",NW,15,3,5,8,6,4
ABL-01,"35.914182, -106.578524",W,30,7,7,14,4,0
ALA2-30,"35.911723, -106.584331",WNW,20,6,2,8,25,4
ALA4,"35.908432, -106.587553",N,15,0,0,0,16,11
ALA1,"35.912663, -106.589355",SE,20,5,1,6,1,0
LGR2-43,35.801047 -106.550830,NNW,20,0,0,0,24,1
LOG,"35.798478, -106.541224",SE,15,0,0,0,4,1
RBS3-27,"35.897995, -106.581609",SSW,15,3,4,7,8,8
VSR,"35.934142, -106.508797",SSW,25,5,1,6,0,0
VJ-15,"35.924172, -106.519547",N,5,3,1,4,0,2
CAN-40,"35.915504, -106.385340",NE,20,0,38,38,13,25
CMN,"35.905393, -106.396298",ENE,30,4,1,5,2,7
CMN2-52,"35.905235, -106.390883",NNE,15,4,43,47,23,13
PIPE-03,"35.892813, -106.337917",E,20,0,1,1,0,29
FP-1-010,"36.356968, -112.351521",N,35,3,0,3,1,0
FP-2-019,"36.360456, -112.342614",NA,0,0,0,0,2,0
SR-201,"36.328056, -112.256193",SSW,10,6,1,7,0,8
GB-00-02-16,"36.259889, -112.225721",ESE,40,15,42,57,7,3
GB-00-02-06,"36.254740, -112.235583",W,15,3,0,3,0,1
GB-00-01-04,"36.271474, -112.243337",NA,0,5,0,5,0,0
GB-00-01-13,"36.277797, -112.219875",E,60,12,0,12,1,1
JLN,"36.717399, -112.253202",NW,15,6,5,11,4,0
JLS,"36.716838, -112.251118",WNW,5,1,3,4,2,0
BLR,"36.713784, -112.241902",NE,15,3,0,3,0,0
CRC_20,"32.407949, -110.732603",SE,40,0,0,0,65,0
CRC_2,"32.409783, -110.735127",SSW,42,22,5,27,4,3
CRC_1,"32.412115, -110.735187",NNW,57,4,0,4,4,0
CRC_22,"32.410267, -110.729070",W,24,4,0,4,8,0
RCL,"32.392832, -110.707976",SSW,37,0,0,0,0,0
CRC_18,"32.386227, -110.714652",W,61,3,0,3,1,0
CRC_17,"32.385474, -110.709127",ENE ,57,8,4,12,1,0
RCU,"32.395267, -110.688983",W,59,11,7,18,3,1
CRC_9,"32.391813, -110.693279",SW,15,5,12,17,0,0
CBP_28,"32.434317, -110.734808",NNE,67,0,0,0,0,0
CBP_1,"32.435802, -110.729936",NNW,72,0,0,0,2,0
CBP_2,"32.429454, -110.742199",NNE,72,0,0,0,3,0
PAL_02,"32.411058, -110.711983",S,30,7,1,8,1,0
IS,"32.224051, -110.535879",N,11,9,2,11,1,1
