tree,n_missing_total,n_missing_1980_on,n_outliers_total
MT1A_raw,39,39,0
MT1B_raw,85,11,0
MT1C_raw,78,11,0
MT2A_raw,73,11,0
MT2B_raw,75,11,0
MT2C_raw,87,11,0
MT3A_raw,118,11,0
MT3B_raw,85,19,0
MT3C_raw,100,31,0
MT4A_raw,97,11,1
MT4B_raw,105,11,0
MT4C_raw,107,11,0
MT5A_raw,73,11,0
MT5B_raw,76,11,0
MT6A_raw,98,11,2
MT6B_raw,90,11,1
MT6C_raw,102,11,1
MT7A_raw,103,11,0
MT7B_raw,58,11,0
MT8A_raw,71,11,1
MT8B_raw,53,11,0
MT8C_raw,53,11,0
SmallMT1_raw,21,11,0
SmallMT2_raw,65,11,2
SmallMT3_raw,62,11,0
SmallMT4_raw,73,45,1
SmallMT5_raw,71,11,1
SmallMT6_raw,87,11,0
SmallMT7_raw,84,11,0
smallMT8_raw,75,11,0
SmallMT9_raw,64,11,0
SmallM10_raw,79,11,2
SmallM11_raw,35,11,2
