age_CE,MR1A_raw,MR1B_raw,MR10A_raw,MR10B_raw,MR11A_raw,MR11B_raw,MR12A_raw,MR12B_raw,MR13A_raw,MR13B_raw,MR14A_raw,MR14B_raw,MR15A_raw,MR15B_raw,MR16A_raw,MR16B_raw,MR17A_raw,MR17B_raw,MR18A_raw,MR18B_raw,MR2B_raw,MR20A_raw,MR20B_raw,MR21A_raw,MR21B_raw,MR22A_raw,MR22B_raw,MR23A_raw,MR23B_raw,MR24A_raw,MR24B_raw,MR25A_raw,MR25B_raw,MR27A_raw,MR27B_raw,MR28A_raw,MR28B_raw,MR29A_raw,MR29B_raw,MR3A_raw,MR3B_raw,MR30A_raw,MR4A_raw,MR4B_raw,MR5A_raw,MR6A_raw,MR6B_raw,MR7A_raw,MR7B_raw,MR8A_raw,MR8B_raw,MR9A_raw,MR9B_raw
1913,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1521,-0.0279,-0.0644,0.0564,-0.2330,-1.3714,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.3471,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1914,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1521,-0.0279,-0.0644,0.0564,-0.2330,-1.2386,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.2041,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1915,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1521,-0.0279,-0.0644,0.0564,-0.2330,-1.1754,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.3203,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1916,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1521,-0.0279,-0.0644,0.0564,-0.2330,-1.4157,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.2622,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1917,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1521,-0.0279,-0.0644,0.0564,-0.2330,-1.1691,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.1772,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1918,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.1521,2.6047,-0.0644,0.0564,-0.2330,-0.7770,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.6868,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1919,-0.0945,-0.0316,-0.3017,-0.2252,-0.2043,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,-0.2171,2.9302,-0.0644,0.0564,-0.2330,-0.7833,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.5080,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1920,-0.0945,-0.0316,-0.3017,-0.2252,2.5535,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.5639,2.0701,-0.0644,0.0564,-0.2330,-0.7517,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.4097,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1921,-0.0945,-0.0316,-0.3017,-0.2252,1.5117,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.8543,1.0124,-0.0644,0.0564,-0.2330,-0.6252,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.3873,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
1922,-0.0945,-0.0316,-0.3017,-0.2252,0.5005,-0.2431,-0.0881,-0.0858,-0.0155,-0.1959,-0.1221,-0.0607,-0.2035,0.1074,-0.0842,-0.0024,0.8242,1.1867,-0.0644,0.0564,-0.2330,-0.9667,-0.1716,-0.1384,0.0018,-0.0333,-0.0924,-0.0284,0.0011,-0.0840,0.0224,-0.0617,0.0038,-0.0664,-0.1340,-0.0757,-0.4589,-0.2740,0.0400,-0.0169,0.0322,-0.0601,-0.0842,-0.0379,-0.1797,-0.0283,-0.0594,-0.1929,-0.1293,-0.1846,-0.2101,-0.2053,-0.0499
