INVYR	STATECD	COUNTYCD	PLOT	SUBPLOT	TREE	SPCD	T1_DIA	T1_HT	T2_DIA	SITETREE_HT	SITETREE_BHAGE	SITETREE_SITREE	SICOND	LAT	LON	ELEV	ECOSUBCD	STDAGE	SLOPE	ASPECT	BALIVE	SDI	DateFirst	DateEnd	MEASYEAR	MEASMON	MEASDAY	RINGCOUNT	METHOD	CORE_CN	PLT_CN	TRE_CN	SIT_CN
1999	4	1	1144	1	4	122	12.3	69	13.9	69	72	49	51	33.654011	-109.661215	7700	M313A	77	7	7	158.1499	276.3314677	1928	1995	1996	7	3	68	scope	295713486489998	2461733010690	2461742010690	2461791010690
1999	4	1	1144	1	6	122	14.9	73	16.4	73	75	52	51	33.654011	-109.661215	7700	M313A	77	7	7	158.1499	276.3314677	1922	1995	1996	7	3	74	scope	295713487489998	2461733010690	2461744010690	2461792010690
1999	4	1	1152	3	2	122	5.7	26	5.8	26	35	29	30	33.626377	-109.608818	6300	M313A	121	127	127	123.1952	230.4948897	1964	1995	1996	11	21	32	scope	295713488489998	2462015010690	2462037010690	2462066010690
1999	4	3	360	3	9	122	9.5			57	46	52	46	31.793729	-109.32329	7400	321A	157	134	134	190.6267	32.01194664	1949	1995	1996	10	31	47	scope	295713495489998	2464756010690		2464798010690
1999	4	5	155	3	4	122	11.9			72	122	40	33	36.77288	-112.246756	7400	313A	268	78	78	115.3408	125.8627614	1836	1994	1995	7	19	159	scope	295713496489998	2467609010690		2467632010690
1999	4	5	156	1	4	122	23.3	81	23.6				28	36.778883	-112.188583	7400	313A	166	284	284	141.9574	221.3225024	1719	1994	1995	7	20	276	scope	295713497489998	2467636010690	2467646010690	
1999	4	5	189	3	3	122	8.4	24	10	24	32	29	32	36.71934	-112.193262	7700	313A	162	0	0	56.4277	95.80601656	1965	1994	1995	7	25	30	scope	295713500489998	2467979010690	2467990010690	2468003010690
1999	4	5	221	1	2	122	11.9	53	14.2	53	63	39	37	36.677632	-112.302292	7900	313A	111	0	0	122.8384	207.202014	1936	1994	1995	7	21	59	scope	295713501489998	2468313010690	2468320010690	2468350010690
1999	4	5	255	3	4	122	9.7			43	66	30	33	36.622664	-112.300248	8000	313A	48	205	205	27.6173	57.24679863	1930	1994	1995	7	27	65	scope	295713503489998	2468730010690	2468746010690	
1999	4	5	257	2	5	122	19.9	89	20.5	89	193	45	46	36.639121	-112.192024	8500	313A	155	351	351	179.2109	265.6897517	1798	1994	1995	7	31	197	scope	295713504489998	2468794010690	2468813010690	2468843010690
1999	4	5	289	1	2	122	21.2	110	21.9	110	150	66	61	36.582239	-112.287274	8100	313A	174	196	196	60.0011	80.55971379	1834	1994	1995	7	28	161	scope	295713506489998	2469188010690	2469195010690	2469198010690
1999	4	5	1754	4	3	122	11			45	79	28	45	34.882996	-111.538	6900	M313A	90	0	0	130.3131	241.1359484	1928	1994	1995	11	13	67	scope	295713767489998	2489331010690	2489361010690	2489380010690
1999	4	5	1755	1	1	122	13.8			68	74	48	44	34.890391	-111.495367	7400	M313A	103	0	0	92.3646	156.5992725	1920	1994	1995	10	4	75	scope	295713768489998	2489383010690	2489389010690	2489409010690
1999	4	5	1755	2	7	122	16			61	79	40	44	34.890391	-111.495367	7400	M313A	103	0	0	92.3646	156.5992725	1917	1994	1995	10	4	78	scope	295713769489998	2489383010690		2489410010690
1999	4	5	1757	1	23	122	13.6			58	69	41	38	34.88902	-111.373882	7300	M313A	72	0	0	124.836	279.1134025	1925	1994	1995	10	30	70	scope	295713771489998	2489463010690		2489515010690
1999	4	5	1757	2	2	122	10.4			45	58	35	38	34.88902	-111.373882	7300	M313A	72	0	0	124.836	279.1134025	1939	1994	1995	10	30	56	scope	295713772489998	2489463010690		2489516010690
1999	4	5	1772	1	2	122	10.6	39	11.2	39	69	26	29	34.828577	-111.604354	6500	M313A	89	0	0	40.9355	74.5517587	1920	1995	1995	11	6	76	scope	295713773489998	2489650010690	2489657010690	2489671010690
1999	4	5	1772	1	3	122	12.6	51	14	51	80	32	29	34.828577	-111.604354	6500	M313A	89	0	0	40.9355	74.5517587	1914	1995	1995	11	6	82	scope	295713774489998	2489650010690	2489658010690	2489672010690
1999	4	5	1773	1	3	122	8.3	38	9.2	38	66	26	29	34.842431	-111.534455	7000	M313A	87	270	270	79.3416	157.9972641	1931	1995	1995	10	12	65	scope	295713775489998	2489673010690	2489681010690	2489710010690
1999	4	5	1773	2	4	122	11.4	46	12.5	46	72	31	29	34.842431	-111.534455	7000	M313A	87	270	270	79.3416	157.9972641	1922	1995	1995	10	12	74	scope	295713776489998	2489673010690	2489691010690	2489711010690
1999	4	5	1775	4	11	122	19.2			77	97	49	44	34.831971	-111.44471	7400	M313A	97	0	0	372.7568	131.324822	1915	1994	1995	10	11	80	scope	295713777489998	2489743010690		2489761010690
