age_CE,GOAT0010_raw,GOAT0020_raw,GOAT0030_raw,GOAT0040_raw,GOAT0050_raw,GOAT0060_raw,GOAT0070_raw,GOAT0080_raw,GOAT0090_raw,GOAT0120_raw,GOAT0130_raw,GOAT0140_raw,GOAT0150_raw,GOAT0160_raw,GOATCH00_raw,GOAT0010_raw_outlier_flag,GOAT0020_raw_outlier_flag,GOAT0030_raw_outlier_flag,GOAT0040_raw_outlier_flag,GOAT0050_raw_outlier_flag,GOAT0060_raw_outlier_flag,GOAT0070_raw_outlier_flag,GOAT0080_raw_outlier_flag,GOAT0090_raw_outlier_flag,GOAT0120_raw_outlier_flag,GOAT0130_raw_outlier_flag,GOAT0140_raw_outlier_flag,GOAT0150_raw_outlier_flag,GOAT0160_raw_outlier_flag,GOATCH00_raw_outlier_flag
1630,NA,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1631,NA,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1632,NA,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1633,NA,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.88,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1634,NA,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1635,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.26,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1636,NA,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.33,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1637,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1638,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1639,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1640,NA,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1641,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1642,NA,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1643,NA,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.05,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1644,NA,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1645,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.77,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1646,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1647,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1648,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
1649,NA,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,0.43,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1650,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,0.5,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1651,NA,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,0.53,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1652,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,0.51,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1653,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,0.41,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1654,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,0.46,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1655,NA,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,0.43,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1656,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1657,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,0.37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1658,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,NA,0.37,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1659,NA,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,0.36,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1660,NA,0.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,NA,0.35,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1661,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,0.31,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1662,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,NA,0.3,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1663,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,0.38,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1664,NA,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,0.48,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1665,NA,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44,NA,0.43,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1666,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.53,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1667,NA,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,NA,0.43,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1668,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,NA,0.39,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1669,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,0.43,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1670,0.27,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,0.37,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1671,0.26,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.36,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1672,0.32,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.41,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1673,0.39,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,0.48,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1674,0.33,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,0.5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1675,0.29,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,NA,0.47,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1676,0.35,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,0.46,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1677,0.31,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,0.35,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1678,0.29,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,0.35,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1679,0.43,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,0.4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1680,0.35,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,0.37,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1681,0.25,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,0.3,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1682,0.18,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,NA,0.43,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1683,0.25,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,0.5,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1684,0.44,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,0.52,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1685,0.44,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,0.49,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1686,0.32,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,0.42,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1687,0.31,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,0.33,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1688,0.59,0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,0.45,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1689,0.57,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22,NA,0.49,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1690,0.55,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,NA,0.4,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
1691,0.5,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0.33,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE
