age_CE,LML01B_raw,LML02A_raw,LML02B_raw,LML03A_raw,LML03B_raw,LML04A_raw,LML04B_raw,LML05A_raw,LML05B_raw,LML06A_raw,LML06B_raw,LML07A_raw,LML07B_raw,LML08A_raw,LML08B_raw,LML09A_raw,LML09B_raw,LML10A_raw,LML10B_raw,LML01B_raw_outlier_flag,LML02A_raw_outlier_flag,LML02B_raw_outlier_flag,LML03A_raw_outlier_flag,LML03B_raw_outlier_flag,LML04A_raw_outlier_flag,LML04B_raw_outlier_flag,LML05A_raw_outlier_flag,LML05B_raw_outlier_flag,LML06A_raw_outlier_flag,LML06B_raw_outlier_flag,LML07A_raw_outlier_flag,LML07B_raw_outlier_flag,LML08A_raw_outlier_flag,LML08B_raw_outlier_flag,LML09A_raw_outlier_flag,LML09B_raw_outlier_flag,LML10A_raw_outlier_flag,LML10B_raw_outlier_flag
1529,NA,NA,NA,NA,NA,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1530,NA,NA,NA,NA,NA,NA,NA,2.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1531,NA,NA,NA,NA,NA,NA,NA,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1532,NA,NA,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA,NA,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1533,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1534,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,0.74,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1535,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,0.83,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1536,NA,NA,NA,NA,NA,NA,NA,1.62,NA,NA,NA,NA,NA,0.94,NA,NA,NA,0.95,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1537,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,NA,NA,NA,1.43,NA,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1538,NA,NA,NA,NA,NA,NA,NA,1.44,NA,NA,NA,NA,NA,1.15,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1539,NA,NA,NA,NA,NA,NA,NA,1.77,NA,NA,NA,NA,NA,0.51,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1540,NA,NA,NA,NA,NA,NA,NA,1.62,NA,NA,NA,NA,NA,0.5,NA,NA,NA,0.77,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1541,NA,NA,NA,NA,NA,NA,NA,1.68,NA,NA,NA,NA,NA,0.33,NA,NA,NA,0.94,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1542,NA,NA,NA,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,0.62,NA,NA,NA,0.73,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1543,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,NA,NA,NA,0.44,NA,NA,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA
1544,NA,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,0.56,NA,NA,NA,0.82,1.79,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE
1545,NA,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA,0.54,NA,NA,NA,0.97,1.57,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE
1546,NA,NA,NA,NA,NA,NA,NA,1.17,NA,NA,NA,NA,NA,0.54,NA,NA,NA,0.9,1.24,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE
1547,NA,NA,NA,NA,NA,NA,NA,1.99,NA,NA,NA,NA,NA,0.83,NA,NA,NA,1.26,1.63,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE
