Species name,Species code
Pinus ponderosa Douglas ex C. Lawson,PIPO
Juniperus occidentalis Hook.,JUOC
Pseudotsuga menziesii (Mirb.) Franco,PSME
Tsuga mertensiana (Bong.) Carrière,TSME
Abies magnifica A. Murray,ABMA
Chamaecyparis lawsoniana (A. Murray bis) Parl.,CHLA
Pinus albicaulis Engelm.,PIAL
Pinus contorta Douglas ex Loudon,PICO
Abies lasiocarpa (Hook.) Nutt.,ABLA
Larix occidentalis Nutt.,LAOC
Abies procera Rehder,ABPR
Thuja plicata Donn ex D. Don,THPL
