age_CE,FMMH01B_raw,FMMH02B_raw,FMMH03B_raw,FMMH04A_raw,FMMH05B_raw,FMMH07B_raw,FMMH08B_raw,FMMH09B_raw,FMMH10A_raw,FMMH11A_raw,FMMH12B_raw,FMMH13B_raw,FMMH14A_raw,FMMH15A_raw,FMMH16A_raw,FMMH17A_raw,FMMH18B_raw,FMMH19A_raw,FMMH20B_raw,FMMH01B_raw_outlier_flag,FMMH02B_raw_outlier_flag,FMMH03B_raw_outlier_flag,FMMH04A_raw_outlier_flag,FMMH05B_raw_outlier_flag,FMMH07B_raw_outlier_flag,FMMH08B_raw_outlier_flag,FMMH09B_raw_outlier_flag,FMMH10A_raw_outlier_flag,FMMH11A_raw_outlier_flag,FMMH12B_raw_outlier_flag,FMMH13B_raw_outlier_flag,FMMH14A_raw_outlier_flag,FMMH15A_raw_outlier_flag,FMMH16A_raw_outlier_flag,FMMH17A_raw_outlier_flag,FMMH18B_raw_outlier_flag,FMMH19A_raw_outlier_flag,FMMH20B_raw_outlier_flag
1801,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1802,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1803,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1804,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1805,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1806,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1807,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1808,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1809,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1810,NA,NA,0.74,NA,NA,NA,NA,NA,NA,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,NA,NA,1.11,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1812,NA,NA,1.57,NA,NA,NA,NA,NA,NA,2.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1813,NA,NA,1.47,NA,NA,NA,NA,NA,NA,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1814,NA,NA,1.87,NA,NA,NA,NA,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1815,NA,NA,1.75,NA,NA,NA,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1816,NA,NA,1.94,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1817,NA,NA,1.68,NA,NA,NA,NA,NA,NA,2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1818,NA,NA,1.63,NA,NA,NA,NA,NA,NA,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1819,NA,NA,0.75,NA,NA,NA,NA,NA,NA,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1820,NA,NA,0.64,NA,NA,NA,NA,NA,NA,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1821,NA,NA,1.32,NA,NA,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1822,NA,NA,1.05,NA,NA,NA,NA,NA,NA,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1823,NA,NA,0.85,NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA
1824,NA,NA,1.28,NA,NA,NA,NA,NA,2.25,1.43,NA,NA,2.32,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1825,NA,NA,1.51,NA,NA,NA,NA,NA,1.99,1.66,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1826,NA,NA,0.89,NA,NA,NA,NA,NA,1.18,0.88,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1827,NA,NA,1.26,NA,NA,NA,NA,NA,1.48,1.9,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1828,NA,NA,1.41,NA,NA,NA,NA,NA,1.27,2.6,NA,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1829,NA,NA,1.21,NA,NA,1.8,NA,NA,1.72,1.51,NA,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1830,NA,NA,1.33,NA,NA,1.39,NA,NA,1.82,1.74,NA,NA,2.17,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1831,NA,NA,1.46,NA,NA,1.55,NA,NA,1.26,1.84,NA,NA,1.85,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1832,NA,NA,1.13,NA,NA,1.62,NA,NA,1.32,1.93,NA,NA,2.25,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1833,NA,NA,1.25,NA,NA,1.7,NA,NA,1.61,2.13,NA,NA,2.37,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1834,NA,NA,1.27,NA,NA,1.45,NA,NA,1.83,1.99,NA,NA,2.22,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1835,NA,NA,0.87,NA,NA,0.76,NA,NA,1.4,1.57,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1836,NA,NA,1.44,NA,NA,0.88,NA,1.23,2.2,1.74,NA,NA,2.58,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,TRUE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1837,NA,NA,1.59,NA,NA,1.27,NA,1.21,2.15,1.78,NA,NA,3.29,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1838,NA,NA,1.43,NA,NA,1.09,NA,1.18,1.63,1.98,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1839,NA,NA,1.3,NA,NA,1.65,NA,1.24,1.84,1.7,2.51,NA,2.07,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA
1840,NA,NA,0.51,NA,NA,0.97,NA,0.2,0.95,1.06,0.92,NA,1.56,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1841,NA,NA,0.84,NA,NA,1.47,NA,0.42,1.98,1.71,0.84,NA,1.98,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1842,NA,NA,1.18,NA,NA,1.66,NA,0.21,1.44,1.64,0.64,NA,2.24,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1843,NA,NA,0.81,NA,NA,1.45,NA,0.38,2.06,2.12,0.99,NA,2.75,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
1844,NA,NA,0.55,NA,NA,1.62,NA,0.46,1.81,1.51,1.72,NA,1.99,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,TRUE,NA,FALSE,NA,NA,NA,NA,NA,NA
1845,NA,NA,0.59,NA,NA,0.92,NA,0.29,1.42,1.41,1.03,NA,1.76,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA
