X_COLUMN,Y_COLUMN,#MapX,#MapY,Sample_ID,prefix,number,Ring_Count,error
-120.262300,47.624630,-120.262300,47.624630,SC01,SC0,1,121,1
-120.263280,47.624870,-120.263280,47.624870,SC02,SC0,2,129,1
-120.263690,47.625230,-120.263690,47.625230,SC03,SC0,3,125,1
-120.264370,47.625120,-120.264370,47.625120,SC04,SC0,4,115,2
-120.264490,47.625390,-120.264490,47.625390,SC05,SC0,5,127,2
-120.266040,47.625270,-120.266040,47.625270,SC06,SC0,6,129,1
-120.266820,47.625550,-120.266820,47.625550,SC07,SC0,7,103,2
-120.267250,47.625980,-120.267250,47.625980,SC07,SC0,7,122,1
-120.267910,47.626090,-120.267910,47.626090,SC08,SC0,8,120,1
-120.268410,47.626210,-120.268410,47.626210,SC09,SC0,9,110,2
-120.270410,47.627090,-120.270410,47.627090,SC010,SC0,10,111,2
-120.270940,47.627080,-120.270940,47.627080,SC011,SC0,11,110,3
-120.269130,47.627800,-120.269130,47.627800,SC012,SC0,12,81,1
-120.268030,47.627240,-120.268030,47.627240,SC013,SC0,13,101,1
-120.267040,47.627160,-120.267040,47.627160,SC014,SC0,14,113,1
-120.266480,47.626560,-120.266480,47.626560,SC015,SC0,15,119,1
-120.265590,47.626370,-120.265590,47.626370,SC016,SC0,16,106,1
-120.263920,47.625480,-120.263920,47.625480,SC018,SC0,18,125,1
-120.263360,47.625200,-120.263360,47.625200,SC019,SC0,19,122,1
-120.263450,47.624370,-120.263450,47.624370,SC020,SC0,20,130,2
-120.262750,47.624950,-120.262750,47.624950,SC021,SC0,21,121,2
-120.262520,47.624360,-120.262520,47.624360,SC022,SC0,22,118,2
-120.262010,47.624650,-120.262010,47.624650,SC023,SC0,23,122,2
-120.261260,47.622300,-120.261260,47.622300,SC024,SC0,24,109,2
-120.262080,47.622040,-120.262080,47.622040,SC025,SC0,25,125,2
-120.262250,47.621940,-120.262250,47.621940,SC026,SC0,26,110,5
-120.261820,47.621760,-120.261820,47.621760,SC027,SC0,27,106,2
-120.261380,47.621850,-120.261380,47.621850,SC028,SC0,28,92,4
-120.261340,47.621580,-120.261340,47.621580,SC029,SC0,29,118,2
-120.261730,47.621280,-120.261730,47.621280,SC030,SC0,30,106,1
-120.260960,47.621290,-120.260960,47.621290,SC031,SC0,31,95,1
-120.260990,47.620660,-120.260990,47.620660,SC032,SC0,32,128,2
-120.260940,47.620320,-120.260940,47.620320,SC033,SC0,33,102,4
-120.261300,47.619880,-120.261300,47.619880,SC034,SC0,34,69,1
-120.261800,47.619220,-120.261800,47.619220,SC035,SC0,35,115,3
-120.262040,47.619420,-120.262040,47.619420,SC036,SC0,36,117,3
-120.262917,47.619511,-120.262917,47.619511,SC037,SC0,37,113,6
-120.263487,47.619887,-120.263487,47.619887,SC038,SC0,38,96,4
-120.264070,47.620170,-120.264070,47.620170,SC039,SC0,39,96,1
-120.264022,47.620362,-120.264022,47.620362,SC040,SC0,40,116,3
-120.264050,47.620560,-120.264050,47.620560,SC041,SC0,41,118,4
-120.263420,47.620560,-120.263420,47.620560,SC042,SC0,42,117,3
-120.264030,47.620950,-120.264030,47.620950,SC043,SC0,43,118,2
-120.264450,47.620970,-120.264450,47.620970,SC044,SC0,44,122,2
-120.264320,47.621320,-120.264320,47.621320,SC045,SC0,45,114,3
-120.264020,47.621950,-120.264020,47.621950,SC046,SC0,46,123,2
-120.263530,47.622400,-120.263530,47.622400,SC048,SC0,48,92,10
-120.259960,47.623540,-120.259960,47.623540,SC049,SC0,49,111,2
-120.259860,47.623700,-120.259860,47.623700,SC049,SC0,49,128,1
