,jc-141,jc-132,jc-133,jc-179b,jc-180,jc-161,jc-129,jc-160,jc-131,jc-159,jc-180b,jc-179,jc-166,jc-182,jc-137,pr-938,pr-922,pr-970,pr-945,pr-947,pr-927,pr-949,pm-918a,pm-918b,pm-956a,pm-956b,pr-931,pr-953,pr-961,pr-925,pr-946,pr-969,pr-932,pr-941,pr-935,pr-946b,pr-950,pr-942,pr-964,pr-955,pr-923,pr-958,pr-944,pr-960,pr-939,pr-916,pr-959,pr-939b,pr-917,pr-966,pm-852,pm-891,pm-881,pm-906,pm-880b,pm-897b,pm-858,pm-837,pm-830,pm-899,pm-898,pm-884a,pm-884b,pm-842,pm-838a,pm-838b,pm-868,pm-887,pm-880a,pm-897,pm-840a,pm-840b,pm-827,pm-843,pm-892,pm-913,pm-905,pm-850,pm-903,pm-902,pm-886,pm-867,pm-825,pm-3,pm-822,pm-858b,pm-847,pm-856,pm-829,pm-831,pm-853b,pm-850b,pm-820,pm-914,pm-860,pm-912,pm-851,pm-846,pm-896,pm-885,mg-503,mg-520,mg-536,mg-516,mg-504,mg-486,mg-502,mg-534,mg-515,mg-520b,mg-498a,mg-509,mg-537,mg-525,mg-535,mg-517,mg-496,mg-527,mg-493a,mg-530b,mg-531,mg-521,mg-489,mg-512,mg-487,mg-493b,mg-495a,mg-529,mg-526,mg-524,mg-498b,mg-495b,mg-538,mg-527b,mg-508,mg-499b,mg-500,mg-484,mg-499,mg-522,mg-507,mg-488,mg-519,mg-p8,mg-p9
2003,2900,4500,1290,360,2040,430,1050,1980,650,2180,2320,200,2340,2650,1040,1340,2340,1400,990,1160,1020,390,2160,1620,1050,970,1190,380,1690,1240,940,810,460,2360,1040,900,2030,800,630,1990,950,880,1770,2640,5590,1510,1540,1280,1220,1280,2200,1300,1410,700,1570,2130,820,2630,1510,930,1110,940,1140,820,2030,940,1490,1680,1660,1300,2690,2660,1230,980,550,1040,1740,1560,680,1090,1490,510,910,930,700,1250,1070,700,960,760,2170,2340,730,2590,1530,1610,2320,1810,1260,920,710,2680,3530,570,2620,1030,320,1280,1780,1020,450,1480,1990,1120,1640,570,820,940,1010,1420,760,1780,790,2280,990,1640,.,1240,1240,410,880,.,380,1260,1100,1640,620,1100,1470,240,2130,730,510,750,640
2002,3850,4010,1070,470,2170,360,640,2510,800,2870,2030,310,2080,2980,1130,1270,3820,1670,1340,1500,1220,320,1940,1550,1770,1750,1180,520,1610,1830,1030,1020,520,1800,1310,870,1810,1030,790,2150,1220,1190,2320,2880,5820,1240,1800,1750,1630,2110,3410,1590,2020,960,1470,2170,910,3380,1820,1240,1620,910,770,880,1780,1300,1480,1610,1630,1820,2780,2560,1460,1010,440,1220,1690,2430,1860,1170,1730,590,1150,960,650,1120,1130,550,1100,1000,2300,3070,1020,2300,1430,1780,2390,1660,1650,1100,1040,2130,2970,1020,3220,1640,180,1410,2140,1010,570,1860,2360,1450,1760,600,930,1020,1300,1650,860,1530,790,3540,1220,2280,.,1350,2050,440,970,.,520,1210,1280,1480,860,1790,1330,190,2430,1020,480,860,880
2001,2350,3800,860,340,1920,720,950,2280,760,2220,1810,510,2180,2650,940,890,3270,1250,910,1160,1180,300,1530,1260,1470,1180,970,300,1510,1600,950,950,570,1060,850,970,800,930,900,1840,740,1350,1610,2600,5440,1080,1380,1310,1220,1450,2090,1270,1750,870,1420,2350,800,3580,1350,810,1650,950,830,750,1360,1330,1320,1710,1590,1820,2660,2260,1090,870,560,1030,2020,1940,1150,1030,1650,530,1040,910,850,1140,740,670,1310,900,1900,2300,670,1850,1040,1410,2090,1380,1370,800,920,1360,1860,770,3540,1060,190,850,1520,920,430,1140,1520,980,1220,590,860,810,830,1200,700,1700,670,1980,930,1410,.,1000,1010,490,860,.,460,960,1040,1460,690,1750,1340,420,2000,660,460,840,670
2000,1880,4300,880,450,1630,480,1370,2380,660,2150,1470,400,1470,2080,1170,1490,2700,1400,1030,1230,890,340,1800,1760,1410,1200,940,560,1450,1720,770,870,680,1740,740,870,1080,790,870,1790,990,1240,2440,2110,5550,1290,1230,1240,1070,1450,1800,1410,1410,620,1610,2170,1300,3860,2130,1330,1600,1070,1250,1040,1540,1570,1660,1960,1730,1670,2550,1940,1420,1100,750,1190,2200,1970,1950,1020,1630,830,1120,860,1120,1730,1000,870,1490,840,1880,2170,900,1900,1920,1110,2950,1240,1360,1240,910,1350,2230,910,4240,980,250,1080,1400,970,490,1340,1280,1040,1140,750,1040,900,930,1090,810,1940,750,1780,880,1440,.,1150,870,580,960,.,460,1000,960,1610,790,1530,1200,350,1910,720,510,1010,710
1999,2080,5000,1060,580,1720,620,1440,2540,680,2260,1350,470,1310,2490,1220,1390,3640,1490,1180,1210,850,430,1620,1440,1580,1870,950,560,1510,1750,760,830,640,1670,710,740,1080,780,850,1850,1000,1430,2400,2360,5760,1200,1370,1960,1240,1250,2350,1690,1370,1010,1690,2740,1480,5480,1650,1210,1640,1430,1460,1280,1780,1690,1920,2130,1750,1590,2810,2290,1390,1130,590,1380,1910,2910,2020,1200,1340,1180,1080,870,1010,1680,1240,1030,950,860,2140,3130,810,1760,2270,2040,3100,1140,1610,1470,840,1560,1810,750,4090,900,350,960,1650,990,470,1190,1330,1210,860,760,1460,980,910,1020,630,2360,860,2370,920,1640,.,1250,1150,600,1020,.,670,1050,910,1470,930,1700,1300,280,1870,980,440,970,690
1998,2080,3560,930,430,1900,840,1380,2460,370,2480,1500,400,1470,2790,1490,1210,3170,1520,1030,1270,1210,440,1660,1610,1580,1300,710,650,1450,1560,940,860,720,1580,560,920,1110,790,880,2210,1320,1290,2440,1870,5410,1370,1350,2230,1180,1230,1560,1190,960,810,1550,2610,1110,4580,2180,1230,1620,910,930,1080,1980,1460,1980,1430,1490,1600,2430,1780,1310,1590,560,1340,2150,2620,2350,1000,1390,640,1350,770,1000,1310,1180,1020,890,1010,1990,3050,730,1700,2020,1880,2670,1310,1340,1430,1000,1780,1690,860,4420,930,370,910,1320,980,490,1330,1300,900,1020,700,650,840,730,1280,690,1950,830,1910,800,1570,280,1030,940,540,990,.,680,910,710,1470,700,1250,1200,400,1650,890,360,1030,690
1997,2630,4320,1150,670,2510,660,1210,2600,680,1800,1680,650,1660,2810,1840,1220,3310,1730,1160,1000,1530,330,1610,1730,1650,1990,940,660,1630,1890,1060,1040,790,1640,710,990,1030,820,980,2190,1530,1430,2310,2110,6350,1500,1450,2350,1250,1220,1670,1210,1260,700,1850,3060,1170,3410,2630,970,1560,1130,1110,1280,2360,1940,1850,1350,1720,1580,2600,2270,1420,1450,640,1600,2110,2610,1870,1120,1790,800,940,700,1000,1270,1010,1160,970,1260,1750,3070,780,1870,2000,1450,3200,1400,1230,1560,870,1780,2000,780,4740,860,440,1010,1300,870,590,1490,1560,1210,1230,620,790,1120,780,1170,670,2060,930,2240,1010,1880,360,1220,1170,550,1070,370,770,1160,900,1450,830,970,1420,210,1570,670,380,1230,810
1996,2590,4780,1370,570,2270,880,1480,3670,790,1890,1300,550,1800,2630,1880,1310,4410,1700,1100,1220,1660,270,1530,1920,1530,1710,1240,810,1450,1990,1080,1050,790,1700,830,1020,1210,990,930,2110,1620,1540,2360,3030,6680,1590,2040,3480,1390,1350,2360,1280,1750,830,1870,3550,1100,3430,2340,1040,2190,920,1130,1300,1940,1880,2100,1720,1790,2210,2860,2630,1030,1430,790,1670,2000,2530,1590,1270,1790,1260,1350,850,1050,1270,1320,1230,1050,1140,2350,4040,970,2190,2080,2050,3080,1670,1350,1480,960,1880,2040,950,4700,1070,960,1550,1800,1460,860,2300,2110,1370,1550,630,940,1110,1040,1760,690,2480,940,3090,1340,2220,500,1460,2270,450,1090,440,620,1240,1010,1990,1240,1140,1850,400,2120,1150,430,1360,860
1995,2430,3970,1580,290,2520,780,1460,4980,580,1430,2700,370,2380,2240,1550,1200,4630,1570,1010,1350,1910,530,1790,1750,1820,2420,960,840,1380,2420,860,970,570,1910,930,870,950,550,930,2420,1540,1650,2500,2680,6030,1410,2580,4230,1410,1740,2540,1420,1920,970,1880,3360,1090,3110,2170,1150,2090,1170,1360,1050,1730,1480,2050,1550,1990,1780,2960,2680,1680,1430,840,1650,2210,2280,1870,1300,1670,1590,1170,1160,940,1150,1190,1200,1080,1860,2410,3740,850,2040,2250,2550,2450,1370,1840,1330,870,2060,1980,840,4590,1390,800,1570,1930,1460,930,1640,2240,1470,1150,620,750,1120,1150,1810,700,2770,1140,2680,1550,2260,390,1460,2190,830,1190,390,1090,1300,1360,1610,1130,1340,1590,480,2130,1110,320,1550,880
1994,2250,4490,2130,380,3130,820,1380,3480,600,1550,2430,360,1940,2530,1510,1070,3620,1920,1180,950,1510,570,2040,2340,1980,2760,1100,770,1660,2250,1040,1070,690,1400,820,1160,990,600,910,2640,1540,1710,2280,3260,5840,1530,2260,4260,1690,1850,2740,1170,1820,790,2180,3280,920,2630,1560,1170,1860,1400,1390,1050,1720,1780,2160,1630,2140,1610,2820,2340,1400,1850,660,1990,2260,2080,1320,1150,1230,1670,1140,710,1020,1200,1140,1010,1030,1930,2450,3990,890,1680,2320,1830,2860,1360,1880,1550,810,1850,2040,810,4020,1130,630,1260,2000,1240,720,1260,1510,1370,1270,630,590,1220,910,1510,520,1950,940,1610,990,1540,470,1300,1520,700,1130,420,1320,1240,910,1570,920,900,1480,610,1450,880,360,1340,720
1993,1510,3710,1190,360,2860,820,1280,2140,610,1640,1820,440,1570,2520,1080,1170,1850,1360,800,1220,1400,460,1400,1440,1540,1730,870,680,1030,1930,780,900,690,1080,590,930,570,410,660,1960,1120,1400,1600,2090,4160,1260,2050,3390,1230,1300,1700,1130,1490,670,1300,3050,990,2060,1600,1130,1290,960,1020,1030,970,1240,2030,1480,1410,1160,1680,1410,1550,1340,720,1450,2030,1590,1610,1190,1110,1550,1040,670,930,1050,910,950,970,1800,1720,2660,890,1320,1680,1960,3060,1370,1080,1330,800,1460,1590,960,2830,760,710,1030,1170,910,710,1080,1220,1100,920,540,580,770,910,1170,540,1250,860,1630,990,1420,320,930,1070,630,1040,340,990,890,1100,1140,1030,760,1160,530,1510,600,310,1120,580
1992,1620,4450,1420,380,2440,870,1190,2270,550,1890,1790,330,1610,2620,1090,1160,2340,1280,950,1230,1550,310,1720,1790,1280,1580,710,670,1180,1840,550,970,550,1270,640,740,660,320,710,2070,1330,1580,1730,2470,4080,1060,2170,3850,1330,1380,2000,940,1400,630,1440,2720,920,1960,1260,1210,1260,910,960,1150,1020,1320,1870,1210,1460,1380,1700,1420,1810,990,640,1820,2060,1760,1460,1160,850,1730,1130,840,990,1210,770,1030,920,1230,1850,2230,590,1500,1630,1670,2800,1430,950,1380,900,1330,1810,880,3050,1000,650,1100,1370,980,820,1460,1340,1050,920,590,710,820,1180,1290,560,1300,1150,1600,980,1450,490,1150,1430,690,980,420,680,1000,1100,1370,1040,950,1300,500,1380,700,310,1420,650
