,WR-12,WR-3,mg-532,BC-3,pr-965,jc-170,jc-139,jc-134,jc-149,jc-151,WR-11,WR-10,mg-533,jc-163,jc-162,jc-140,jc-181,jc-175,jc-167
2009,669,475,.,685,.,.,.,.,.,.,395,1216,.,.,.,.,.,.,.
2008,423,585,.,827,.,.,.,.,.,.,518,1218,.,.,.,.,.,.,.
2007,687,922,.,1273,.,.,.,.,.,.,599,2330,.,.,.,.,.,.,.
2006,546,933,.,1022,.,.,.,.,.,.,675,2090,.,.,.,.,.,.,.
2005,435,1015,.,996,.,.,.,.,.,.,499,721,.,.,.,.,.,.,.
2004,419,452,.,1007,.,.,.,.,.,.,481,616,.,.,.,.,.,.,.
2003,523,659,1332,1263,1500,1359,1798,461,2332,746,423,576,1139,261,253,131,68,85,145
2002,616,779,1511,1340,1725,1483,1956,918,2832,963,429,862,1584,268,195,144,53,68,127
2001,637,875,910,996,2469,1750,992,1216,1287,478,507,1027,1095,223,207,174,91,65,127
2000,677,1145,1020,748,2953,1527,2119,2234,1444,663,602,820,1637,209,232,150,95,66,135
1999,753,921,614,683,1965,1946,1997,1457,1811,708,580,1016,1415,228,274,196,99,111,155
1998,634,1067,811,588,1755,2794,1270,1519,2227,822,430,1834,1472,195,227,285,89,64,251
1997,529,1586,314,739,1038,867,1894,1646,2618,1089,390,1903,700,132,210,86,87,74,250
1996,2462,2126,1073,827,1312,2377,3025,1714,2186,1542,879,2888,2106,299,340,232,96,63,155
1995,1395,2086,974,957,1170,3126,2365,1053,3273,1750,800,628,1278,298,244,310,95,132,108
1994,1430,2428,1208,892,1005,2039,2998,906,2609,2283,1183,805,1123,258,201,203,79,96,88
1993,1337,1548,935,526,995,1443,1837,208,1789,1192,1076,637,855,277,212,147,85,95,86
1992,1543,1304,927,533,990,1423,2556,132,2447,1551,940,351,1006,270,309,139,102,151,130
1991,1292,974,788,381,794,1126,1477,1740,2066,1237,822,192,721,286,317,109,87,90,83
1990,1343,1178,962,516,698,854,1889,2498,2138,1329,606,138,887,308,291,84,90,30,96
1989,677,1225,1169,948,1375,972,1952,832,2745,2194,590,219,944,280,279,94,92,70,109
1988,1127,1403,1353,824,1504,1229,1332,1330,1843,1204,781,300,1490,189,207,119,72,58,94
1987,1261,1571,1324,1072,2436,868,3086,2382,2304,1553,699,408,1590,232,286,86,131,115,129
1986,803,1280,1068,823,1262,1026,1798,1751,1271,901,738,253,1050,172,199,101,88,37,66
1985,1127,1471,1587,799,1547,768,2911,1337,1134,1125,1136,110,1303,221,249,80,121,81,85
1984,706,783,1287,828,1043,805,2793,1441,1406,1457,815,226,1395,195,262,78,103,72,105
1983,708,1901,1630,764,1456,779,2884,1605,1614,1427,1295,291,1778,236,279,76,133,100,127
1982,872,1822,1580,841,2316,850,2594,1758,1767,1258,1092,477,1951,237,363,88,148,105,158
1981,865,2076,1322,967,1732,1323,1185,1896,1732,1248,775,563,2017,298,448,129,190,114,180
1980,1109,2029,1175,867,1303,1091,1999,1801,1707,1515,645,431,1504,268,380,102,123,107,141
1979,1379,1088,670,998,915,1075,1363,1621,1533,1553,480,329,1065,247,340,102,98,109,112
1978,1590,1624,699,779,1100,1083,1228,2741,1354,1014,749,476,1745,248,291,119,112,71,88
1977,1771,3044,695,1717,1766,620,2008,2600,1651,1326,1055,638,1469,314,337,59,139,69,137
1976,3596,3371,576,1486,1729,878,1968,3454,2568,1605,805,636,1579,375,317,92,115,78,109
1975,1957,3206,1132,1387,1409,1472,3157,3459,1886,1912,1072,287,2482,209,296,144,102,95,72
1974,2244,2852,919,1308,1228,863,4057,2505,2623,1990,1187,274,2278,355,231,81,107,62,71
1973,3170,2790,900,1340,1225,1326,3743,2159,3562,1709,1069,216,2137,395,265,133,81,74,351
1972,2839,3066,819,1607,2012,1195,3200,2491,2874,1575,1243,252,1452,409,291,124,99,101,395
1971,3058,1930,1601,1407,1569,1039,2778,1834,2467,1275,778,182,2067,389,249,106,75,89,195
1970,3089,2226,2744,1454,1665,604,2874,2667,3655,1233,794,55,2834,443,213,66,91,72,241
1969,2474,3173,2444,2172,2196,894,1422,3541,3552,1531,710,128,2740,428,234,83,98,85,254
1968,2141,2909,2233,1709,1910,1033,4519,4744,3440,1929,606,236,2818,432,223,109,101,130,187
1967,2477,2868,1620,1927,1411,1117,3639,4187,3913,1842,553,425,1917,402,159,115,85,150,166
1966,2923,3100,2162,2617,1246,991,2318,4009,2542,1391,620,203,2432,442,224,89,80,188,214
1965,2692,2907,2240,2574,1661,522,3558,3571,1735,1649,610,247,2705,375,217,59,99,185,417
1964,2791,2111,2107,2168,1178,529,3166,3885,2158,1948,623,205,2655,401,152,52,54,104,294
1963,2094,730,2250,1850,1288,285,2060,3743,3514,1973,637,155,2976,339,165,24,41,73,203
1962,1335,640,2137,1839,1221,729,1807,4765,3336,2370,703,72,2834,273,100,75,40,58,123
1961,2450,1179,1641,1456,906,589,1919,2288,2330,1903,1046,252,2259,252,145,68,43,51,144
1960,2300,1217,1587,1409,1217,377,1529,1444,1738,1407,1706,266,2194,172,126,29,34,23,78
1959,2102,1299,1733,1130,659,647,1876,1996,2151,1782,2397,314,1578,170,127,68,56,63,63
1958,1322,1741,2758,1076,1198,839,2126,2911,1942,1826,2719,418,2082,213,127,79,60,59,53
1957,1398,2173,2576,1412,1259,867,2209,2760,2841,2045,3567,760,1909,190,181,88,93,71,80
1956,1015,2415,2901,1427,675,611,2954,2887,2554,2061,2199,361,2762,219,131,68,49,86,195
1955,868,1682,2515,1556,1057,666,3411,2232,2232,2103,1334,414,2309,219,122,62,36,85,147
1954,817,1405,2767,1186,484,503,3116,2693,2334,2026,989,611,2828,228,142,56,49,122,151
1953,870,1195,2956,1236,1016,945,3129,3910,2893,2160,624,607,3741,253,228,98,69,140,327
1952,1018,1300,2028,992,1185,1063,3456,2694,2947,2242,682,643,2117,197,214,112,91,115,232
1951,998,2228,3747,1090,1751,1266,3949,3900,3565,3123,860,808,4196,313,309,121,95,149,267
1950,1087,1866,3021,1124,2345,1094,3284,3256,3219,3316,810,1007,2580,318,318,113,94,174,177
1949,1189,1735,3174,835,2322,1124,2488,3428,3041,2997,1144,1091,2860,232,230,111,107,120,96
1948,2068,2058,3850,1219,2364,769,2263,3951,4695,3591,1267,1171,3945,340,314,79,87,111,63
1947,2323,1557,3590,1070,1917,918,1754,3039,3538,3717,873,1249,3717,318,303,95,112,125,47
1946,1598,1747,2395,796,1056,861,1962,3285,3403,2744,1002,1288,2628,252,298,85,107,77,62
1945,1812,1664,3270,801,1393,882,1296,2296,3214,2483,1032,1165,3393,225,205,88,79,62,60
1944,2079,1180,3245,603,898,590,788,2426,2003,993,625,724,3019,141,159,57,54,43,53
1943,1927,1438,3626,960,.,909,2051,2568,2517,1680,778,869,3459,315,236,93,59,72,108
1942,2515,1601,4099,701,.,915,1900,2668,2270,1349,1036,865,3190,288,200,92,76,91,114
1941,2532,1569,4265,567,.,1619,2313,3843,2237,1465,913,1028,3295,335,259,170,93,81,168
1940,1840,1569,3607,690,.,1612,2173,3936,2303,1393,951,1069,3598,236,213,155,104,87,151
1939,2622,2755,3050,500,.,1230,1757,3604,3165,1791,782,.,3452,229,130,124,111,67,170
1938,2578,2690,2999,.,.,1084,2640,3201,2310,2475,1162,.,3319,289,232,109,117,92,183
1937,3071,2280,3328,.,.,1304,3001,3920,1673,1941,1116,.,3087,274,264,121,156,98,195
1936,2415,1746,3758,.,.,1210,1804,2565,1495,1954,957,.,3147,177,237,115,129,46,134
1935,2622,1947,3516,.,.,1401,2054,3391,2420,2540,1102,.,3426,256,296,136,177,112,192
1934,1855,1563,4141,.,.,1616,1606,3942,1985,1800,1352,.,3086,243,284,161,210,97,181
1933,895,1228,3357,.,.,1270,727,2695,1058,824,1166,.,3000,159,155,122,99,55,127
1932,746,2598,3429,.,.,1457,1300,3769,1822,1637,1020,.,2938,220,218,140,183,168,215
1931,905,2552,3245,.,.,1316,1279,3839,1632,1901,1655,.,3053,168,210,127,190,238,199
1930,627,1433,3300,.,.,848,1142,2824,1151,2125,1721,.,2966,143,204,86,224,143,183
1929,897,1467,2618,.,.,1918,3133,3495,1537,1572,2248,.,2300,140,266,175,256,116,185
1928,672,1092,3295,.,.,1281,3755,3896,1591,1479,2201,.,2249,185,298,109,185,133,165
1927,533,1013,2411,.,.,1233,3289,3059,982,1360,1278,.,2283,147,230,107,132,138,126
1926,354,.,2060,.,.,217,1695,3158,827,1457,1501,.,1864,68,112,21,80,176,120
1925,443,.,2490,.,.,913,1729,2742,910,1713,1816,.,2605,53,159,78,116,158,137
1924,516,.,2630,.,.,1047,2354,3983,1110,2421,1987,.,3280,68,194,89,205,220,143
1923,507,.,2551,.,.,842,2041,5103,953,2580,1828,.,3071,75,244,88,227,227,199
1922,314,.,3414,.,.,927,1689,5322,1198,3489,1604,.,4435,149,323,85,229,276,222
1921,459,.,3603,.,.,1016,794,3257,1112,3597,690,.,4505,119,314,101,97,168,140
1920,381,.,2490,.,.,1086,738,1961,755,3146,682,.,2941,165,236,123,95,125,129
1919,1047,.,1003,.,.,1294,985,2505,1228,3463,819,.,1749,210,371,138,107,125,158
1918,946,.,1267,.,.,.,651,1788,1345,2827,464,.,2580,149,.,.,79,61,209
1917,1314,.,1325,.,.,.,926,2056,2006,3021,857,.,3211,191,.,.,109,81,210
1916,987,.,1990,.,.,.,1582,3099,2602,3393,526,.,.,194,.,.,113,.,204
1915,1256,.,1935,.,.,.,2067,2389,1043,3055,615,.,.,183,.,.,92,.,191
1914,1312,.,1542,.,.,.,2023,2497,1206,2477,1298,.,.,123,.,.,89,.,174
1913,1430,.,.,.,.,.,2363,3010,1286,3453,950,.,.,172,.,.,95,.,243
1912,1938,.,.,.,.,.,1160,.,832,3289,569,.,.,115,.,.,85,.,.
1911,1050,.,.,.,.,.,929,.,604,3045,303,.,.,36,.,.,46,.,.
1910,1389,.,.,.,.,.,1238,.,980,3810,626,.,.,107,.,.,83,.,.
1909,.,.,.,.,.,.,1196,.,910,4222,.,.,.,82,.,.,78,.,.
1908,.,.,.,.,.,.,1069,.,.,.,.,.,.,156,.,.,140,.,.
1907,.,.,.,.,.,.,867,.,.,.,.,.,.,.,.,.,117,.,.
1906,.,.,.,.,.,.,1489,.,.,.,.,.,.,.,.,.,106,.,.
1905,.,.,.,.,.,.,1664,.,.,.,.,.,.,.,.,.,105,.,.
1904,.,.,.,.,.,.,597,.,.,.,.,.,.,.,.,.,63,.,.
1903,.,.,.,.,.,.,584,.,.,.,.,.,.,.,.,.,63,.,.
1902,.,.,.,.,.,.,1658,.,.,.,.,.,.,.,.,.,50,.,.
1901,.,.,.,.,.,.,1386,.,.,.,.,.,.,.,.,.,70,.,.
1900,.,.,.,.,.,.,1047,.,.,.,.,.,.,.,.,.,28,.,.
1899,.,.,.,.,.,.,1127,.,.,.,.,.,.,.,.,.,.,.,.
1898,.,.,.,.,.,.,1621,.,.,.,.,.,.,.,.,.,.,.,.
1897,.,.,.,.,.,.,1180,.,.,.,.,.,.,.,.,.,.,.,.
1896,.,.,.,.,.,.,1734,.,.,.,.,.,.,.,.,.,.,.,.
1895,.,.,.,.,.,.,1467,.,.,.,.,.,.,.,.,.,.,.,.
1894,.,.,.,.,.,.,1098,.,.,.,.,.,.,.,.,.,.,.,.
1893,.,.,.,.,.,.,2195,.,.,.,.,.,.,.,.,.,.,.,.
1892,.,.,.,.,.,.,2665,.,.,.,.,.,.,.,.,.,.,.,.
1891,.,.,.,.,.,.,3026,.,.,.,.,.,.,.,.,.,.,.,.
1890,.,.,.,.,.,.,2017,.,.,.,.,.,.,.,.,.,.,.,.
1889,.,.,.,.,.,.,3012,.,.,.,.,.,.,.,.,.,.,.,.
1888,.,.,.,.,.,.,2377,.,.,.,.,.,.,.,.,.,.,.,.
1887,.,.,.,.,.,.,1943,.,.,.,.,.,.,.,.,.,.,.,.
1886,.,.,.,.,.,.,2806,.,.,.,.,.,.,.,.,.,.,.,.
1885,.,.,.,.,.,.,2665,.,.,.,.,.,.,.,.,.,.,.,.
1884,.,.,.,.,.,.,2689,.,.,.,.,.,.,.,.,.,.,.,.
1883,.,.,.,.,.,.,2673,.,.,.,.,.,.,.,.,.,.,.,.
1882,.,.,.,.,.,.,3118,.,.,.,.,.,.,.,.,.,.,.,.
1881,.,.,.,.,.,.,1778,.,.,.,.,.,.,.,.,.,.,.,.
1880,.,.,.,.,.,.,1995,.,.,.,.,.,.,.,.,.,.,.,.
1879,.,.,.,.,.,.,1176,.,.,.,.,.,.,.,.,.,.,.,.
1878,.,.,.,.,.,.,2021,.,.,.,.,.,.,.,.,.,.,.,.
1877,.,.,.,.,.,.,2263,.,.,.,.,.,.,.,.,.,.,.,.
