,HCL-2,HCL-4,HCL-15,HCU-4,HCU-5,HCU-6,HC-7,PB-6,PB-7,PB-10,RB-3,RB-4,RB-10,USF-23,USF-7,HCL-12,USF-8
2010,.,.,.,3612,465,3444,1492,887,1367,771,.,.,.,903,.,.,1251
2009,524,660,1595,4927,530,4393,1673,931,1758,699,1853,987,2436,1096,1490,583,2174
2008,275,825,1316,3272,533,2926,1416,798,1991,871,2084,1407,2172,1444,1907,678,3086
2007,275,726,1383,4382,549,5410,2086,1048,2477,516,2204,1728,2415,768,1481,483,1680
2006,522,2019,2582,4020,367,3168,1268,1523,2017,1107,2659,1763,2534,970,1697,1288,1972
2005,552,2243,2078,3062,424,3236,1117,1678,2139,704,2325,1180,2714,1027,1362,1288,1239
2004,364,1715,1239,4705,685,5280,1492,777,2569,1538,1832,1500,2965,1483,1950,1076,2578
2003,230,1551,1732,2133,615,4986,1871,1114,2244,1328,1347,1013,2709,1580,1886,945,1772
2002,212,1703,1114,2787,910,3353,2572,740,2100,1083,1505,905,1806,2322,1632,488,2208
2001,443,1421,1486,3488,1237,4221,3539,974,1963,1190,1186,887,1434,2103,1770,590,1444
2000,657,1537,1465,3479,947,3176,2283,644,1267,833,1162,998,1458,1393,1779,582,1301
1999,1383,2070,2602,4288,1337,3028,3221,809,1850,1309,1752,1552,2087,1768,1731,1198,1553
1998,1329,1926,2918,3550,1365,2848,3020,537,2331,1508,1941,1480,1728,1396,2252,987,1688
1997,1947,1819,3893,4555,1950,3911,5042,1223,2780,1430,3154,2980,2242,1588,2111,944,2138
1996,2303,1527,2287,4844,1884,5214,4276,1374,2312,1201,3080,3204,2077,1192,1319,743,2136
1995,2641,2582,3301,6883,2533,7730,5605,1520,2789,1618,2932,2738,2685,1892,2150,1235,2313
1994,1206,1331,2024,5865,2354,5206,5408,1612,2535,1128,3229,1911,2945,1797,2423,638,1482
1993,692,931,1567,3594,1457,5007,2384,979,1828,1157,2012,1266,991,871,1420,533,1665
1992,1446,1859,2413,4687,2892,6088,.,834,1912,869,2193,2258,2035,964,1882,813,1384
