,BC-4,SD-14,SD-9,pr-974b,pr-930,pr-921,pr-926,pr-957a,pr-951,pr-967,pr-933,pr-952,pr-962,pr-948,jc-156,jc-p400,mg-523,mg-523b
2010,1024,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009,1056,1559,1800,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2008,995,1463,1817,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2007,719,872,1636,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2006,897,1388,1806,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2005,856,1361,1466,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2004,948,1018,1656,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2003,833,1037,1575,627,505,1141,458,476,460,1535,880,722,736,983,2180,2150,630,650
2002,1064,946,1450,1995,782,1323,679,840,1220,3228,1756,1744,827,1153,2030,3470,670,760
2001,998,1093,1289,1863,724,1039,536,938,1388,2517,1705,1559,786,885,1760,2670,850,840
2000,979,792,1338,1638,568,969,519,766,1120,2243,1948,1345,672,932,2070,2360,710,740
1999,748,1437,1235,1517,918,958,549,688,960,1941,1755,1248,628,1011,3380,2380,860,990
1998,1002,974,1130,1314,497,892,570,568,847,1710,1726,1216,473,1037,2390,2390,630,630
1997,937,992,1634,1317,587,959,533,616,655,1594,1385,1083,521,1168,2150,1970,600,550
1996,892,1031,1113,1541,579,1139,537,866,825,1860,1267,1166,528,1235,1670,2110,760,590
1995,915,780,1522,1884,490,1140,592,825,1549,1594,1230,1055,757,1117,1760,2290,470,510
1994,717,908,1489,1642,494,1022,564,1112,1305,1912,985,915,931,1226,1760,1810,490,470
1993,601,524,959,1423,573,747,392,693,927,1489,709,766,731,1232,1300,1710,340,360
1992,761,750,1088,1626,760,1026,450,724,981,1499,1516,1042,719,1613,1030,1970,420,430
1991,706,587,1194,1382,568,927,591,731,740,1330,1365,658,745,1269,710,2280,380,390
1990,946,921,1144,1894,542,738,836,641,1087,1485,1732,1077,891,1268,1300,2520,370,450
1989,684,1027,1370,1575,466,801,667,664,1268,1626,1695,840,946,1835,1260,2180,470,370
1988,781,1003,1180,2079,482,739,695,949,1080,1547,1468,793,872,1698,1750,1750,360,420
1987,833,1388,1096,2498,606,1253,1106,1009,1346,1936,1797,1053,1092,3677,2070,2710,470,620
1986,851,1293,1245,1806,439,676,951,479,684,1218,1355,770,892,2536,1560,2180,470,370
1985,740,755,996,2082,414,676,676,667,902,1389,1186,766,879,2013,1390,2470,480,480
1984,638,748,1105,1125,468,458,325,573,579,1392,1115,726,551,1524,1230,2650,360,420
1983,727,1003,997,1576,586,840,528,717,896,1540,1425,948,947,1384,1500,2940,520,650
1982,747,1022,1295,1381,551,961,476,768,909,1609,1395,1116,1104,1844,1320,2400,620,700
1981,952,995,960,1140,589,953,397,425,632,1154,1465,851,836,1410,1120,2510,520,740
1980,918,774,928,1289,538,1007,200,442,776,1571,1584,1250,873,1398,870,2570,460,630
1979,749,557,958,1404,441,344,226,374,585,993,1332,826,568,1316,840,1890,400,590
1978,983,957,768,1112,495,807,304,427,725,1593,1271,940,753,1122,1010,1980,540,820
