,dc-239,dc-313,dc-312a,dc-226,dc-293,dc-290,dc-310,dc-316,dc-239a,dc-268,dc-267,dc-233,dc-204,dc-234,dc-230,dc-240,dc-258,dc-232,dc-196b,dc-265,dc-321,dc-311,dc-259b,dc-203,dc-322,ds-547,ds-466,ds-553,ds-376,ds-375,ds-554a,ds-464,ds-472,ds-554,ds-5,ds-585,ds-4,rk-080a,rk-026,rk-031b,rk-099b,rk-099a,rk-035b,rk-004,rk-031,rk-025,rk-098b,NN-4,NN-10,NN-12,HCL-6,HCL-7,CC-10,CC-18,CB-2,CC-9
2009,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,690,2131,1131,1758,657,1177,891,2128,1650
2008,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,661,1627,644,1807,598,1025,1127,2038,1367
2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,620,1675,736,1396,594,1087,1208,2522,1257
2006,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,604,1528,616,1423,569,1299,941,1681,1465
2005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,735,1949,824,2000,628,858,1222,2340,1215
2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,692,1992,957,2199,855,1193,1251,2502,1740
2003,810,900,270,750,410,880,370,1580,2220,650,270,460,890,350,600,2500,410,560,480,1140,1710,1210,350,470,480,1160,1300,850,530,690,490,310,510,1220,530,510,870,1020,1260,1540,1430,1890,900,790,1280,600,380,601,2341,1209,2075,665,1219,1325,3005,1319
2002,1070,1430,340,820,1250,1400,350,2450,2850,1160,500,550,900,360,1080,2410,880,640,350,1230,1390,1750,410,550,790,1020,1230,1440,990,1200,590,980,1040,1100,710,990,1230,1180,1560,1290,1790,2180,1370,700,1360,720,510,622,2115,909,1617,603,1254,1350,3807,1249
2001,830,1380,500,680,1180,1140,390,1620,2640,970,520,450,970,330,1130,1660,790,540,500,1180,1420,1480,410,400,630,1420,1330,1340,970,1100,650,770,840,1470,640,960,850,1020,1610,1460,1580,2090,1340,710,1310,720,450,548,1571,607,1159,531,1032,956,2243,1073
2000,750,1050,440,490,1290,1100,300,1750,2960,990,510,380,910,470,760,1250,430,470,500,960,1090,1330,300,430,670,870,990,880,770,1000,510,700,940,1250,530,840,850,1310,1120,1330,1290,2110,1040,750,1210,480,410,582,1490,524,1312,381,1073,889,2061,675
1999,780,1140,430,890,1530,1040,290,1440,3220,1220,690,450,1020,420,1000,1830,700,360,500,820,1290,1530,350,270,1010,1260,1080,1010,900,1390,520,970,540,1160,590,880,910,1170,1260,1620,1980,2870,1010,790,1490,530,450,430,1551,548,1606,536,1001,1053,2280,1023
1998,890,1110,370,1060,1220,1040,430,1640,2470,1180,640,500,820,290,820,1860,630,530,390,910,1700,1810,200,430,1240,1220,1250,1000,1140,1290,530,960,1120,1370,490,900,970,1290,1450,1500,1860,2380,1160,1020,1340,940,490,319,1566,385,1290,445,1029,1209,2036,955
1997,1020,1140,440,920,830,810,450,1490,2030,1070,620,600,700,260,820,2210,750,610,410,920,1140,1460,310,530,1330,1010,1450,1340,1090,1300,470,950,880,1260,700,940,1250,1180,1440,1750,1520,2340,930,980,1730,660,960,490,1659,481,1879,591,1213,1143,2240,1172
1996,1240,1160,510,780,1670,900,510,1150,2470,1190,680,650,960,380,1130,2910,800,590,490,850,1800,1560,390,500,1310,760,1440,1170,1030,1540,600,760,890,1570,740,1230,1230,1340,1460,1630,2410,3160,1310,970,1710,620,820,335,1696,534,1615,497,1287,1215,2547,1136
1995,1350,1120,520,990,2320,1550,500,2140,1970,1300,740,640,1110,480,1210,2580,930,890,700,640,2040,2560,620,490,1270,1240,1360,1270,940,1870,420,1370,1490,1340,580,1240,1890,1530,1710,1490,2290,3330,1150,800,1480,910,780,369,1567,496,2052,690,958,1191,2521,1225
1994,1070,1020,430,1090,2090,1300,580,1370,1850,1540,740,660,1370,410,830,1470,940,640,810,550,1380,1640,670,500,1110,1190,1370,970,990,1310,550,910,1050,1730,600,1070,1670,1470,1830,1380,2100,2260,1250,840,1370,580,750,552,1446,438,2441,539,940,916,2039,1327
1993,690,900,430,630,1140,880,610,1300,1490,1170,680,460,840,440,730,1160,810,580,530,520,1220,1320,610,590,1070,870,1100,570,800,840,400,580,760,1160,640,800,910,850,1220,1200,1970,2290,1040,970,1050,570,640,424,1240,317,1938,503,588,722,1487,766
1992,1060,820,640,890,1670,730,650,1420,1560,1220,680,640,910,480,1110,1370,1040,790,600,540,1400,1640,720,490,1410,980,1210,740,1050,990,480,580,820,980,590,1210,1080,1390,1150,1180,2430,2790,1140,1000,1090,660,620,299,1147,314,2277,561,716,1382,1836,814
1991,800,860,450,710,1470,760,510,1240,1180,950,550,680,870,430,780,1340,770,560,550,580,1010,1330,580,510,1160,700,1330,780,750,880,530,440,730,820,640,980,880,1230,1220,1320,2620,2150,1190,660,1400,570,540,478,1285,377,2861,647,849,870,1813,850
