,WR-15,BC-5,HC-15,BC-13,WR-5,BC-10,BC-16,BC-12,WR-8,WR-16,WR-9,WR-4,dc-318,dc-319,ds-546,rk-053,rk-003
2010,.,885,763,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2009,2877,2536,931,2343,3558,1572,1830,586,.,1670,1114,174,.,.,.,.,.
2008,2043,1090,836,1537,2800,1374,1477,862,.,1565,845,159,.,.,.,.,.
2007,2334,2192,1818,1897,3886,2330,2304,1362,.,3065,2345,289,.,.,.,.,.
2006,2458,1408,866,1874,3535,1286,2045,1935,.,2161,1940,246,.,.,.,.,.
2005,2841,2445,1429,1622,3046,1277,1700,658,.,3321,4272,272,.,.,.,.,.
2004,2238,2146,1284,1587,2275,746,1735,685,.,2264,2691,483,.,.,.,.,.
2003,1310,2660,875,1427,2106,860,1583,632,.,1688,2520,490,1059,.,40,137,.
2002,1463,2207,601,1542,2046,830,1387,827,.,1369,1608,422,1714,1053,62,201,89
2001,1473,2607,1389,1891,2390,993,1592,1094,.,1719,1274,378,2250,1038,87,221,84
2000,1911,3410,1604,2343,1874,860,1472,1198,.,1912,1764,318,1370,1554,69,100,48
1999,2233,2266,1986,2262,1879,673,2130,1158,.,1961,1195,477,1760,1145,24,115,65
1998,1982,2593,2732,3329,1677,1213,1483,824,247,2218,1861,408,1931,1085,44,115,77
1997,1862,1861,2812,2010,1311,1182,1487,876,350,2360,1166,562,1367,809,47,113,63
1996,3099,3192,3273,2591,1644,1816,2018,878,471,2552,1790,678,1900,620,107,188,63
1995,3091,2559,3398,3009,1550,1334,2055,776,492,1482,1726,711,1629,651,100,130,120
1994,2670,2864,4901,2544,2042,1210,2305,822,400,1073,2249,621,2070,1895,82,152,180
1993,2351,2791,1890,1613,1314,915,1545,773,843,1130,1232,617,1006,2040,96,159,139
1992,2382,2637,2216,1151,1498,977,1790,397,803,795,1578,670,1173,1025,63,125,64
1991,2002,1394,1740,1224,1566,618,1303,91,668,840,2418,373,1082,728,35,102,65
1990,2656,3770,1942,1387,1081,998,1126,274,721,766,1983,656,1428,1139,68,149,104
1989,1812,2326,2638,1253,1613,1026,942,207,396,1193,2211,834,1347,1090,74,137,182
1988,1426,1702,1386,1216,825,573,824,167,282,885,1258,826,1982,1297,66,125,143
1987,2090,3744,3017,1908,1898,1022,1220,214,527,1120,1337,879,2083,1457,155,136,192
1986,1694,1262,2010,1084,1259,542,990,216,353,983,918,961,1764,1268,66,153,132
1985,1632,2335,3300,1258,1981,721,1019,310,627,902,1345,1197,1576,1435,78,143,202
1984,698,2620,3327,1448,1185,927,1081,369,960,1084,955,1199,2106,1346,81,175,142
1983,1071,2783,3997,1618,1679,1186,1520,739,1013,1399,1588,1652,1857,1876,122,356,207
1982,1078,1842,4118,1414,2400,949,1876,623,784,1688,1002,1469,2050,1497,179,247,216
1981,2296,3065,.,1689,2207,1228,1943,635,940,1856,1239,1432,2487,1857,115,268,321
1980,2308,2939,.,1701,2171,1777,1655,624,749,1933,1724,1455,1952,1823,93,217,284
1979,1911,1938,.,1408,2454,1372,2002,523,425,1402,1995,1238,1230,1636,61,141,180
1978,2442,2044,.,2000,2144,1027,1676,876,854,1582,1541,1296,1691,1005,112,141,176
1977,2911,2907,.,2798,3423,1742,2086,996,960,2111,1754,1729,2110,1807,114,170,279
1976,3249,3290,.,2809,3728,1862,1990,876,635,2440,2070,2285,1802,2278,102,143,264
1975,3475,3824,.,2744,3013,2537,2019,1024,1017,1789,1581,2178,2131,2001,182,249,186
1974,3376,3322,.,2854,3562,3236,2531,1013,1219,1835,1931,1724,1912,1903,191,307,271
1973,2892,2420,.,2244,3699,2464,1709,1369,870,2076,1747,1468,2292,1580,136,331,225
1972,3094,1656,.,2775,4095,2626,1980,1058,1022,2133,1986,1577,2679,1584,74,253,211
1971,2339,1268,.,2065,2903,2389,1389,876,751,2095,1461,1315,1749,1777,135,267,155
1970,2806,2150,.,1560,3003,2557,1069,867,805,1999,2082,1376,2460,1883,121,328,203
1969,2958,1750,.,1276,2709,2481,1167,1300,377,2214,1974,1647,2270,1575,85,414,207
1968,2680,1983,.,1171,2296,2531,1232,1448,1046,2153,1519,1897,1933,2204,138,326,287
1967,1889,2173,.,1022,2012,2679,351,1366,1315,2168,1272,2442,1164,1537,70,138,211
1966,2580,1412,.,1248,2779,2330,1295,903,1644,1634,2089,2378,1557,1133,144,319,196
1965,1694,1374,.,1134,2015,2126,1685,1216,760,1453,1383,2308,1927,1215,125,267,158
1964,1297,1441,.,1070,1982,1668,1392,1075,760,1360,1141,1443,2715,1120,81,241,144
1963,2397,1790,.,1280,1715,3156,2348,1138,1167,1493,1377,987,556,1919,23,69,91
1962,2921,1153,.,1200,3091,2947,1709,752,1097,1367,1048,447,906,603,39,74,42
1961,2359,1392,.,1529,2418,2063,2152,879,630,1780,1076,1820,1260,724,85,101,61
1960,2484,1166,.,1780,1991,1660,2062,649,497,1514,1080,2181,1547,749,76,192,49
1959,2749,985,.,1536,1830,1858,1379,520,442,1447,1154,1827,1115,1048,111,97,29
1958,1855,1813,.,1706,1943,2490,1777,587,493,1063,966,2074,1692,829,107,188,33
1957,2263,1785,.,2383,2075,2725,2041,1047,316,1442,2072,2556,1554,1153,236,254,67
1956,1222,1701,.,2947,1620,2578,2044,1088,297,1238,1506,1437,1798,1276,193,381,109
1955,1006,1573,.,2986,984,1070,1776,1072,404,1235,1557,1315,1359,1728,198,369,142
1954,959,2495,.,2228,1121,2554,2041,830,356,1822,2984,1868,1440,1436,195,182,205
1953,781,1797,.,2447,1668,2093,2365,1178,600,1651,2967,1626,1653,1173,178,502,210
1952,1514,1310,.,2112,2033,1418,2093,1116,638,1819,2376,1735,1238,1303,175,350,190
1951,1785,1549,.,2075,2837,2669,2503,1356,500,2577,2677,1972,1399,1374,180,420,321
1950,1628,1232,.,1477,2661,2302,2879,1996,894,2915,1325,2431,1731,1456,219,429,144
1949,1461,1089,.,1295,2925,1519,1832,944,1043,2189,872,2260,1122,2158,165,268,136
1948,1866,1735,.,1191,3093,1804,1950,1186,838,2833,650,2369,1472,1406,131,371,276
1947,1370,1597,.,933,2496,1611,1659,933,774,2845,1243,2225,1179,1759,96,447,299
1946,1364,1092,.,973,2389,1451,1783,1150,758,2790,1373,2106,458,1349,0,220,243
1945,1739,1584,.,645,1914,1052,1998,1490,935,2537,1613,2080,1350,556,0,171,250
1944,1936,1021,.,563,1600,985,1426,1196,702,1947,633,2320,851,1906,0,321,231
1943,2078,1280,.,339,1810,1431,1632,1016,568,1899,1529,2130,1105,1168,35,359,211
1942,1713,1369,.,395,2412,1485,1685,1008,499,1136,1957,2400,1268,1285,39,339,339
1941,2145,1131,.,245,2322,826,1387,935,368,2615,1745,2837,1202,1899,112,379,388
1940,2160,1021,.,416,1728,1247,.,1111,585,2240,2050,2192,1947,1475,178,361,444
1939,2945,1158,.,373,1577,1229,.,1048,498,2483,2125,3040,1170,2078,200,324,286
1938,2943,1168,.,330,1324,1421,.,688,704,2209,1956,2877,.,1220,221,246,236
1937,2965,1409,.,.,1897,1588,.,1074,557,2659,2011,3601,.,1413,157,418,.
1936,1654,664,.,.,950,1879,.,830,456,1883,1731,3443,.,1454,121,397,.
1935,2278,1271,.,.,813,1741,.,1220,649,2347,2447,3668,.,1619,118,273,.
1934,2011,1302,.,.,1409,1489,.,.,531,3095,2474,2752,.,1668,86,223,.
1933,1563,413,.,.,864,266,.,.,390,2422,1577,1458,.,769,125,199,.
1932,1257,640,.,.,1185,375,.,.,608,2681,1695,1462,.,1331,112,249,.
1931,943,651,.,.,1741,402,.,.,715,.,2160,1502,.,.,115,262,.
1930,1370,528,.,.,1535,503,.,.,227,.,.,1359,.,.,66,148,.
1929,1781,1056,.,.,.,354,.,.,173,.,.,1290,.,.,107,120,.
1928,1596,876,.,.,.,548,.,.,394,.,.,1093,.,.,62,181,.
1927,1376,820,.,.,.,435,.,.,369,.,.,1198,.,.,54,218,.
1926,411,181,.,.,.,330,.,.,301,.,.,1001,.,.,21,146,.
1925,.,505,.,.,.,1340,.,.,616,.,.,1318,.,.,110,135,.
1924,.,762,.,.,.,2203,.,.,296,.,.,1021,.,.,40,164,.
1923,.,825,.,.,.,2247,.,.,301,.,.,963,.,.,45,144,.
1922,.,943,.,.,.,2995,.,.,201,.,.,1079,.,.,99,95,.
1921,.,657,.,.,.,2639,.,.,616,.,.,883,.,.,164,119,.
1920,.,727,.,.,.,1922,.,.,471,.,.,718,.,.,125,136,.
1919,.,839,.,.,.,870,.,.,867,.,.,1021,.,.,186,151,.
1918,.,516,.,.,.,733,.,.,386,.,.,603,.,.,152,189,.
1917,.,756,.,.,.,1369,.,.,833,.,.,989,.,.,200,205,.
1916,.,780,.,.,.,1307,.,.,740,.,.,647,.,.,98,213,.
1915,.,984,.,.,.,1558,.,.,617,.,.,584,.,.,77,254,.
1914,.,772,.,.,.,1654,.,.,884,.,.,697,.,.,144,108,.
1913,.,986,.,.,.,.,.,.,1258,.,.,1048,.,.,238,191,.
1912,.,790,.,.,.,.,.,.,939,.,.,959,.,.,282,173,.
1911,.,580,.,.,.,.,.,.,689,.,.,516,.,.,184,131,.
1910,.,.,.,.,.,.,.,.,877,.,.,1102,.,.,234,182,.
1909,.,.,.,.,.,.,.,.,1117,.,.,1341,.,.,243,122,.
1908,.,.,.,.,.,.,.,.,709,.,.,1273,.,.,150,106,.
1907,.,.,.,.,.,.,.,.,712,.,.,982,.,.,173,169,.
1906,.,.,.,.,.,.,.,.,1156,.,.,1130,.,.,171,138,.
1905,.,.,.,.,.,.,.,.,811,.,.,878,.,.,165,189,.
1904,.,.,.,.,.,.,.,.,1020,.,.,895,.,.,173,126,.
1903,.,.,.,.,.,.,.,.,779,.,.,681,.,.,.,116,.
