"","State","Tree","Tag","years","Ring_width"
"1","CO","01H","ABLA-H-01H","2013",0.2725
"2","CO","01H","ABLA-H-01H","2012",1.0805
"3","CO","01H","ABLA-H-01H","2011",1.259
"4","CO","01H","ABLA-H-01H","2010",0.924
"5","CO","01H","ABLA-H-01H","2009",0.905
"6","CO","01H","ABLA-H-01H","2008",0.995
"7","CO","01H","ABLA-H-01H","2007",0.798
"8","CO","01H","ABLA-H-01H","2006",0.714
"9","CO","01H","ABLA-H-01H","2005",0.9455
"10","CO","01H","ABLA-H-01H","2004",0.735
"11","CO","01H","ABLA-H-01H","2003",0.6595
"12","CO","01H","ABLA-H-01H","2002",0.8475
"13","CO","01H","ABLA-H-01H","2001",1.186
"14","CO","01H","ABLA-H-01H","2000",0.9665
"15","CO","01H","ABLA-H-01H","1999",1.04
"16","CO","01H","ABLA-H-01H","1998",1.302
"17","CO","01H","ABLA-H-01H","1997",1.175
"18","CO","01H","ABLA-H-01H","1996",1.167
"19","CO","01H","ABLA-H-01H","1995",0.9715
"20","CO","01H","ABLA-H-01H","1994",0.8785
"21","CO","01H","ABLA-H-01H","1993",0.898
"22","CO","01H","ABLA-H-01H","1992",1.117
"23","CO","01H","ABLA-H-01H","1991",1.101
"24","CO","01H","ABLA-H-01H","1990",1.059
"25","CO","01H","ABLA-H-01H","1989",1.1075
"26","CO","01H","ABLA-H-01H","1988",1.176
"27","CO","01H","ABLA-H-01H","1987",1.284
"28","CO","01H","ABLA-H-01H","1986",1.1875
"29","CO","01H","ABLA-H-01H","1985",1.083
"30","CO","01H","ABLA-H-01H","1984",1.1385
"31","CO","01H","ABLA-H-01H","1983",1.172
"32","CO","01H","ABLA-H-01H","1982",1.1655
"33","CO","01H","ABLA-H-01H","1981",1.0795
"34","CO","01H","ABLA-H-01H","1980",0.9855
"35","CO","01H","ABLA-H-01H","1979",1.1015
"36","CO","01H","ABLA-H-01H","1978",0.835
"37","CO","01H","ABLA-H-01H","1977",1.103
"38","CO","01H","ABLA-H-01H","1976",1.0865
"39","CO","01H","ABLA-H-01H","1975",0.759
"40","CO","01H","ABLA-H-01H","1974",1.005
"41","CO","01H","ABLA-H-01H","1973",1.1065
"42","CO","01H","ABLA-H-01H","1972",0.8775
"43","CO","01H","ABLA-H-01H","1971",1.067
"44","CO","01H","ABLA-H-01H","1970",1.7245
"45","CO","01H","ABLA-H-01H","1969",1.7915
"46","CO","01H","ABLA-H-01H","1968",1.8825
"47","CO","01H","ABLA-H-01H","1967",1.7385
"48","CO","01H","ABLA-H-01H","1966",1.1745
"49","CO","01H","ABLA-H-01H","1965",1.867
"50","CO","01H","ABLA-H-01H","1964",1.7795
"51","CO","01H","ABLA-H-01H","1963",1.718
"52","CO","01H","ABLA-H-01H","1962",1.5725
"53","CO","01H","ABLA-H-01H","1961",1.74
"54","CO","01H","ABLA-H-01H","1960",1.3385
"55","CO","01H","ABLA-H-01H","1959",1.18
"56","CO","01H","ABLA-H-01H","1958",1.169
"57","CO","01H","ABLA-H-01H","1957",1.278
"58","CO","01H","ABLA-H-01H","1956",1.2325
"59","CO","01H","ABLA-H-01H","1955",1.575
"60","CO","01H","ABLA-H-01H","1954",1.5235
"61","CO","01H","ABLA-H-01H","1953",1.3685
"62","CO","01H","ABLA-H-01H","1952",1.3415
"63","CO","01H","ABLA-H-01H","1951",1.2035
"64","CO","01H","ABLA-H-01H","1950",1.237
"65","CO","01H","ABLA-H-01H","1949",1.6725
"66","CO","01H","ABLA-H-01H","1948",1.505
"67","CO","01H","ABLA-H-01H","1947",1.2455
"68","CO","01H","ABLA-H-01H","1946",1.1505
"69","CO","01H","ABLA-H-01H","1945",1.327
"70","CO","01H","ABLA-H-01H","1944",1.24
"71","CO","01H","ABLA-H-01H","1943",1.08
"72","CO","01H","ABLA-H-01H","1942",0.932
"73","CO","01H","ABLA-H-01H","1941",1.262
"74","CO","01H","ABLA-H-01H","1940",1.0955
"75","CO","01H","ABLA-H-01H","1939",1.04
"76","CO","01H","ABLA-H-01H","1938",1.043
"77","CO","01H","ABLA-H-01H","1937",1.1845
"78","CO","01H","ABLA-H-01H","1936",1.084
"79","CO","01H","ABLA-H-01H","1935",1.11
"80","CO","01H","ABLA-H-01H","1934",1.2215
"81","CO","01H","ABLA-H-01H","1933",1.318
"82","CO","01H","ABLA-H-01H","1932",0.9995
"83","CO","01H","ABLA-H-01H","1931",1.175
"84","CO","01H","ABLA-H-01H","1930",0.9175
"85","CO","01H","ABLA-H-01H","1929",1.058
"86","CO","01H","ABLA-H-01H","1928",0.9945
"87","CO","01H","ABLA-H-01H","1927",1.1695
"88","CO","01H","ABLA-H-01H","1926",1.132
"89","CO","01H","ABLA-H-01H","1925",1.2165
"90","CO","01H","ABLA-H-01H","1924",0.677
"91","CO","01H","ABLA-H-01H","1923",0.5545
"92","CO","01H","ABLA-H-01H","1922",0.6635
"93","CO","01H","ABLA-H-01H","1921",0.726
"94","CO","01H","ABLA-H-01H","1920",0.8945
"95","CO","01H","ABLA-H-01H","1919",1.0185
"96","CO","01H","ABLA-H-01H","1918",0.476
"97","CO","01H","ABLA-H-01H","1917",0.515
"98","CO","01H","ABLA-H-01H","1916",0.943
"99","CO","01H","ABLA-H-01H","1915",0.982
"100","CO","01H","ABLA-H-01H","1914",0.755
"101","CO","01H","ABLA-H-01H","1913",0.959
"102","CO","01H","ABLA-H-01H","1912",0.829
"103","CO","01H","ABLA-H-01H","1911",0.651
"104","CO","01H","ABLA-H-01H","1910",0.978
"105","CO","01H","ABLA-H-01H","1909",0.9725
"106","CO","01H","ABLA-H-01H","1908",1.0515
"107","CO","01H","ABLA-H-01H","1907",0.861
"108","CO","01H","ABLA-H-01H","1906",0.697
"109","CO","01H","ABLA-H-01H","1905",0.7835
"110","CO","01H","ABLA-H-01H","1904",1.119
"111","CO","01H","ABLA-H-01H","1903",1.248
"112","CO","01H","ABLA-H-01H","1902",0.966
"113","CO","01H","ABLA-H-01H","1901",0.964
"114","CO","01H","ABLA-H-01H","1900",0.725
"115","CO","01H","ABLA-H-01H","1899",0.649
"116","CO","01H","ABLA-H-01H","1898",0.605
"117","CO","01H","ABLA-H-01H","1897",0.505
"118","CO","01H","ABLA-H-01H","1896",0.677
"119","CO","01H","ABLA-H-01H","1895",0.92
"120","CO","01H","ABLA-H-01H","1894",0.96
"121","CO","01H","ABLA-H-01H","1893",0.88
"122","CO","01H","ABLA-H-01H","1892",1.276
"123","CO","01H","ABLA-H-01H","1891",0.994
"124","CO","01H","ABLA-H-01H","1890",1.278
"125","CO","01H","ABLA-H-01H","1889",1.274
"126","CO","01H","ABLA-H-01H","1888",0.324
"127","CO","01H","ABLA-H-01H","1887",NA
"128","CO","01H","ABLA-H-01H","1886",NA
"129","CO","01H","ABLA-H-01H","1885",NA
"130","CO","01H","ABLA-H-01H","1884",NA
"131","CO","01H","ABLA-H-01H","1883",NA
"132","CO","01H","ABLA-H-01H","1882",NA
"133","CO","01H","ABLA-H-01H","1881",NA
"134","CO","01H","ABLA-H-01H","1880",NA
"135","CO","01H","ABLA-H-01H","1879",NA
"136","CO","01H","ABLA-H-01H","1878",NA
"137","CO","01H","ABLA-H-01H","1877",NA
"138","CO","01H","ABLA-H-01H","1876",NA
"139","CO","01H","ABLA-H-01H","1875",NA
"140","CO","01L","ABLA-H-01L","2013",0.106
"141","CO","01L","ABLA-H-01L","2012",0.8895
"142","CO","01L","ABLA-H-01L","2011",0.909
"143","CO","01L","ABLA-H-01L","2010",0.98
"144","CO","01L","ABLA-H-01L","2009",1.0565
"145","CO","01L","ABLA-H-01L","2008",0.9205
"146","CO","01L","ABLA-H-01L","2007",0.86
