"","Transect","Tree","Tag","years","Ring_width","Lat","Long"
"1","MT","01C","TSHE-H-01C","2013",0.9585,48.61291,113.85558
"2","MT","01C","TSHE-H-01C","2012",1.022,48.61291,113.85558
"3","MT","01C","TSHE-H-01C","2011",1.168,48.61291,113.85558
"4","MT","01C","TSHE-H-01C","2010",1.0055,48.61291,113.85558
"5","MT","01C","TSHE-H-01C","2009",1.2015,48.61291,113.85558
"6","MT","01C","TSHE-H-01C","2008",1.0585,48.61291,113.85558
"7","MT","01C","TSHE-H-01C","2007",1.2915,48.61291,113.85558
"8","MT","01C","TSHE-H-01C","2006",1.843,48.61291,113.85558
"9","MT","01C","TSHE-H-01C","2005",1.6025,48.61291,113.85558
"10","MT","01C","TSHE-H-01C","2004",1.002,48.61291,113.85558
"11","MT","01C","TSHE-H-01C","2003",1.7,48.61291,113.85558
"12","MT","01C","TSHE-H-01C","2002",1.6605,48.61291,113.85558
"13","MT","01C","TSHE-H-01C","2001",1.6925,48.61291,113.85558
"14","MT","01C","TSHE-H-01C","2000",1.986,48.61291,113.85558
"15","MT","01C","TSHE-H-01C","1999",1.856,48.61291,113.85558
"16","MT","01C","TSHE-H-01C","1998",3.203,48.61291,113.85558
"17","MT","01C","TSHE-H-01C","1997",2.5695,48.61291,113.85558
"18","MT","01C","TSHE-H-01C","1996",2.096,48.61291,113.85558
"19","MT","01C","TSHE-H-01C","1995",1.827,48.61291,113.85558
"20","MT","01C","TSHE-H-01C","1994",2.8935,48.61291,113.85558
"21","MT","01C","TSHE-H-01C","1993",2.7195,48.61291,113.85558
"22","MT","01C","TSHE-H-01C","1992",2.8265,48.61291,113.85558
"23","MT","01C","TSHE-H-01C","1991",2.0085,48.61291,113.85558
"24","MT","01C","TSHE-H-01C","1990",1.5415,48.61291,113.85558
"25","MT","01C","TSHE-H-01C","1989",0.7415,48.61291,113.85558
"26","MT","01C","TSHE-H-01C","1988",1.9685,48.61291,113.85558
"27","MT","01C","TSHE-H-01C","1987",2.342,48.61291,113.85558
"28","MT","01C","TSHE-H-01C","1986",1.6165,48.61291,113.85558
"29","MT","01C","TSHE-H-01C","1985",1.5135,48.61291,113.85558
"30","MT","01C","TSHE-H-01C","1984",1.9645,48.61291,113.85558
"31","MT","01C","TSHE-H-01C","1983",2.322,48.61291,113.85558
"32","MT","01C","TSHE-H-01C","1982",2.195,48.61291,113.85558
"33","MT","01C","TSHE-H-01C","1981",2.0935,48.61291,113.85558
"34","MT","01C","TSHE-H-01C","1980",2.1115,48.61291,113.85558
"35","MT","01C","TSHE-H-01C","1979",1.812,48.61291,113.85558
"36","MT","01C","TSHE-H-01C","1978",2.041,48.61291,113.85558
"37","MT","01C","TSHE-H-01C","1977",1.523,48.61291,113.85558
"38","MT","01C","TSHE-H-01C","1976",1.503,48.61291,113.85558
"39","MT","01C","TSHE-H-01C","1975",1.151,48.61291,113.85558
"40","MT","01C","TSHE-H-01C","1974",1.5865,48.61291,113.85558
"41","MT","01C","TSHE-H-01C","1973",2.013,48.61291,113.85558
"42","MT","01C","TSHE-H-01C","1972",1.9465,48.61291,113.85558
"43","MT","01C","TSHE-H-01C","1971",2.328,48.61291,113.85558
"44","MT","01C","TSHE-H-01C","1970",2.5195,48.61291,113.85558
"45","MT","01C","TSHE-H-01C","1969",2.492,48.61291,113.85558
"46","MT","01C","TSHE-H-01C","1968",1.231,48.61291,113.85558
"47","MT","01C","TSHE-H-01C","1967",2.0855,48.61291,113.85558
"48","MT","01C","TSHE-H-01C","1966",2.7275,48.61291,113.85558
"49","MT","01C","TSHE-H-01C","1965",2.3245,48.61291,113.85558
"50","MT","01C","TSHE-H-01C","1964",2.22,48.61291,113.85558
"51","MT","01C","TSHE-H-01C","1963",1.7735,48.61291,113.85558
"52","MT","01C","TSHE-H-01C","1962",1.368,48.61291,113.85558
"53","MT","01C","TSHE-H-01C","1961",1.094,48.61291,113.85558
"54","MT","01C","TSHE-H-01C","1960",1.2625,48.61291,113.85558
"55","MT","01C","TSHE-H-01C","1959",1.4705,48.61291,113.85558
"56","MT","01C","TSHE-H-01C","1958",1.474,48.61291,113.85558
"57","MT","01C","TSHE-H-01C","1957",1.434,48.61291,113.85558
"58","MT","01C","TSHE-H-01C","1956",1.202,48.61291,113.85558
"59","MT","01C","TSHE-H-01C","1955",2.2265,48.61291,113.85558
"60","MT","01C","TSHE-H-01C","1954",1.7125,48.61291,113.85558
"61","MT","01C","TSHE-H-01C","1953",0.721,48.61291,113.85558
"62","MT","01C","TSHE-H-01C","1952",NA,48.61291,113.85558
