"","years","Tag","Ring_width(mm)","Long","Lat","species","speciesfull"
"1",1999,"28PienD6",0.946043527,-105.47203,40.44473,"PIEN","Picea engelmannii"
"2",1999,"28Unkn7",1.091993351,-105.47203,40.44473,"UNKN","Unkown"
"3",1999,"28Unkn8",1.489081952,-105.47203,40.44473,"UNKN","Unkown"
"4",1999,"28Unkn10",0.998211251,-105.47203,40.44473,"UNKN","Unkown"
"5",1999,"28Unkn11",0.984740506,-105.47203,40.44473,"UNKN","Unkown"
"6",1999,"34PienD2",1.104576016,-105.47203,40.44473,"PIEN","Picea engelmannii"
"7",1999,"34Unkn1",0.584623598,-105.47203,40.44473,"UNKN","Unkown"
"8",1999,"34Unkn4",0.995148675,-105.47203,40.44473,"UNKN","Unkown"
"9",1999,"34Unkn5",0.943911365,-105.47203,40.44473,"UNKN","Unkown"
"10",1999,"28Unkn9",0.822510635,-105.47203,40.44473,"UNKN","Unkown"
"11",1999,"28Pip3SF",1.21756547,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"12",1999,"28Pip1NF",1.670873385,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"13",1999,"28Pip2SF",1.638505621,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"14",1999,"34Pip1",0.866032768,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"15",1999,"34Pip2",1.538534589,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"16",1999,"34Pip3",0.842233935,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"17",1999,"34Pip4",0.936905778,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"18",1999,"34Pip5",1.117954199,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"19",1999,"34Pip6",1.310510014,-105.47203,40.44473,"PIPO","Pinus ponderosa"
"20",1999,"34Psm1SF",0.803404632,-105.47203,40.44473,"PSME","Pseudotsuga menziesii"
"21",1999,"34Psm2SF",1.341695761,-105.47203,40.44473,"PSME","Pseudotsuga menziesii"
"22",1999,"34Psm3SF",1.357951212,-105.47203,40.44473,"PSME","Pseudotsuga menziesii"
"23",1999,"28Pie1",0.917497425,-105.47203,40.44473,"PIEN","Picea engelmannii"
"24",1999,"28Pie2",0.735907708,-105.47203,40.44473,"PIEN","Picea engelmannii"
"25",1999,"28Pie3",1.318626127,-105.47203,40.44473,"PIEN","Picea engelmannii"
"26",1999,"34Pie1NF",1.031204735,-105.47203,40.44473,"PIEN","Picea engelmannii"
"27",1999,"34Pie1SF",0.949172057,-105.47203,40.44473,"PIEN","Picea engelmannii"
"28",1999,"34Pie2NF",1.285666641,-105.47203,40.44473,"PIEN","Picea engelmannii"
"29",1999,"34Pie2SF",1.107511873,-105.47203,40.44473,"PIEN","Picea engelmannii"
"30",1999,"34Pie3NF",1.700863792,-105.47203,40.44473,"PIEN","Picea engelmannii"
"31",1999,"34Pie3SF",1.047969241,-105.47203,40.44473,"PIEN","Picea engelmannii"
"32",2000,"28PienD6",0.967284323,-105.47203,40.44473,"PIEN","Picea engelmannii"
"33",2000,"28Unkn7",0.847077267,-105.47203,40.44473,"UNKN","Unkown"
"34",2000,"28Unkn8",0.49528706,-105.47203,40.44473,"UNKN","Unkown"
"35",2000,"28Unkn10",0.994041278,-105.47203,40.44473,"UNKN","Unkown"
"36",2000,"28Unkn11",0.810247882,-105.47203,40.44473,"UNKN","Unkown"
