Ring_pair,Lag,L01,D01,L02,D02,L03,D03,L04,D04,L05,D05,L06,D06,L07,D07,L08,D08,L10,D10,L11,D11,L12,D12,L13,D13,L14,D14,L15,D15,L16,D16,L17,D17,L18,D18,D19,L19,L20,D20,L21,D21,L22,D22,L23,D23,L24,D24,L25,D25,L26,D26,L27,D27,L28,D28,L29,D29,L30,L31,D31,L32,D32,L33,D33,L34,D34,L35,D35,L36,D36,L37,D37,L38,D38,L39,D39,L40,D40
1,0,0.365453143,0.37828753,0.881326841,0.480288455,0.253396922,0.606163344,0.50973179,0.295736369,0.06450434,0.47542041,1.50976526,0.140246212,0.80590146,0.78647289,0.13918454,0.095524866,1.68813175,0.328196587,1.996263009,1.02148293,0.50975069,0.25349645,0.54517582,0.08565449,0.25494836,0.29823361,0.37396052,0.204401566,0.47329045,0.25389477,0.15536584,0.73375446,0.12971122,0.066407831,0.15124365,0.62469723,0.40999795,0.86423434,0.59472936,0.53131286,0.64452675,0.12924815,0.177290722,0.68079471,0.630157123,0.17809291,0.265663321,0.219738481,0.069921384,0.16015682,1.51610721,0.301691896,0.302839892,0.205912603,0.37330857,0.120904921,1.00650928,1.31448564,0.47855791,0.80772862,0.901103768,0.80907478,0.765153579,0.07134796,0.537766678,1.08700882,0.63886293,0,0.734597169,0.45038648,0.61766334,1.34686901,0.38482245,0.623,0.211047388,0.34342204,0.253396922
2,1,0,0.12942048,1.621784819,0.204626489,0,0,0,0.127738013,0.32890888,0.14253707,1.21348523,0.129973074,1.00568023,0.68292598,0.09523804,0.151419946,1.78369223,0.370303929,2.190684368,0.49633009,0.60879867,0.21026266,0.76360079,0.12748959,0,0,0.30194291,0.126530629,0.2766191,0.10995394,0.09533813,0.36121891,0.14369412,0.096317184,0.14712995,0.22322776,0.16983896,0.49596472,0.25423627,0.39323645,0.25812859,0.29116929,0.090244113,0.6628386,0.538966604,0.09561719,0.17356555,0.129711218,0,0.09561719,1.40468968,0.23469476,0,0,0.51109095,0.299816611,0.60083414,0.67546183,0.18185586,0.40442329,0,1.895031926,0.349532545,0.3126956,0.508035432,0.87449188,0.61619969,0,0.479212896,0.36762409,0.40427581,0.77717845,0.17130899,0.993,0.317787665,0.61801289,0.144544111
3,2,0.345418587,0.27984992,1.816773238,0.526096949,0.39173971,0.423618933,1.10687933,0.242206523,0.4878046,0.67894474,0.95984998,0.332039154,0.68251879,0.95711583,0,0.097293371,0.63357212,0.374364795,0.517706481,1.02599916,0.73819702,0.27052306,0.40403,0.18061025,0.50691064,0.27622745,0.09987384,0.206184384,0,0,0,0.5206886,0.12280879,0.151211772,0,0.11640212,0.45331855,0.8227059,0.5761581,0.52101595,0,0,0.15044268,1.33788161,0.203383874,0,0.345971097,0.385155813,0.10198039,0.11268594,0.76657527,0.28685158,0.132981202,0.281154762,0.23475794,0.178986033,1.52311751,1.48504295,1.10817392,1.04176168,0.411894404,0.173080906,0.460827517,0.32657184,0.468017094,1.54055794,0.42549618,0.299040131,1.384,0.62183517,0.21354242,1.25405634,0.42971957,0.581104121,0.345028984,0.42808713,0.285070167
4,3,0.486128584,0.68035221,1.321314875,0.498256962,0,0.272385756,0,0,0.37176115,1.30464464,0.59527369,0.160589539,0.6996938,0.78647289,0,0,0.43303775,0.181276033,1.27433002,0.46324751,0.75017693,0.26205241,0.20543508,0.1279315,0,0,0,0.005,0.42821254,0.08959057,0.09592483,0.32934666,0.21044002,0,0.180506,0.32804233,0.36671332,0.89007472,0.54848617,0.54224723,0.46452115,0.37963831,0.183983695,0.8152421,0.497386168,0.09561719,0.333204142,0.318943569,0,0.0478086,0.34530761,0,0.098371744,0.113951744,0.38389781,0.274492259,1.44700023,1.60012919,0.53216194,0.8292571,0.500028999,0.978621479,0.404188075,0.2783286,0.297121187,1.1800635,0.63780199,0.15504838,0.606864894,1.42798087,0.16998612,0.97901245,0.664157,0.264,0,0.248396,0
5,4,0.342422254,0.44248158,0.477938281,0.444288195,0.251733987,0.192924856,1.0748156,0.60134017,0.2651112,0.92056338,0.28218679,0,0.74194871,0.82868234,0.50969684,0.671443222,0,0,0.49519794,0.46324751,0.42486429,0.10062446,0.18396328,0.1279315,0.47293962,0.23969135,0.11647191,0.170601876,0,0,0.1412858,0.47914509,0.31182688,0.898361286,0,0.01496522,0.39492203,0.70448634,0.36966667,0.37199638,0,0,0.265188612,0.9631847,0.084717177,0,0,0,0.09656604,0.17817212,0.77793687,0.27643168,0.05192302,0.167358896,0.16081558,0.922481978,0.80973408,1.21032233,0.65946687,0.74426417,0.472128161,0.369748563,0.307278375,0.14198776,0.174384632,0.81194532,0.7652326,0.084581322,0,0.76846678,0.19123439,1.13106671,0.30049585,1.05605729,0.298563226,1.55476354,0.301628911
6,5,0.106404887,0.25884096,0.25588474,0,0,0,0.75869336,0.232948492,0.16967117,0.3969486,0.70603113,0.169499263,0.3815396,0.40594753,0,0,0.21151655,0.192314846,0.276354844,0.43497358,0.2269104,0.23115669,0,0,0.56681773,0.1607723,0,0.005,0.74847034,0.17027764,0.16258137,0.30809848,0.14787157,0,0.61820215,0.59344232,0.12693922,0.25366316,0.14124237,0.11686546,0.77438578,0.29890569,0.107786827,0.17163811,0.676561897,0.22411632,0.229836899,0.108060168,0.152345003,0.12748959,0.02121208,0.13852174,0,0,0,0.01979899,0.25491234,0.37662136,0.35075731,0.27632821,0.264054919,0.087931792,0,0,0,0.31847116,0.51040084,0.320224921,0.536679606,0.53409267,0.19123439,0.57535393,0.19123439,0.307197005,0,0.17171102,0
7,6,0,0.10691357,0.737024423,0.750168648,0.219346757,0.409820692,0.44706435,0.178280678,0,0.15468902,0.16931207,0,0,0,0.8471554,0.69892775,0,0,0.368,0.05665858,0,0.04005003,0.33537517,0.21248265,0.22774901,0.11686546,0.48271208,0.163487003,0.51250305,0.25324857,0.07768292,0.08499269,0,0.481601495,0.19276241,0.49836664,0,0,0,0,0.3767943,0.18057553,0,0.1663788,0.518844871,0.11878141,0,0,0,0.06570663,0.92095602,0.36137671,0.248394847,0.418761269,0.25504782,0.488111668,0.15207455,0.15473126,0,0.08502407,0,0.378085969,0.309467284,0.1639021,0.243515913,0,0,0,0,0.16238916,0,0.34373392,0,1.214199325,0.461875524,1.13601122,0.280142821
8,7,0.226770809,0.27984992,0.10651291,0,0.186037631,0.799740583,0,0,0.11712996,0.5139247,0.93292507,0.132853303,0.27513212,0.59495142,0.87837013,0.534424925,0.41455678,0.096628153,1.040847731,0.67032532,0.26893135,0.22118353,0,0,0,0,0.49596186,0.100244701,0.53298086,0.19960933,0.27189021,1.09428082,0.17720045,0.319452657,0.27787743,0.73170988,0.16983896,0.11544696,0.1560073,0.19123439,0.57830201,0.37645359,0.083432608,0.34401525,0.441090694,0.09620561,0.287836759,0.328671569,0.116180893,0.39967783,0.61221746,0.17130899,0.004,0,0,0,0.85407786,0.60115314,0.35316253,0.42512033,0.346705927,0,0,0,0,0.39506972,0.25497918,0.326308137,0.692567686,0.64662231,0.21248265,0.50461878,0.17130899,1.141421044,0.168,0.43072804,0.134647688
9,8,0,0,0.892086319,0.738497123,0.261696389,0.80143933,2.79334736,0.305722096,0,0,0.59326375,0.199882465,0,0,0.43502208,0.637640181,0.12103773,0.053935146,0.701319471,0.1926684,0,0,0.54499322,0.37245124,1.00728358,0.97886262,0.51413205,0.186290096,0,0.01062413,0,0.23397122,0,0.253061257,0.06337989,0.35243815,0,0,0,0,0,0,0,0.10690327,0.190703959,0,0.30536863,0.337130539,0,0.0318724,0.95666236,0.318901,1.084052582,0.844820691,0.36131775,0.38858918,0.20208492,0,0,0,0,0.543928304,0.908187756,0.09067366,0.360721499,0,0,0.333294164,0.692544583,0.17588154,0.10834532,0.11106709,0,1.278172524,0.696020833,0.49031979,0.114236597
10,9,0.11448144,0.56473232,0.528670975,0.398031406,0.604950411,1.019545487,0.3534354,0,0.12725337,0.63389389,0.6514788,0.169499263,0.50837695,1.04311453,0,0,0.11433471,0.172985549,0.857029754,0.80910983,0.24062279,0.06332466,0.44840183,0.25696348,0,0,0,0.161595173,1.29784051,0.56227663,0.25779023,1.00007583,0.09745797,0,1.24472429,2.01061682,0.31316758,0.63656657,0.26984318,0.29747571,1.78154767,1.80248809,0.059481089,0.39840497,0.863133825,0.68663465,0.353656613,0.317737313,0.061392182,0.55799457,0.32099699,0,0,0.809791331,0.27813501,0.547032906,0.81813682,0.49068607,0.47512565,0.63768049,0.930621835,0.468326809,0.459831491,0.07473349,0.478465255,0.46757331,0.23373092,0.233623629,0.84414276,0.71212356,0.4891718,1.08343635,0.4891718,0.835612949,0,0,0
