,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,PIEN_L,PIEN_R,PIEN_G,PIMO_L,PIMO_R,PIMO_G,LAOC_L,LAOC_R,LAOC_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR_L,ABGR_R,ABGR_G,PIAL_L,PIAL_R,PIAL_G,PICO_L,PICO_R,PICO_G,Pop_sp_L,Pop_sp_R,Pop_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIEN_5,PIEN_5d,LAOC_5nw,LAOC_5dnw,PIMO_5,PIMO_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABGR_5,ABGR_5d,PICO_5,PICO_5D,PIAL_5,PIAL_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,Height,N_Cr,p_taller,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR_r1,ABGR_r2,ABGR_r3,ABGR_r4,ABGR_rdead,PIAL_r1,PIAL_r2,PIAL_r3,PIAL_r4,PIAL_rdead,PICO_r1,PICO_r2,PICO_r3,PICO_r4,PICO_r5,PICO_rdead,PairUn,ACF,BA_totLR,DBHsc,BA_totLRsc,N_Crsc,in5_totsc,ACFsc,BAI10yr,BAI10yrtot,BAI10yrmax,BAI10yrmin,BAI10yrsd,BAI10yrCV
19,MT,ABLA,H,10,C,ABLA-H-10C,48.62584,113.83596,2173,44.7,230,13.8,0.6,5,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,105,90,90,0,90,10,10,5,15,100,0,5,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,14,14,1,1,7.4,50.1,-3.2,10,5.33,2,1,1044,1045,23,24,14,9,0,"1,1,1,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,2,1,1,0,NA,0,0,0,0,0,NA,H10,0.801125704,100,-2.041690722,-0.324796469,-0.141988912,0.870424345,0.743894364,251.9704586,2519.704586,353.6440844,127.6194457,72.01194789,0.285795201
20,MT,ABLA,H,10,N,ABLA-H-10N,48.62587,113.83601,2172,45.6,240,12.8,0.6,5,13,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,80,65,65,5,70,10,10,0,10,75,0,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,11,9,0,0,3,54.8,0.1,10,5.47,0,1,1046,1047,5,10,4,9,0,"1,2,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,1,1,1,2,"2,",0,0,0,0,0,NA,H10,0.946983547,75,-2.258145039,-0.831862686,-1.378127672,0.105897324,1.66394649,257.6478019,2576.478019,347.3774294,142.2394284,58.66219824,0.227683674
21,MT,ABLA,H,11,C,ABLA-H-11C,48.6259,113.83643,2153,53.4,270,19.7,0.7,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,0,40,0,0,0,0,40,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,16.4,47.1,-9,10,5.61,3,0.95,1048,1049,12,22,4,7,0,"3,",0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,2,0,0,NA,0,0,0,0,0,NA,H11,0.547237077,40,-0.76461025,-1.54175539,0.476080469,-0.467497942,-0.857601766,262.9322216,2629.322216,329.7195801,206.6844382,34.65241329,0.13179219
22,MT,ABLA,H,11,N,ABLA-H-11N,48.6258,113.83646,2153,64.7,270,21,0.9,5,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,65,5,70,0,0,0,0,65,0,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,7,6,0,0,26.8,61.7,8.1,10,5.36,1,1,1050,1051,10,27,8,5,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,1,0,NA,0,0,0,0,0,NA,H11,0.651119403,65,-0.483219638,-1.034689173,-0.760058292,-0.658629697,-0.202325688,423.071101,4230.71101,520.894189,267.840415,83.85560319,0.198206881
23,MT,ABLA,H,12,C,ABLA-H-12C,48.62565,113.83677,2144,39.4,240,19.8,0.8,5,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,130,135,10,140,0,0,0,0,130,5,5,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,23,22,0,0,-1.4,24.6,-18.4,12,5.16,2,0.4,1052,1053,15,36,8,14,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H12,0.604651163,135,-0.742964819,0.385096235,-0.141988912,2.399478386,-0.495441247,171.0983661,1710.983661,228.9443343,123.9026518,32.59522157,0.190505744
24,MT,ABLA,H,12,N,ABLA-H-12N,48.62563,113.83694,2139,33.7,240,18.7,0.8,5,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,70,70,5,75,0,0,0,0,70,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,18.6,75.8,6.5,10,6.93,0,1,1054,1055,9,25,13,10,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H12,0.825396825,70,-0.981064567,-0.93327593,-1.378127672,-0.276366187,0.896993414,168.5485728,1685.485728,196.8305878,131.2395744,21.83360191,0.129538931
1,MT,ABLA,H,1,C,ABLA-H-1C,48.62741,113.83385,2255,50.2,230,17.2,0.8,5,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,95,95,10,105,0,0,0,0,95,0,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,1.2,78.6,-15.9,6,5.67,4,NA,583,584,13,10,8,8,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H1,0.819047619,95,-1.305746043,-0.426209712,1.094149849,1.0615561,0.856943454,442.6103056,4426.103056,696.9053386,200.1718255,177.7374394,0.401566428
2,MT,ABLA,H,1,N,ABLA-H-1N,48.62751,113.83385,2259,44.7,240,16.8,0.7,5,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,75,75,5,80,0,0,0,0,75,0,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,13,12,0,0,-18.9,59.3,-18.9,6,4.692,0,NA,585,586,6,25,11,8,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H1,1,75,-1.39232777,-0.831862686,-1.378127672,0.488160834,1.998367319,585.6406936,5856.406936,874.1679141,311.5198626,218.2412098,0.372653766
3,MT,ABLA,H,2,C,ABLA-H-2C,48.62709,113.83396,2249,53.3,240,22.7,1,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,160,0,160,0,0,0,0,160,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,0,0,-9.4,64.5,-27.9,7.5,6.93,3,NA,587,588,14,36,14,16,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,H2,0.79978355,160,-0.115247299,0.892162453,0.476080469,1.0615561,0.735428234,263.8373177,2638.373177,379.8101096,171.9244771,61.49447322,0.233077238
4,MT,ABLA,H,2,N,ABLA-H-2N,48.62699,113.83408,2238,52.4,250,20.6,1,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,0,0,0,0,100,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,0,0,-23.9,119,-25.8,5,7.24,1,NA,589,590,11,25,8,7,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,1,0,1,NA,0,0,0,0,0,NA,H2,0.986878453,100,-0.569801365,-0.324796469,-0.760058292,-0.276366187,1.915598323,619.7314775,6197.314775,873.4917892,384.8584432,146.1163618,0.235773665
