,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,CANO_L,CANO_R,CANO_G,ABAM_L,ABAM_R,ABAM_G,PIEN_L,PIEN_R,PIEN_G,PIMO_L,PIMO_R,PIMO_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR_L,ABGR_R,ABGR_G,PIAL_L,PIAL_R,PIAL_G,ACMA_L,ACMA_R,ACMA_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,ABAM_5,ABAM_5D,PIEN_5,PIEN_5d,PIMO_5,PIMO_5d,LAOC_5,LAOC_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABGR_5,ABGR_5d,PIAL_5,PIAL_5d,CANO_5,CANO_5D,ACMA_5,ACMA_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_base.ref.,p_bot.of.canopy.,p_top.of.canopy.,dist,Height,N_Cr,p_taller..,NOTES,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,ABAM_r1,ABAM_r2,ABAM_r3,ABAM_r4,ABAM_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR_r1,ABGR_r2,ABGR_r3,ABGR_r4,ABGR_r5,ABGR_rt,ABGR_rdead,CANO_r1,CANO_r2,CANO_r3,CANO_r4,CANO_R5,CANO_rdead,PairUn,ACF,BA_totLR,DBHsc,BA_totLRsc,N_Crsc,in5_totsc,ACFsc,BAI10yr,BAI10yrtot,BAI10yrmax,BAI10yrmin,BAI10yrsd,BAI10yrCV
145,WA,TSHE,H,10,C,TSHE-H-10C,48.00679,123.58242,534,52.2,282,53.1,1.7,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260,200,200,0,200,60,60,0,60,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,-9.3,61.2,98.9,37,40.034,4,20,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,42,NA,H10,0.348428835,260,0.006452019,-0.066489812,-0.31483161,-0.865145596,-1.438805325,1296.919557,12969.19557,2846.420133,797.9068182,597.8289956,0.460960738
146,WA,TSHE,H,10,N,TSHE-H-10N,48.00686,123.5826,550,52.2,282,52.5,1.7,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,200,120,120,0,120,80,80,0,80,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-1.1,64.2,133,30,40.23,3,0,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,43,NA,H10,0.513049963,200,-0.047510318,-0.940355907,-0.94449483,-1.368901259,-0.169430971,915.5432396,9155.432396,1949.538029,389.4552365,467.2825819,0.510388327
147,WA,TSHE,H,11,C,TSHE-H-11C,48.00661,123.58314,500,63.2,280,51.7,1.3,20,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,300,140,140,0,140,160,160,0,160,300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,5,4,4,1,1,-35.4,63.4,127,23,37.352,5,90,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,44,NA,H11,0.391625616,300,-0.119460101,0.516087585,0.31483161,0.646121394,-1.10571998,1745.495878,17454.95878,2131.077891,1412.265083,278.9328935,0.159801519
148,WA,TSHE,H,11,N,TSHE-H-11N,48.00652,123.58321,518,63.2,280,59.2,1.6,20,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,100,100,0,100,80,80,20,100,180,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,-6.2,32.9,114,32,38.464,4,100,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,45,NA,H11,0.674708819,180,0.555069111,-1.231644606,-0.31483161,-1.368901259,1.077101653,2603.379317,26033.79317,4257.431167,1366.608397,948.556325,0.364355789
149,WA,TSHE,H,12,C,TSHE-H-12C,48.00616,123.58356,531,62,290,52.2,1.6,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,260,200,200,0,200,60,60,0,60,260,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,1,-14.8,48.8,138,23,35.144,6,50,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,NA,0,0,0,0,46,NA,H12,0.583769634,260,-0.074491487,-0.066489812,0.94449483,-0.361389932,0.37588018,786.0701124,7860.701124,1400.718361,404.2248398,343.1012512,0.436476652
150,WA,TSHE,H,12,N,TSHE-H-12N,48.00603,123.5836,508,62,285,47.9,1.4,20,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,1,0,0,0,0,0,0,0,0,0,0,0,260,120,120,60,180,80,80,0,80,200,0,60,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,5,3,3,1,2,2,-12.9,80.6,139,26,39.494,2,75,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,NA,0,0,0,0,47,NA,H12,0.384463463,200,-0.461221569,-0.940355907,-1.574158051,0.646121394,-1.160946508,1040.731106,10407.31106,1545.206151,501.0403256,373.4741819,0.358857518
127,WA,TSHE,H,1,C,TSHE-H-1C,48.00558,123.58382,557,55.3,300,77,3,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,1,0,0,0,0,0,0,0,0,340,60,60,0,60,280,280,0,280,340,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,7,5,0,0,7,5,-17.4,56.6,124,31,43.834,7,100,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,24,NA,H1,0.476661952,340,2.155951775,1.098664983,1.574158051,1.653632721,-0.450014688,2706.853746,27068.53746,4794.279048,1555.119416,1063.122943,0.392752266
128,WA,TSHE,H,1,N,TSHE-H-1N,48.00535,123.58405,534,65,296,66.4,1.5,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,280,80,80,0,80,200,200,0,200,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,-24.2,113,194,15,32.73,3,75,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,25,NA,H1,0.371219065,280,1.202617155,0.224798887,-0.94449483,-0.361389932,-1.263072517,1958.915114,19589.15114,2577.674508,1440.831121,378.6971507,0.193319837
129,WA,TSHE,H,2,C,TSHE-H-2C,48.00549,123.58338,573,74.7,300,58.5,1.5,20,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,300,60,60,0,60,240,240,0,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,4,3,3,1,1,-25.5,64,130,44,68.42,5,100,changed height because probably really bad,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,26,NA,H2,0.424437299,300,0.492113051,0.516087585,0.31483161,0.142365731,-0.852712908,2276.314974,22763.14974,3214.781244,1595.089864,599.5571177,0.263389348
130,WA,TSHE,H,2,N,TSHE-H-2N,48.00543,123.58295,575,77.4,298,62,1.7,20,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,180,0,0,20,20,160,160,0,160,160,0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,4,3,1,0,3,3,-5.5,89,171,24,42.36,4,75,,NA,NA,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,27,NA,H2,0.464589235,160,0.806893351,-1.522933304,-0.31483161,0.142365731,-0.543106002,1979.201007,19792.01007,2853.335458,1382.191342,423.374372,0.213911761
