"","X","State","Species","Band","Pair","Comp","Tag","Lat","Long","Elev","Aspect","Slope","DBH","Bark","BAF","PIPO_L","PIPO_R","PIPO_G","POTR_L","POTR_R","POTR_G","PIEN_L","PIEN_R","PIEN_G","PSME_L","PSME_R","PSME_G","ABLA_L","ABLA_R","ABLA_G","PIED_L","PIED_R","PIED_G","QUGA_L","QUGA_R","QUGA_G","Jun_sp_L","Jun_sp_R","Jun_sp_G","BA_tot","BA_sameL","BA_sameLR","BA_sameRG","BA_same_all","BA_otherL","BA_otherLR","BA_otherRG","BA_other_all","BA_totL","BA_totR","BA_totG","PIPO_5","PIPO_5d","POTR_5","POTR_5d","PIEN_5","PIEN_5d","ABLA_5","ABLA_5d","PSME_5","PSME_5d","PIED_5","PIED_5d","QUGA_5","PIPU_5","PIPU_5d","Jun_sp_5","Jun_sp_5d","in5_tot","in5_L","in5_same","in5_sameL","in5_other","in5_otherL","N_Cr","p_bot.of.canopy.","p_top.of.canopy.","p_base.ref.","dist","three_cams","Notes","pic_N","pic_S","PIPO_r1","PIPO_r2","PIPO_r3","PIPO_r4","PIPO_reg_dead","POTR_r1","POTR_r2","POTR_r3","POTR_r4","POTR_reg_dead","PSME_r1","PSME_r2","PSME_r3","PSME_r4","PSME_rdead","ABLA_r1","ABLA_r2","ABLA_r3","ABLA_r4","ABLA_rt","ABLA_rdead","PIEN_r1","PIEN_r2","PIEN_r3","PIEN_r4","PIEN_rt","PIEN_rdead","PIED_R1","PIED_r2","PIED_r3","PIED_r4","PIED_rdead","Jun_spR1","Jun_spr2","Jun_spr3","Jun_spr4","Jun_sprdead","other","PairUn","ACF","Height","BA_totLR","DBHsc","BA_totLRsc","N_Crsc","in5_totsc","ACFsc","BAI10yr","BAI10yrtot","BAI10yrmax","BAI10yrmin","BAI10yrsd","BAI10yrCV"
"1",155,"CO","POTR","H",1,"H","POTR-H-01H",37.47519,108.16055,3060,"SSW",15,30.2,1.1,10,0,0,0,23,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,320,230,230,0,230,90,90,0,90,320,0,0,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,9,9,5,5,4,4,5,90,116,0,20,"y","near ABLA-L-1H",130,131,0,0,0,0,NA,7,2,0,0,NA,0,0,0,0,NA,0,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H1",0.224137931034483,23.2,320,-0.395615451516234,2.43184789473686,1.1525675608916,0.171415425709466,-1.31752068741902,228.366683003457,2283.66683003457,348.482336913505,96.8410920865863,74.6939201912121,0.327078885627469
"2",156,"CO","POTR","H",1,"L","POTR-H-01L",37.4755,108.16063,3060,"SW",15,34,1,10,0,0,0,3,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,70,30,30,0,30,40,40,0,40,70,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,1,45.9,73.7,0,29,"y","near ABLA-L-1L",132,133,0,0,0,0,NA,24,3,3,3,NA,0,0,0,0,NA,1,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H1",0.377204884667571,21.373,70,0.0279958420701528,-0.941459399349578,-1.12666716626482,-0.906052964464322,-0.132178364845735,1541.30263241879,15413.0263241879,2272.3950948302,678.183296749252,440.957257378595,0.286093884551793
"19",173,"CO","POTR","H",10,"H","POTR-H-10H",37.47412,108.15241,3099,"S",5,47.4,2.1,10,0,0,0,3,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,190,30,30,0,30,160,160,0,160,190,0,0,0,0,1,0,10,0,2,0,0,0,0,0,0,0,0,0,0,13,13,1,1,12,12,5,66,98.6,-11.1,23,"y","",352,353,0,0,0,0,NA,12,2,0,0,NA,0,0,0,0,NA,1,0,0,0,0,NA,3,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H10",0.297174111212397,25.231,190,1.5217830352432,0.677728101811911,1.1525675608916,0.889727685825326,-0.751932404715682,2296.95110931252,22969.5110931252,3073.99029442972,1499.49409197553,608.235769645835,0.26480135653731
"20",174,"CO","POTR","H",10,"L","POTR-H-10L",37.47422,108.15232,3094,"S",7,50.8,2.8,10,0,0,0,4,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,140,40,40,0,40,100,100,0,100,140,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,1,64.8,93.8,-7.1,26,"y","missed w/in 5m and #crowns",354,355,0,0,0,0,NA,21,16,0,0,"1,1,1,1,1",0,0,0,0,NA,1,1,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H10",0.287413280475719,26.234,140,1.90080366634681,0.00306664299462393,-1.12666716626482,-1.44478715955122,-0.82751975718494,1952.35346112114,19523.5346112114,2567.92956637242,977.923820500699,575.969030404795,0.295012681809187
"21",176,"CO","POTR","H",11,"H","POTR-H-11H",37.48707,108.16831,3099,"SW",5,28.5,0.9,10,0,0,0,11,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,280,110,110,0,110,160,170,10,170,270,10,0,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,18,18,4,4,14,14,5,45.2,82.3,-12.2,26,"y","",468,469,0,0,0,0,NA,6,4,0,0,NA,0,0,0,0,NA,4,10,9,9,0,NA,0,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H11",0.392592592592593,24.57,280,-0.585125767068039,1.89211872768303,1.1525675608916,1.78761801097015,-0.0130167756326515,1101.42086341789,11014.2086341789,1666.22205834902,729.163443626087,323.296965197742,0.293527184689873
"22",175,"CO","POTR","H",11,"L","POTR-H-11L",37.48755,108.16841,3100,"SW",5,27.4,0.9,10,0,0,0,2,0,0,3,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,190,20,20,0,20,150,150,20,170,170,0,20,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,4,3,1,1,3,2,2,58.7,93.4,-5.6,20,"y","",466,467,0,0,0,0,NA,20,2,0,0,NA,0,0,0,0,NA,5,1,0,0,0,NA,5,0,0,2,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H11",0.350505050505051,19.8,170,-0.707750088895677,0.407863518284996,-0.556858484475718,-0.726474899435357,-0.338940456122389,1365.60044909826,13656.0044909826,2022.08657329719,906.298323651274,373.062330292949,0.273185565030601
"23",178,"CO","POTR","H",12,"H","POTR-H-12H",37.48933,108.1688,3100,"SSW",10,39,1.3,10,0,0,0,13,1,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,240,130,140,10,140,100,100,0,100,230,10,0,0,0,15,0,3,0,8,0,0,0,0,0,0,0,0,0,0,26,26,15,15,11,11,4,57.4,81.7,-10.1,23,"y","",472,473,0,0,0,0,NA,15,5,0,1,NA,0,0,0,0,NA,0,0,3,2,0,"4",0,0,0,4,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H12",0.264705882352941,21.114,240,0.585379123104873,1.3523895606292,0.582758879102495,3.22424253120187,-1.00336463677253,849.620695236113,8496.20695236113,1123.30818259141,480.919129108079,205.879469007778,0.242319272779206
"24",177,"CO","POTR","H",12,"L","POTR-H-12L",37.48975,108.16877,3098,"SSW",5,40.4,1.5,10,0,0,0,4,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,110,40,40,0,40,70,70,0,70,110,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,6,6,1,1,2,34.8,73.4,-14.3,23,"y","",470,471,0,0,0,0,NA,57,16,3,3,NA,0,0,0,0,NA,1,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H12",0.440136830102623,20.171,110,0.741446441794594,-0.401730232295748,-0.556858484475718,-0.187740704348463,0.355163263085599,1126.23609997777,11262.3609997777,1603.04490183313,704.11687628385,327.936556311717,0.291179226379078
"25",180,"CO","POTR","H",13,"H","POTR-H-13H",37.48174,108.17208,3096,"SW",5,32,1,10,0,0,0,10,0,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,330,100,100,0,100,230,230,0,230,330,0,0,0,0,4,0,1,0,17,0,0,0,0,0,0,0,0,0,0,22,22,4,4,18,18,4,59,83.8,-1.7,28,"y","",484,485,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,1,0,3,7,0,NA,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H13",0.290058479532164,23.94,330,-0.194957470343735,2.56678018650031,0.582758879102495,2.50593027108601,-0.807035476817335,1158.67313774555,11586.7313774555,1557.22411874385,875.956622311787,192.900900775019,0.166484312521778
"26",179,"CO","POTR","H",13,"L","POTR-H-13L",37.48162,108.17239,3092,"SW",2,32.2,1.2,10,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,60,70,10,70,0,0,0,0,60,10,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,3,20.4,64.1,-6.1,23,"y","",482,483,0,0,0,0,NA,21,14,5,2,NA,0,0,0,0,NA,2,12,3,0,0,NA,1,1,0,1,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,"H13",0.622507122507123,16.146,70,-0.172662139102346,-0.941459399349578,0.0129501973133889,-0.726474899435357,1.76742907772575,1985.45239067785,19854.5239067785,2603.9801926586,1302.61426442343,353.338645303535,0.177963796544576
