,State,Species,Band,Pair,Comp,Tag,Lat,Long,Elev,Slope,Aspect,DBH,Bark,BAF,ABLA_L,ABLA_R,ABLA_G,PSME_L,PSME_R,PSME_G,PIEN_L,PIEN_R,PIEN_G,PIMO_L,PIMO_R,PIMO_G,LAOC_L,LAOC_R,LAOC_G,TSHE_L,TSHE_R,TSHE_G,THPL_L,THPL_R,THPL_G,ABGR_L,ABGR_R,ABGR_G,PIAL_L,PIAL_R,PIAL_G,PICO_L,PICO_R,PICO_G,Pop_sp_L,Pop_sp_R,Pop_sp_G,BA_tot,BA_sameL,BA_sameLR,BA_sameRG,BA_same_all,BA_otherL,BA_otherLR,BA_otherRG,BA_other_all,BA_totL,BA_totR,BA_totG,ABLA_5,ABLA_5d,PSME_5,PSME_5d,PIEN_5,PIEN_5d,LAOC_5nw,LAOC_5dnw,PIMO_5,PIMO_5d,TSHE_5,TSHE_5d,THPL_5,THPL_5d,ABGR_5,ABGR_5d,PICO_5,PICO_5D,PIAL_5,PIAL_5d,in5_tot,in5_L,in5_same,in5_sameL,in5_other,in5_otherL,p_bot.of.canopy.,p_top.of.canopy.,p_base.ref.,dist,Height,N_Cr,p_taller,pic_N,pic_S,ABLA_r1,ABLA_r2,ABLA_r3,ABLA_r4,ABLA_rt,ABLA_rdead,PSME_r1,PSME_r2,PSME_r3,PSME_r4,PSME_rt,PSME_rdead,PIEN_r1,PIEN_r2,PIEN_r3,PIEN_r4,PIEN_rdead,PIMO_r1,PIMO_r2,PIMO_r3,PIMO_r4,PIMO_rdead,LAOC_r1,LAOC_r2,LAOC_r3,LAOC_r4,LAOC_rdead,TSHE_r1,TSHE_r2,TSHE_r3,TSHE_r4,TSHE_r5,TSHE_rdead,THPL_r1,THPL_r2,THPL_r3,THPL_r4,THPL_r5,THPL_rdead,ABGR_r1,ABGR_r2,ABGR_r3,ABGR_r4,ABGR_rdead,PIAL_r1,PIAL_r2,PIAL_r3,PIAL_r4,PIAL_rdead,PICO_r1,PICO_r2,PICO_r3,PICO_r4,PICO_r5,PICO_rdead,PairUn,ACF,BA_totLR,DBHsc,BA_totLRsc,N_Crsc,in5_totsc,ACFsc,BAI10yr,BAI10yrtot,BAI10yrmax,BAI10yrmin,BAI10yrsd,BAI10yrCV
75,MT,PSME,H,1,C,PSME-H-01C,48.61687,113.84642,1651,34.4,255,42.5,3.2,10,5,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,100,100,0,100,80,80,0,80,180,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,1,3,3,50.3,104,-5.8,15,16.47,4,0.5,731,732,0,0,0,0,0,NA,8,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H1,0.489071038,180,0.526690293,0.645107262,0.729592169,-0.618373455,-0.130900726,809.5140813,8095.140813,1024.22543,614.1437903,137.9903539,0.170460721
76,MT,PSME,H,1,N,PSME-H-01N,48.61701,113.84618,1653,33.1,255,42.6,2.3,10,3,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,20,0,20,60,60,0,60,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,64.4,165,-11.4,10,17.64,1,1,733,734,7,15,4,7,0,NA,15,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,H1,0.570294785,80,0.537333258,-1.367627395,-1.232759182,-1.110548246,0.503506136,1530.585068,15305.85068,1918.2922,638.0013057,395.4909966,0.258392039
77,MT,PSME,H,2,C,PSME-H-02C,48.61662,113.84707,1635,33.6,255,51.2,3.6,10,8,0,2,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,30,30,0,30,110,110,20,130,140,0,20,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,4,3,106,227,-8.4,13,30.602,3,1,741,742,4,9,3,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H2,0.514018692,140,1.452628203,-0.159986601,0.075475052,-0.37228606,0.063955621,804.320243,8043.20243,1185.113992,495.2489723,225.2894438,0.280099184
78,MT,PSME,H,2,N,PSME-H-02N,48.61671,113.84707,1632,33.2,275,50.6,2.4,10,4,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,30,30,0,30,140,140,0,140,170,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,45.8,167,-6.2,16,27.712,2,1,739,740,55,16,2,0,2,NA,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,H2,0.699769053,170,1.388770416,0.443833796,-0.578642065,-0.864460851,1.514778923,1333.981962,13339.81962,2006.17194,597.6452264,441.8735371,0.331244012
79,MT,PSME,H,3,C,PSME-H-03C,48.61814,113.8466,1626,54.3,285,26.3,1.2,10,0,0,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,120,120,0,120,20,20,0,20,140,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,5,5,1,1,79.6,186,-5.7,10,19.17,4,1,749,750,7,11,1,1,0,NA,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H3,0.555033907,140,-1.197469952,-0.159986601,0.729592169,-0.126198664,0.384309401,790.5966039,7905.966039,1065.150199,536.3819706,142.946381,0.180808241
80,MT,PSME,H,3,N,PSME-H-03N,48.61812,113.8466,1634,58,280,26.1,1.3,10,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,110,50,50,0,50,60,60,0,60,110,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,34,158,-18.2,10,17.62,0,1,747,748,6,6,3,1,0,NA,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,H3,0.703745743,110,-1.218755881,-0.763806998,-1.886876299,-1.110548246,1.545839293,837.6894318,8376.894318,982.7960969,595.6079578,122.9467793,0.146768927
81,MT,PSME,H,4,C,PSME-H-04C,48.61864,113.84625,1641,60.5,270,26.2,1.8,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,210,210,0,210,0,0,0,0,210,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,10,8,8,2,2,94.7,169,-6.9,13,22.867,5,0.5,757,758,1,0,0,1,0,NA,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H4,0.42239909,210,-1.208112917,1.248927659,1.383709286,0.858150918,-0.65164919,656.0397254,6560.397254,846.5408575,422.6193062,132.878449,0.202546346
82,MT,PSME,H,4,N,PSME-H-04N,48.6184,113.84636,1650,63.7,265,25.9,1.8,10,4,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,140,60,60,0,60,60,70,20,80,120,10,10,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,7,2,2,6,5,72.6,201,0.6,10,20.04,2,1,755,756,5,0,0,3,0,NA,7,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H4,0.640718563,130,-1.24004181,-0.361260067,-0.578642065,0.365976127,1.053558678,628.8381878,6288.381878,736.4660883,530.4464268,77.30339858,0.122930509
83,MT,PSME,H,5,C,PSME-H-05C,48.61857,113.84697,1625,51.1,280,28.1,1.5,10,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,230,200,200,10,210,20,20,0,20,220,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,36.1,168,-2.2,12,20.424,5,1,761,762,0,0,1,0,0,NA,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5,0.774970623,220,-1.005896592,1.450201125,1.383709286,0.365976127,2.102148922,563.7546765,5637.546765,683.1262661,357.5945649,95.60346571,0.169583455
84,MT,PSME,H,5,N,PSME-H-05N,48.61852,113.84697,1617,54,270,26.1,1.8,10,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,140,90,90,0,90,50,50,0,50,140,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,7,7,4,4,3,3,57.2,146,-11,11,17.27,3,0.75,759,760,2,0,0,0,0,NA,3,4,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H5,0.565605096,140,-1.218755881,-0.159986601,0.075475052,0.119888731,0.466876812,544.3625138,5443.625138,668.0161063,364.3532805,93.43238405,0.17163633
