BAI10yrCV,Coefficient of Variation of BAI between 2003-2012,,,,,
p_taller..,percent neighbors taller than focal tree (only collected in WA),,,,,
,,,,,,
,,,,,,
Species codes,,,,,,
ABGR,Abies grandis,,,,,
ABLA,Abies lasiocarpa,,,,,
Jun_sp,unidentified juniper species,,,,,
LAOC,Larix occidentalis,,,,,
PIAL,Pinus albicaulis,,,,,
PICO,Pinus contorta,,,,,
PIED,Pinus edulis,,,,,
PIEN,Picea engelmanii,,,,,
PIMO,Pinus monticola,,,,,
PIPO,Pinus ponderosa,,,,,
POTR,Populus tremuloides,,,,,
PSME,Psuedotsuga menziesii,,,,,
QUGA,Quercus gambelii,,,,,
THPL,Thuja plicata,,,,,
TSHE,Tsuga heterophylla,,,,,
CANO,"Callitropsis nootkatensis (aka Xanthocyparis nootkatensis, aka Cupressus nootkatensis)",,,,,
ABAM,Abies amabilis,,,,,
ACMA,Acer macrophyllum,,,,,
,,,,,,
,,,,,,
"### Column names for additional file: ""CO_PIPO_ExtraRegendSurveys_090816.csv""",,,,,,
Elev,"CO-PIPO elevation band (L,M,H)",,,,,
Transect,transect #,"1-10 (not unique, repeated for each Elev)",,,,
Stage,Regeneration stage/class,"1=<.33m height, 2=.33m-1.3m height, 3=DBH <2.5cm, 4=DBH2.5-5cm",,,,
Count,# of pinus ponderosa saplings/seedlings in the 5m x50m strip transect,,,,,
