tree,n_missing_total,n_missing_1980_on,n_outliers_total
DP0402B_raw,66,34,0
DP0403N_raw,83,34,0
DP0404B_raw,34,34,1
DP0405A_raw,101,34,0
DP0406B_raw,120,34,1
DP0408B_raw,109,34,0
DP0410B_raw,54,34,2
DP0415A_raw,124,34,0
DP0418B_raw,124,34,0
DP0420B_raw,124,34,0
DP0421A_raw,103,34,0
DP0423A_raw,123,34,1
DP0424B_raw,117,34,0
DP0425B_raw,119,34,0
DP0426A_raw,108,34,1
DP0428B_raw,105,34,0
DP0429A_raw,109,34,0
DP0432B_raw,69,34,0
DP0433B_raw,70,34,0
DP0434B_raw,78,34,0
DP0435B_raw,113,34,0
DP0436B_raw,108,34,0
DP0437B_raw,89,34,1
DP0438B_raw,99,34,2
DP0439B_raw,91,34,0
DP0440B_raw,80,34,2
DP0441B_raw,49,34,0
