age_CE,BIG026A_raw,BIG026B_raw,BIG035A_raw,BIG035B_raw,BIG041E_raw,BIG041W_raw,BIG047NE_raw,BIG047SW_raw,BIG050A_raw,BIG050B_raw,BIG052A_raw,BIG052B_raw,BIG055A_raw,BIG055B_raw,BIG026A_raw_outlier_flag,BIG026B_raw_outlier_flag,BIG035A_raw_outlier_flag,BIG035B_raw_outlier_flag,BIG041E_raw_outlier_flag,BIG041W_raw_outlier_flag,BIG047NE_raw_outlier_flag,BIG047SW_raw_outlier_flag,BIG050A_raw_outlier_flag,BIG050B_raw_outlier_flag,BIG052A_raw_outlier_flag,BIG052B_raw_outlier_flag,BIG055A_raw_outlier_flag,BIG055B_raw_outlier_flag
1833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,1.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,NA
1835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,NA
1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,0.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
1842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA
