age_CE,DHR16A_raw,DHR16B_raw,DHR17A_raw,DHR17B_raw,DHR18A_raw,DHR18B_raw,DHR19A_raw,DHR19B_raw,DHR20A_raw,DHR20B_raw,DHR16A_raw_outlier_flag,DHR16B_raw_outlier_flag,DHR17A_raw_outlier_flag,DHR17B_raw_outlier_flag,DHR18A_raw_outlier_flag,DHR18B_raw_outlier_flag,DHR19A_raw_outlier_flag,DHR19B_raw_outlier_flag,DHR20A_raw_outlier_flag,DHR20B_raw_outlier_flag
1672,NA,NA,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
1673,NA,NA,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
1674,NA,NA,NA,NA,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
1675,NA,NA,NA,NA,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1676,NA,NA,NA,NA,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1677,NA,NA,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1678,NA,NA,NA,NA,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1679,NA,NA,NA,NA,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1680,NA,NA,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1681,NA,NA,NA,NA,2.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA
1682,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1683,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1684,NA,NA,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1685,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1686,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1687,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1688,NA,NA,NA,NA,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1689,NA,NA,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1690,NA,NA,NA,NA,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1691,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1692,NA,NA,NA,NA,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1693,NA,NA,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1694,NA,NA,NA,NA,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1695,NA,NA,NA,NA,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1696,NA,NA,NA,NA,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1697,NA,NA,NA,NA,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1698,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1699,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1700,NA,NA,NA,NA,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1701,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1702,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1703,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1704,NA,NA,NA,NA,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1705,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
1706,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA
