tree,n_missing_total,n_missing_1980_on,n_outliers_total
748011_raw,146,0,0
748012_raw,174,0,3
748021_raw,131,0,0
748022_raw,126,0,1
748031_raw,123,0,0
748032_raw,115,0,3
748041_raw,156,0,1
748042_raw,136,0,1
748051_raw,0,0,1
748052_raw,91,0,1
748061_raw,119,0,1
748062_raw,147,0,1
748071_raw,139,0,1
748072_raw,176,0,1
748081_raw,82,0,1
748082_raw,54,0,1
748091_raw,2,0,2
748092_raw,28,0,14
748101_raw,119,0,0
748102_raw,104,0,0
748111_raw,156,0,0
748112_raw,102,0,3
748121_raw,238,0,1
748122_raw,108,12,5
748132_raw,104,0,1
748141_raw,189,0,3
748142_raw,140,0,2
