tree,n_missing_total,n_missing_1980_on,n_outliers_total
SIC01A_raw,227,7,1
SIC02A_raw,209,7,1
SIC02B_raw,216,7,2
SIC04A_raw,96,7,0
SIC04B_raw,71,7,0
SIC05D_raw,109,7,4
SIC06A_raw,179,7,0
SIC06B_raw,183,7,0
SIC07A_raw,132,7,0
SIC07B_raw,94,7,1
SIC09A_raw,83,7,6
SIC09B_raw,156,7,5
SIC10A_raw,53,7,0
SIC10B_raw,43,7,4
SIC11A_raw,104,7,1
SIC11B_raw,70,7,5
SIC12A_raw,73,7,1
SIC12B_raw,55,7,5
SIC13A_raw,229,7,0
SIC13B_raw,195,7,0
SIC14A_raw,230,7,2
SIC14B_raw,266,7,0
SIC15A_raw,222,7,4
SIC15B_raw,245,7,1
SIC16A_raw,255,7,0
SIC17A_raw,209,7,0
SIC17B_raw,258,7,0
SIC18A_raw,113,7,1
SIC18B_raw,118,7,0
SIC20B_raw,218,7,0
SIC21A_raw,269,7,0
SIC21B_raw,225,7,0
SIC22A_raw,60,7,0
SIC22B_raw,65,7,0
SIC23A_raw,222,7,1
SIC23B_raw,151,7,1
SIC25A_raw,61,7,2
SIC25B_raw,119,7,0
SIC26A_raw,155,7,2
SIC26B_raw,79,7,0
SIC27A_raw,180,7,1
SIC28A_raw,144,7,0
SIC28B_raw,173,7,0
SIC29A_raw,103,7,4
SIC29B_raw,149,7,0
23s09c_raw,251,30,1
23s09a_raw,235,30,1
23s09b_raw,229,30,0
23s13b_raw,230,30,2
23013a_raw,234,30,0
23t058_raw,255,38,0
23082a_raw,167,30,0
23082x_raw,167,30,3
23082y_raw,168,30,4
24t541_raw,241,30,0
24S57c_raw,245,45,2
24S57d_raw,253,45,0
27104a_raw,40,30,0
27104b_raw,39,30,2
27158q_raw,156,45,1
27158p_raw,255,30,0
27158s_raw,253,45,2
27195b_raw,39,30,6
27195q_raw,40,34,3
27s275_raw,201,45,4
27487a_raw,35,30,2
27487b_raw,69,45,9
27487s_raw,199,45,1
27s547_raw,43,30,7
29s017_raw,248,30,0
29033x_raw,75,45,3
29033y_raw,47,31,1
29033s_raw,44,31,3
29s052_raw,253,30,0
29s073_raw,238,30,0
29s114_raw,233,45,1
29t233_raw,240,30,0
44s086_raw,82,31,5
44s163_raw,274,45,1
4s163b_raw,170,45,0
49t658_raw,237,30,2
49t679_raw,234,30,0
49s712_raw,35,30,3
49t732_raw,246,30,2
