"","stand","species","tree_id","year","rw_core1 (mm)","rw_core2 (mm)"
"136","AE10","Abam","AE10_F1",1980,1.542,1.123
"137","AE10","Abam","AE10_F1",1981,1.099,1.293
"138","AE10","Abam","AE10_F1",1982,0.381,0.627
"139","AE10","Abam","AE10_F1",1983,0.423,0.841
"140","AE10","Abam","AE10_F1",1984,0.466,1.099
"141","AE10","Abam","AE10_F1",1985,0.593,1.351
"142","AE10","Abam","AE10_F1",1986,0.592,1.372
"143","AE10","Abam","AE10_F1",1987,0.719,1.179
"144","AE10","Abam","AE10_F1",1988,0.656,1.263
"145","AE10","Abam","AE10_F1",1989,0.275,0.566
"146","AE10","Abam","AE10_F1",1990,0.423,1.048
"147","AE10","Abam","AE10_F1",1991,0.412,0.778
"148","AE10","Abam","AE10_F1",1992,0.455,1.204
"149","AE10","Abam","AE10_F1",1993,0.508,0.623
"150","AE10","Abam","AE10_F1",1994,0.951,1.139
"151","AE10","Abam","AE10_F1",1995,0.529,0.611
"152","AE10","Abam","AE10_F1",1996,0.571,0.824
"153","AE10","Abam","AE10_F1",1997,0.338,0.499
"154","AE10","Abam","AE10_F1",1998,0.381,0.726
"155","AE10","Abam","AE10_F1",1999,0.233,0.416
"156","AE10","Abam","AE10_F1",2000,0.549,0.775
"157","AE10","Abam","AE10_F1",2001,0.585,0.945
"158","AE10","Abam","AE10_F1",2002,0.479,0.698
"159","AE10","Abam","AE10_F1",2003,0.542,0.867
"160","AE10","Abam","AE10_F1",2004,0.338,0.614
"161","AE10","Abam","AE10_F1",2005,0.317,0.529
"162","AE10","Abam","AE10_F1",2006,0.339,0.614
"163","AE10","Abam","AE10_F1",2007,0.286,0.741
"164","AE10","Abam","AE10_F1",2008,0.233,0.497
"283","AE10","Abam","AE10_F10",1980,1.394,1.197
"284","AE10","Abam","AE10_F10",1981,0.475,1.189
"285","AE10","Abam","AE10_F10",1982,0.459,0.871
"286","AE10","Abam","AE10_F10",1983,0.855,0.948
"287","AE10","Abam","AE10_F10",1984,0.389,0.822
"288","AE10","Abam","AE10_F10",1985,1.034,0.945
"289","AE10","Abam","AE10_F10",1986,0.784,0.931
"290","AE10","Abam","AE10_F10",1987,0.918,1.49
"291","AE10","Abam","AE10_F10",1988,0.793,1.156
"292","AE10","Abam","AE10_F10",1989,0.444,0.675
"293","AE10","Abam","AE10_F10",1990,0.672,0.759
"294","AE10","Abam","AE10_F10",1991,0.441,0.511
"295","AE10","Abam","AE10_F10",1992,0.859,0.882
"296","AE10","Abam","AE10_F10",1993,0.482,0.652
"297","AE10","Abam","AE10_F10",1994,0.711,1.113
"298","AE10","Abam","AE10_F10",1995,0.443,0.531
"299","AE10","Abam","AE10_F10",1996,0.72,0.705
"300","AE10","Abam","AE10_F10",1997,0.483,0.519
"301","AE10","Abam","AE10_F10",1998,0.705,0.976
"302","AE10","Abam","AE10_F10",1999,0.396,0.564
"303","AE10","Abam","AE10_F10",2000,0.737,1.129
"304","AE10","Abam","AE10_F10",2001,0.896,1.241
"305","AE10","Abam","AE10_F10",2002,0.692,0.88
"306","AE10","Abam","AE10_F10",2003,0.659,0.967
"307","AE10","Abam","AE10_F10",2004,0.547,0.653
"308","AE10","Abam","AE10_F10",2005,0.658,0.821
"309","AE10","Abam","AE10_F10",2006,0.697,0.599
"310","AE10","Abam","AE10_F10",2007,0.729,0.584
"311","AE10","Abam","AE10_F10",2008,0.309,0.539
"465","AE10","Abam","AE10_F12",1980,0.951,0.43
"466","AE10","Abam","AE10_F12",1981,0.867,0.381
"467","AE10","Abam","AE10_F12",1982,0.804,0.267
"468","AE10","Abam","AE10_F12",1983,0.803,0.338
"469","AE10","Abam","AE10_F12",1984,0.423,0.225
"470","AE10","Abam","AE10_F12",1985,0.804,0.451
"471","AE10","Abam","AE10_F12",1986,0.698,0.316
"472","AE10","Abam","AE10_F12",1987,0.762,0.365
"473","AE10","Abam","AE10_F12",1988,0.762,0.357
"474","AE10","Abam","AE10_F12",1989,0.275,0.078
"475","AE10","Abam","AE10_F12",1990,0.423,0.225
"476","AE10","Abam","AE10_F12",1991,0.296,0.204
"477","AE10","Abam","AE10_F12",1992,0.487,0.282
"478","AE10","Abam","AE10_F12",1993,0.338,0.296
"479","AE10","Abam","AE10_F12",1994,0.486,0.317
"480","AE10","Abam","AE10_F12",1995,0.381,0.233
"481","AE10","Abam","AE10_F12",1996,0.423,0.19
"482","AE10","Abam","AE10_F12",1997,0.232,0.204
"483","AE10","Abam","AE10_F12",1998,0.422,0.395
"484","AE10","Abam","AE10_F12",1999,0.295,0.205
"485","AE10","Abam","AE10_F12",2000,0.592,0.472
"486","AE10","Abam","AE10_F12",2001,0.952,0.487
"487","AE10","Abam","AE10_F12",2002,0.656,0.487
"488","AE10","Abam","AE10_F12",2003,0.719,0.549
"489","AE10","Abam","AE10_F12",2004,0.423,0.458
"490","AE10","Abam","AE10_F12",2005,0.423,0.374
"491","AE10","Abam","AE10_F12",2006,0.444,0.501
"492","AE10","Abam","AE10_F12",2007,0.423,0.331
"493","AE10","Abam","AE10_F12",2008,0.317,0.444
"629","AE10","Abam","AE10_F15",1980,0.46,0.508
"630","AE10","Abam","AE10_F15",1981,0.571,0.718
"631","AE10","Abam","AE10_F15",1982,0.371,0.444
"632","AE10","Abam","AE10_F15",1983,0.54,0.466
"633","AE10","Abam","AE10_F15",1984,0.413,0.402
"634","AE10","Abam","AE10_F15",1985,0.5,0.466
"635","AE10","Abam","AE10_F15",1986,0.451,0.337
"636","AE10","Abam","AE10_F15",1987,0.579,0.274
"637","AE10","Abam","AE10_F15",1988,0.412,0.316
"638","AE10","Abam","AE10_F15",1989,0.341,0.317
"639","AE10","Abam","AE10_F15",1990,0.42,0.36
"640","AE10","Abam","AE10_F15",1991,0.365,0.443
"641","AE10","Abam","AE10_F15",1992,0.579,0.677
"642","AE10","Abam","AE10_F15",1993,0.436,0.401
"643","AE10","Abam","AE10_F15",1994,0.507,0.655
"644","AE10","Abam","AE10_F15",1995,0.309,0.444
"645","AE10","Abam","AE10_F15",1996,0.421,0.719
"646","AE10","Abam","AE10_F15",1997,0.23,0.381
"647","AE10","Abam","AE10_F15",1998,0.404,0.634
"648","AE10","Abam","AE10_F15",1999,0.262,0.339
"649","AE10","Abam","AE10_F15",2000,0.498,0.444
"650","AE10","Abam","AE10_F15",2001,0.584,0.55
"651","AE10","Abam","AE10_F15",2002,0.476,0.55
"652","AE10","Abam","AE10_F15",2003,0.492,0.656
"653","AE10","Abam","AE10_F15",2004,0.411,0.381
"654","AE10","Abam","AE10_F15",2005,0.396,0.508
"655","AE10","Abam","AE10_F15",2006,0.404,0.57
"656","AE10","Abam","AE10_F15",2007,0.389,0.402
"657","AE10","Abam","AE10_F15",2008,0.246,0.316
"834","AE10","Abam","AE10_F17",1980,0.653,0.733
"835","AE10","Abam","AE10_F17",1981,0.781,1.009
"836","AE10","Abam","AE10_F17",1982,0.422,0.529
"837","AE10","Abam","AE10_F17",1983,0.634,0.465
"838","AE10","Abam","AE10_F17",1984,0.676,0.698
