tree,n_missing_total,n_missing_1980_on,n_outliers_total
SMP011_raw,135,38,3
SMP012_raw,167,38,2
SMP021_raw,173,45,7
SMP022_raw,205,45,8
SMP031_raw,142,38,7
SMP032_raw,117,38,4
SMP041_raw,143,38,2
SMP042_raw,125,38,1
SMP051_raw,138,38,4
SMP052_raw,109,38,3
SMP061_raw,195,38,3
SMP062_raw,125,38,6
SMP071_raw,277,38,2
SMP072_raw,276,38,1
SMP081_raw,138,38,4
SMP082_raw,112,38,5
SMP091_raw,176,38,0
SMP092_raw,162,38,2
SMP101_raw,243,38,2
SMP111_raw,106,38,8
SMP112_raw,103,38,6
SMP121_raw,256,38,0
SMP122_raw,236,38,0
SMP131_raw,259,38,0
SMP132_raw,250,38,1
SMP141_raw,208,38,1
SMP142_raw,196,38,1
SMP151_raw,157,38,3
SMP152_raw,108,38,7
SMP161_raw,146,38,0
SMP162_raw,109,38,4
SMP171_raw,170,38,5
SMP172_raw,115,38,1
SMP181_raw,120,38,4
SMP182_raw,104,38,4
SMP191_raw,38,38,6
SMP192_raw,49,38,8
