# Biondi et al. 1999 Idaho July Temperature Reconstruction
#----------------------------------------------------------------------- 
#               World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available),
# and date accessed when using these downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/6229
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-recon-6229.json
#   Study_Level_JSON_Description: JSON metadata of this file's parent study, which includes all study metadata.
#
# Data_Type: Climate Reconstructions
#
# Dataset_DOI: 10.25921/2w4y-7m50
#
# Science_Keywords: Air Temperature Reconstruction
#-------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/idaho/idaho-temperature-noaa.txt
#   Data_Download_Description: NOAA Template File; Surface Air Temperature Reconstruction Data
#
#-------------------
# Contribution_Date
#   Date: 2006-04-01
#-------------------
# File_Last_Modified_Date
#   Date: 2025-06-11
#-------------------
# Title
#   Study_Name: Biondi et al. 1999 Idaho July Temperature Reconstruction
#-------------------
# Investigators
#   Investigators: Biondi, F.
#-------------------
# Description_Notes_and_Keywords
#   Description: Samples were taken from whitebark pine (Pinus albicaulis) near upper treeline, and from Douglas-firs (Pseudotsuga menziesii) near the lower forest border in the Sawtooth-Salmon River region of Idaho.  Both chronologies correlate most strongly with July temperature.  The relationship with July temperature is inverse for the low-elevation Douglas-firs, due to moisture stress associated with high July temperatures, and positive for the high elevation whitebark pine, due to enhanced growing conditions at the cold treeline site. The tree-ring data are available in the International Tree Ring Data Bank at the NOAA/WDC Paleo website: http://www.ncdc.noaa.gov/paleo/treering.html Salmon River Valley Douglas-fir site id is ID014. Railroad Ridge whitebark pine site id is ID012. Railroad Ridge: 44.13N, 114.55W, 2930m elevation. Salmon River Valley: 44.42N, 114.25S, 1700m elevation
#-------------------
# Publication
#   Authors: Biondi, F., D.L. Perkins, D.R. Cayan, and M.K. Hughes
#   Journal_Name: Geophysical Research Letters
#   Published_Title: July Temperature during the second millennium reconstructed from Idaho tree rings.
#   Published_Date_or_Year: 1999-05-15
#   Volume: 26
#   Issue: 10
#   Pages: 1445-1448
#   Report_Number:
#   DOI: 10.1029/1999GL900272
#   Full_Citation: 
#   Abstract: An 858 year proxy record of July temperature for east-central Idaho shows multi-decadal periods of extreme cooling centered around AD 1300, 1340, 1460, and after AD 1600.  These cold intervals are interrupted by prolonged warm spells in the early 1400s, late 1500s, and in the 1930s.  The spatial signature of the paleoclimatic record is centered on the north-central Rockies and Central Great Plains, and expands over North America following a wave-like pattern.  Neither instrumental nor proxy data in Idaho northeast valleys show unusual warming during the twentieth century.  Climate episodes over the last three centuries are in broad agreement with the Greenland borehole temperature history.  Low-frequency patterns are consistent with other northern hemisphere tree-ring records for the late Holocene, and provide a chronology of warm and cold intervals during the Little Ice Age.
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US National Science Foundation
#   Grant_Number: 
#-------------------
# Funding_Agency
#   Funding_Agency_Name: US Forest Service
#   Grant_Number: Rocky Mountain Research Station
#-------------------
# Site_Information
#   Site_Name: Salmon Valley River and Railroad Ridge
#   Location: Idaho
#   Northernmost_Latitude: 44.13
#   Southernmost_Latitude: 44.42
#   Easternmost_Longitude: -114.55
#   Westernmost_Longitude: -114.25
#   Elevation_m: 
#-------------------
# Data_Collection
#   Collection_Name: SAT_Biondi1999
#   First_Year: 1135
#   Last_Year: 1992
#   Time_Unit: CE
#   Core_Length_m: 
#   Parameter_Keywords: reconstructions
#   Notes: 
#-------------------
# Chronology_Information
#   Chronology:
#-------------------
# Variables 
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Variables format: shortname <tab> what,material,error,units,seasonality,data_type,detail,method, C(har) or N(umeric) data,additional information
#
## age	age,,,year Common Era,,climate reconstructions;tree ring,,,N,
## sat	surface air temperature,ring width,,standard deviation unit,Jul,climate reconstructions;tree ring,anomalized,regression analysis,N,anomalized from length of record; simple linear regression
#-------------------------------
# Data: 
# Missing_Values: NA
age	sat
1439	1.488
1440	0.798
1441	-0.721
1442	-0.859
1443	-0.306
1444	-0.168
1445	0.522
1446	1.212
1447	-0.306
1448	-0.583
1449	-1.135
1450	-0.859
1451	-0.583
1452	-0.997
1453	-1.135
1454	-2.239
1455	-0.583
1456	-1.273
1457	-2.377
1458	-1.825
1459	-2.101
1460	0.246
1461	-1.549
1462	-1.825
1463	-2.101
1464	-1.411
1465	-0.03
1466	-1.687
1467	-1.273
1468	0.384
1469	-0.859
1470	-2.377
1471	-1.549
1472	-1.411
1473	-1.825
1474	1.074
1475	0.246
1476	0.384
1477	-0.997
1478	-1.273
1479	1.074
1480	1.074
1481	1.765
1482	0.384
1483	1.074
1484	0.246
1485	0.384
1486	0.798
1487	-0.306
1488	0.108
1489	1.35
1490	0.246
1491	-0.168
1492	1.212
1493	0.798
1494	0.522
1495	1.074
1496	0.108
1497	-0.03
1498	0.522
1499	1.212
1500	-0.03
1501	-0.721
1502	-0.168
1503	0.108
1504	-0.721
1505	0.384
1506	0.384
1507	0.384
1508	0.66
1509	0.936
1510	0.246
1511	0.522
1512	-0.583
1513	0.108
1514	-0.306
1515	0.798
1516	1.212
1517	1.212
1518	1.627
1519	0.246
1520	1.074
1521	1.35
1522	0.522
1523	0.936
1524	-0.583
1525	-0.444
1526	-1.411
1527	0.522
1528	1.35
1529	1.903
1530	1.35
1531	2.041
1532	1.903
1533	1.765
1534	0.66
1535	0.798
1536	0.384
1537	-0.168
1538	-0.583
1539	-0.444
1540	0.66
1541	0.384
1542	0.522
1543	0.522
1544	-0.721
1545	1.765
1546	1.627
1547	0.936
1548	1.212
1549	-0.03
1550	0.384
1551	-0.306
1552	0.108
1553	0.246
1554	1.212
1555	1.212
1556	1.765
1557	-0.306
1558	0.246
1559	-0.03
1560	1.074
1561	1.074
1562	2.041
1563	1.765
1564	1.212
1565	-0.583
1566	0.798
1567	1.074
1568	0.798
1569	0.66
1570	2.317
1571	2.041
1572	0.66
1573	0.798
1574	0.522
1575	0.936
1576	2.317
1577	0.798
1578	-0.306
1579	1.627
1580	2.041
1581	1.074
1582	0.936
1583	0.798
1584	2.455
1585	1.35
1586	0.936
1587	0.246
1588	0.384
1589	-0.444
1590	0.246
1591	-0.168
1592	0.798
1593	1.765
1594	0.66
1595	1.903
1596	-0.444
1597	0.384
1598	1.074
1599	-0.444
1600	0.936
1601	-0.444
1602	-0.444
1603	0.384
1604	-1.135
1605	-1.273
1606	-1.273
1607	-1.273
1608	-1.411
1609	-2.93
1610	-1.687
1611	-2.515
1612	-0.721
1613	-2.101
1614	-0.168
1615	0.246
1616	-0.168
1617	-1.411
1618	-1.411
1619	-0.997
1620	0.66
1621	-1.135
1622	-1.135
1623	-1.687
1624	-2.101
1625	-2.515
1626	0.384
1627	-0.997
1628	-1.273
1629	-0.03
1630	0.384
1631	1.074
1632	1.35
1633	-0.583
1634	0.108
1635	-0.583
1636	-0.168
1637	0.108
1638	0.246
1639	-0.168
1640	-0.444
1641	-2.377
1642	-2.239
1643	-1.825
1644	-0.03
1645	-0.859
1646	-0.583
1647	-0.03
1648	0.522
1649	1.212
1650	0.108
1651	-0.03
1652	1.212
1653	0.108
1654	-0.444
1655	0.798
1656	1.074
1657	0.798
1658	0.384
1659	1.074
1660	0.66
1661	-0.444
1662	0.108
1663	-0.03
1664	0.246
1665	0.798
1666	-0.168
1667	-0.721
1668	-0.306
1669	-0.168
1670	0.384
1671	0.246
1672	-0.859
1673	-0.444
1674	-1.135
1675	0.246
1676	-0.721
1677	0.522
1678	-0.03
1679	0.522
1680	-0.03
1681	-0.997
1682	0.798
1683	0.246
1684	-0.444
1685	0.108
1686	0.246
1687	-0.444
1688	0.108
1689	0.798
1690	0.108
1691	1.074
1692	0.522
1693	0.522
1694	0.108
1695	1.765
1696	0.66
1697	0.108
1698	0.936
1699	0.798
1700	-0.306
1701	0.384
1702	0.246
1703	1.35
1704	2.179
1705	-0.03
1706	0.936
1707	0.798
1708	0.66
1709	-0.306
1710	-0.168
1711	0.108
1712	-0.03
1713	0.522
1714	-0.444
1715	-0.444
1716	-0.168
1717	1.074
1718	1.488
1719	0.522
1720	0.246
1721	-0.03
1722	0.66
1723	-0.721
1724	-0.03
1725	0.522
1726	-1.411
1727	-1.273
1728	-1.273
1729	1.074
1730	-0.168
1731	-0.859
1732	0.522
1733	-0.168
1734	1.35
1735	1.35
1736	1.212
1737	0.522
1738	-0.583
1739	1.35
1740	1.074
1741	1.488
1742	0.798
1743	1.488
1744	2.179
1745	0.522
1746	-0.168
1747	0.384
1748	1.903
