"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.997081778196036,0.00564013495672677,176.7833191663,0
"DD5_sm",0.0568894731386223,0.0120614247325512,4.716646200601,3.23956012298068e-06
"DD5_sp",-0.0505404294003937,0.0150835804323154,-3.35069180869779,0.000876748257682253
"RH_sp",-0.0204523504600357,0.0133731978068404,-1.52935376829424,0.126906951299251
"PAS",-0.0878250536025039,0.0133221701590227,-6.59239842714535,1.26165114589235e-10
"prev_DD5_sm",-0.0330052620890975,0.0117849649841023,-2.80062453589137,0.0053287560362105
"DD5_sm:spABILAS",-0.0218561733228093,0.0172026777302291,-1.2705099558078,0.204585256822864
"DD5_sm:spCALNOO",-0.0100619435100813,0.0172067587385203,-0.58476693158694,0.559009013892086
"DD5_sm:spTSUMER",-0.0084585846844854,0.0170510759452765,-0.496073368720676,0.620094354339538
"spABILAS:DD5_sp",0.0188100602989506,0.0214174777400577,0.878257492653752,0.380291070767884
"spCALNOO:DD5_sp",0.0321247550316433,0.0214581947587264,1.49708563058778,0.135099541521848
"spTSUMER:DD5_sp",0.0182732098081372,0.0213344870078147,0.856510390966691,0.392189280351932
"spABILAS:RH_sp",0.00544787859745367,0.0188596961097325,0.288863540841589,0.772824046249031
"spCALNOO:RH_sp",-0.0146390294715379,0.0188638370045752,-0.776036681613997,0.438150990866086
"spTSUMER:RH_sp",-0.00889518857633819,0.0189005945421438,-0.470630093487486,0.6381418951955
"spABILAS:PAS",0.0156299454421486,0.0189371317272552,0.825359704271017,0.409621888601381
"spCALNOO:PAS",0.0333431904685762,0.0189689725924672,1.75777524618372,0.0794923206571695
"spTSUMER:PAS",0.0172938655403823,0.0188550379948421,0.9172013095446,0.359547735063793
"spABILAS:prev_DD5_sm",-0.00843795148036305,0.0167295826762182,-0.504373100254195,0.614255772484741
"spCALNOO:prev_DD5_sm",0.016190586094613,0.0167281192815799,0.967866490074665,0.333651337336277
"spTSUMER:prev_DD5_sm",0.0113497450337365,0.0166666157945101,0.680986780620158,0.496243861152859
