"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.99903607281121,0.00620687816285924,160.956288587917,1.77891688226316e-310
"DD5_sm",0.064794092288483,0.0112783928675637,5.74497564053018,2.12481274306081e-08
"DD5_sp",-0.0354897592703271,0.01416821405951,-2.50488587490712,0.0127412115187715
"RH_sp",-0.0266419830214803,0.0124504105053075,-2.13984775924642,0.0331160223234105
"PAS",-0.109340267108172,0.0124858766215999,-8.75711577343467,1.14407371813491e-16
"prev_DD5_sm",-0.0240681251188931,0.0110606026717348,-2.17602293773727,0.0302779403281852
"DD5_sm:siteSPRY",-0.0079046191498606,0.0160859409546582,-0.491399239381862,0.623477841277214
"DD5_sm:siteSUNR",-0.0127456150632355,0.0161290559243887,-0.790226974411001,0.429974998552524
"siteSPRY:DD5_sp",-0.0150506701300665,0.020161323734509,-0.746512001307986,0.455901186160205
"siteSUNR:DD5_sp",0.00372527219718399,0.0199222365514302,0.186990661794774,0.851785351809661
"siteSPRY:RH_sp",0.0061896325614446,0.0177971756591559,0.347787350082163,0.728226422199637
"siteSUNR:RH_sp",0.0103842845376911,0.017740148962298,0.585354979812188,0.558717774362196
"siteSPRY:PAS",0.0215152135056679,0.0177874118153524,1.20957527317707,0.227326463319659
"siteSUNR:PAS",0.0445441025399552,0.0175104813485793,2.54385368701297,0.0114292359446462
"siteSPRY:prev_DD5_sm",-0.00893713697020441,0.0157458134404919,-0.567588140427328,0.570708951989249
"siteSUNR:prev_DD5_sm",-0.0150546228535905,0.0157407118089719,-0.956413092132826,0.339578848385549
