"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.992127152437869,0.00607335556955886,163.357330404077,8.8260978575552e-312
"DD5_sm",0.0547093848930904,0.0110402204345217,4.95546128064794,1.16827901533945e-06
"DD5_sp",-0.0362260921497256,0.0138968075277381,-2.60679239295918,0.00956460146839407
"RH_sp",0.00301901759325833,0.0124419340160708,0.242648577733878,0.808432130863272
"PAS",-0.0588074862968428,0.0122137044197652,-4.81487714748324,2.2698065945126e-06
"prev_DD5_sm",-0.0440216683786207,0.010893007754069,-4.04127761335492,6.65455117361038e-05
"DD5_sm:siteSPRY",-0.019676085077277,0.0158671616551519,-1.24005071007066,0.215859525512207
"DD5_sm:siteSUNR",-0.00415013133599987,0.0159222994182381,-0.260648994657526,0.794529810905876
"siteSPRY:DD5_sp",0.00449572304828237,0.0198166766650197,0.226865640706455,0.820672178646604
"siteSUNR:DD5_sp",-0.00412035831517242,0.0195953593518464,-0.210272148685253,0.833588261743697
"siteSPRY:RH_sp",-0.0180234894558407,0.0175346722702412,-1.02787717831653,0.304779103314406
"siteSUNR:RH_sp",-0.0269389984724992,0.0175006760185046,-1.53931187823915,0.124710260459644
"siteSPRY:PAS",-0.0133876218635123,0.0174797055699469,-0.765895158241669,0.44429974496249
"siteSUNR:PAS",0.0119462285622177,0.0171831211498738,0.695230421645801,0.487412309081045
"siteSPRY:prev_DD5_sm",0.00257845480916045,0.0155039040564732,0.16631003389652,0.868017349079621
"siteSUNR:prev_DD5_sm",-0.00756940015305088,0.0155067703548952,-0.488135180944455,0.625786319375753
