"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.999148921264316,0.00515880094124051,193.678518059674,0
"DD5_sm",0.0520484772252476,0.0110901772389315,4.69320517642714,3.61369279961401e-06
"DD5_sp",-0.0317644870731432,0.0134711842348979,-2.35795803243901,0.0188195788235531
"RH_sp",-0.0162576984837892,0.0121550376251069,-1.33752761490496,0.181752593482864
"PAS",-0.0647961645682165,0.0118083398085572,-5.48732214847514,6.95761784523509e-08
"prev_DD5_sm",-0.0391227479724835,0.0107723303902187,-3.6317812910758,0.000315176556683282
"DD5_sm:spABILAS",-0.00148922366815676,0.0158291142057823,-0.0940813016316957,0.925088092146775
"DD5_sm:spCALNOO",-0.0184458749341364,0.0156864350672548,-1.1759124909548,0.240275969514919
"DD5_sm:spTSUMER",-0.0136497114838826,0.0158387466090719,-0.861792401935674,0.389278765758969
"spABILAS:DD5_sp",-0.008581963391755,0.0191425371063558,-0.448319015607683,0.654147225414517
"spCALNOO:DD5_sp",0.010772425857583,0.0190510752537814,0.565449756199184,0.572060761626205
"spTSUMER:DD5_sp",0.00734544211988893,0.0191653474377746,0.383266838430029,0.701710019587773
"spABILAS:RH_sp",-0.00766228239545188,0.0171621678984134,-0.44646354940743,0.655485631903107
"spCALNOO:RH_sp",-0.00531563546818573,0.017185890961454,-0.309302292217965,0.757240367573875
"spTSUMER:RH_sp",-0.00956994657850506,0.017149728593236,-0.558023208733432,0.577116935608374
"spABILAS:PAS",0.0179349068335915,0.016763395232199,1.06988510293799,0.285267057680988
"spCALNOO:PAS",0.0095023307901578,0.0167031566873872,0.568894309500979,0.56972281855424
"spTSUMER:PAS",-0.00680527861759404,0.0167870923306612,-0.405387572996448,0.685392866421199
"spABILAS:prev_DD5_sm",-0.0124683205591878,0.0152998242943071,-0.814932271073669,0.415559073342398
"spCALNOO:prev_DD5_sm",0.0193874681308775,0.0152310536073601,1.27289080786302,0.203739800487531
"spTSUMER:prev_DD5_sm",-0.00564350792187238,0.015298438014847,-0.368894387544363,0.712386754470939
