"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",1.00133317055588,0.00761449315665295,131.503587954635,3.28760754372269e-283
"DD5_sm",0.0372020322136277,0.013859638478507,2.68419932246567,0.00764409038867306
"DD5_sp",-0.00609614605182421,0.0175325599427363,-0.347704275458636,0.728288059223315
"RH_sp",-0.0127169079771696,0.0153175385349676,-0.830218768383631,0.407026416815071
"PAS",-0.0820638192790476,0.015427796197973,-5.31921852129663,1.94738705449721e-07
"prev_DD5_sm",-0.0119059762706337,0.0135953913594375,-0.875736192939302,0.381822228780616
"DD5_sm:siteSPRY",0.00962549741491346,0.0199411149832938,0.482696048991117,0.629637534222401
"DD5_sm:siteSUNR",-0.00359942992251654,0.0198214870616762,-0.181592325102381,0.856016223110603
"siteSPRY:DD5_sp",-0.0123195283169261,0.0250069703343528,-0.49264377700334,0.622597986950531
"siteSUNR:DD5_sp",-0.0148959151637359,0.0245657075043318,-0.606370289197217,0.544693499564109
"siteSPRY:RH_sp",-0.022374471954404,0.0218227165554595,-1.02528353413482,0.305994281188395
"siteSUNR:RH_sp",-0.0088564259748054,0.0218051345057644,-0.406162409705113,0.684891394883981
"siteSPRY:PAS",0.0275819561451201,0.0220660270816107,1.24997381917047,0.212211204501175
"siteSUNR:PAS",0.0267699855009889,0.0215804864813755,1.24047182736553,0.215698452010349
"siteSPRY:prev_DD5_sm",-0.00490869972385087,0.0194221805506212,-0.252736798067396,0.800631878355599
"siteSUNR:prev_DD5_sm",-0.00782930357097234,0.0193391511911672,-0.404842151218521,0.685860691741442
