"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.995681144817372,0.00606768635901168,164.095684236973,0
"DD5_sm",0.0647940922884832,0.0126887968203209,5.10640159236503,4.95185505307254e-07
"DD5_sp",-0.0354897592703271,0.0159400006382976,-2.22645908715079,0.0265032376639365
"RH_sp",-0.0266419830214803,0.0140073795164365,-1.90199622921748,0.0578427321331973
"PAS",-0.109340267108172,0.0140472807992633,-7.78373186032601,5.3441656019519e-14
"prev_DD5_sm",-0.0240681251188931,0.0124437711702322,-1.93415041064629,0.0537534873850721
"DD5_sm:spABILAS",-0.0100847073953928,0.0179615616717642,-0.561460499909988,0.574777510332606
"DD5_sm:spCALNOO",-0.0275920600748556,0.0179466789411483,-1.53744657523194,0.124922910233477
"DD5_sm:spTSUMER",-0.021700246416045,0.0179443549237312,-1.20930769081851,0.227212234344442
"spABILAS:DD5_sp",-0.000736332879398434,0.0225864481338103,-0.0326006495149715,0.974008249145924
"spCALNOO:DD5_sp",0.029393613218503,0.0226240505522616,1.29921974628742,0.194567947189055
"spTSUMER:DD5_sp",0.0432469919052966,0.0225587912988499,1.91707930324713,0.0558933040211383
"spABILAS:RH_sp",0.0296610006147388,0.0200365147714495,1.48034730356416,0.139516301033625
"spCALNOO:RH_sp",0.013925075044311,0.0198230766282738,0.702467901700463,0.482769277500948
"spTSUMER:RH_sp",0.0215787771207962,0.0198104253782735,1.08926369367425,0.27665054304706
"spABILAS:PAS",0.0505327808113289,0.0198776300243632,2.54219344808174,0.0113673865430329
"spCALNOO:PAS",0.0272764478291241,0.0199227610950844,1.36910981861114,0.171682981199006
"spTSUMER:PAS",0.0329724576417157,0.0198809888835256,1.6584918303052,0.0979508615093399
"spABILAS:prev_DD5_sm",-0.0199535432597278,0.0176685700228377,-1.12932417473155,0.259393654464265
"spCALNOO:prev_DD5_sm",0.0121621488482592,0.0176023156538414,0.690940276690524,0.489977630715249
"spTSUMER:prev_DD5_sm",0.00478657826903497,0.0175976226889231,0.272001414830191,0.785752092707451
