age_CE,735011_raw,735012_raw,735031_raw,735032_raw,735041_raw,735042_raw,735051_raw,735052_raw,735061_raw,735011_raw_outlier_flag,735012_raw_outlier_flag,735031_raw_outlier_flag,735032_raw_outlier_flag,735041_raw_outlier_flag,735042_raw_outlier_flag,735051_raw_outlier_flag,735052_raw_outlier_flag,735061_raw_outlier_flag
1828,NA,NA,4.34,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1829,NA,NA,7.9,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
1830,NA,NA,5.85,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1831,NA,NA,4.85,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1832,NA,NA,6.69,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1833,NA,NA,6.41,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1834,NA,NA,7.02,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1835,NA,NA,5.99,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1836,NA,NA,5.27,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1837,NA,NA,6.82,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1838,NA,NA,7.03,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1839,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1840,NA,NA,7.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1841,NA,NA,4.57,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1842,NA,NA,5.76,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1843,NA,NA,4.63,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1844,NA,NA,6.74,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1845,NA,NA,6.47,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1846,NA,NA,6.98,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1847,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1848,NA,NA,5.21,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1849,NA,NA,4.96,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1850,NA,NA,5.33,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1851,NA,NA,3.94,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA
1852,NA,NA,3.5,NA,NA,3.96,NA,NA,NA,NA,NA,FALSE,NA,NA,TRUE,NA,NA,NA
1853,NA,NA,3.73,NA,NA,2.9,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1854,NA,NA,2.87,NA,NA,3.17,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1855,NA,NA,2.73,NA,NA,2.38,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1856,NA,NA,3.58,NA,NA,2.61,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1857,NA,NA,3.47,NA,NA,2.24,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1858,NA,NA,4.18,NA,NA,2.41,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1859,NA,NA,2.18,NA,NA,1.93,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1860,NA,NA,2.49,NA,NA,2.8,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1861,NA,NA,3.57,NA,NA,1.75,NA,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA
1862,NA,NA,3.36,NA,2.01,2.02,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA
1863,NA,NA,1.42,NA,1.25,1.22,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA
1864,NA,NA,2.06,NA,2.32,1.85,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA
1865,NA,NA,1.37,NA,2.09,1.44,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA
1866,NA,NA,2.75,NA,2.5,2.13,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,NA,NA,NA
1867,NA,NA,2.83,7.04,1.69,1.6,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,NA,NA,NA
1868,NA,NA,2.41,4.8,2.31,2.13,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
1869,NA,NA,3.15,5.31,2.3,2.14,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
1870,NA,NA,2.92,4.41,2.18,2.17,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA
1871,NA,NA,3.34,5.71,1.61,1.74,NA,NA,3.01,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1872,NA,NA,1.13,5.79,0.97,1.15,NA,NA,2.96,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1873,NA,NA,1.7,4.62,1.62,1.89,NA,NA,3.08,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
1874,NA,NA,1.07,5.32,1.87,1.92,NA,NA,2.46,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE
