Species name,Species code
Pinus ponderosa Douglas ex C. Lawson,PIPO
Juniperus occidentalis Hook.,JUOC
Pinus jeffreyi Balf.,PIJE
Calocedrus decurrens (Torr.) Florin = Libocedrus decurrens Torr.,CADE
Platanus racemosa Nutt.,PLRA
Quercus lobata Née,QULO
Abies magnifica A. Murray,ABMA
Tsuga mertensiana (Bong.) Carrière,TSME
Abies concolor (Gordon) Lindl. ex Hildebr.,ABCO
Pinus monophylla Torr. & Frém.,PIMO
Sequoiadendron giganteum (Lindl.) Buchholz,SEGI
Pinus lambertiana Douglas,PILA
Pinus sabiniana Douglas ex D. Don,PISA
Pseudotsuga menziesii (Mirb.) Franco,PSME
Thuja plicata Donn ex D. Don,THPL
Callitropsis nootkatensis,CANO
Larix lyallii Parl.,LALY
