"","year","gsl (days)"
"1","1961",80
"2","1962",77
"3","1963",96
"4","1964",61
"5","1965",84
"6","1966",93
"7","1967",79
"8","1968",93
"9","1969",101
"10","1970",88
"11","1971",54
"12","1972",53
"13","1973",93
"14","1974",34
"15","1975",60
"16","1976",61
"17","1977",96
"18","1978",76
"19","1979",81
"20","1980",91
"21","1981",83
"22","1982",69
"23","1983",67
"24","1984",63
"25","1985",85
"26","1986",89
"27","1987",94
"28","1988",82
"29","1989",76
"30","1990",71
"31","1991",63
"32","1992",111
"33","1993",87
"34","1994",83
"35","1995",83
"36","1996",71
"37","1997",58
"38","1998",77
"39","1999",42
"40","2000",71
"41","2001",84
"42","2002",70
"43","2003",84
"44","2004",91
"45","2005",107
"46","2006",79
"47","2007",84
"48","2008",52
"49","2009",70
"50","2010",67
