"","year","gsl (days)"
"1","1931",162
"2","1932",148
"3","1933",133
"4","1934",204
"5","1935",153
"6","1936",161
"7","1937",153
"8","1938",167
"9","1939",168
"10","1940",196
"11","1941",208
"12","1942",179
"13","1943",166
"14","1944",160
"15","1945",155
"16","1946",157
"17","1947",198
"18","1948",147
"19","1949",144
"20","1950",134
"21","1951",164
"22","1952",169
"23","1953",164
"24","1954",146
"25","1955",122
"26","1956",141
"27","1957",167
"28","1958",191
"29","1959",175
"30","1960",155
"31","1961",155
"32","1962",170
"33","1963",170
"34","1964",129
"35","1965",145
"36","1966",159
"37","1967",142
"38","1968",213
"39","1969",153
"40","1970",150
"41","1971",127
"42","1972",136
"43","1973",152
"44","1974",131
"45","1975",128
"46","1976",150
"47","1977",148
"48","1978",195
"49","1979",159
"50","1980",169
"51","1981",213
"52","1982",154
"53","1983",213
"54","1984",206
"55","1985",151
"56","1986",205
"57","1987",163
"58","1988",144
"59","1989",172
"60","1990",173
"61","1991",157
"62","1992",213
"63","1993",191
"64","1994",166
"65","1995",158
"66","1996",201
"67","1997",146
"68","1998",163
"69","1999",141
"70","2000",171
"71","2001",150
"72","2002",141
"73","2003",172
"74","2004",185
"75","2005",213
"76","2006",160
"77","2007",172
"78","2008",130
"79","2009",135
"80","2010",167
