corner,northing,easting,latitude,longitude
SW,4713221.9,731592.9,42.53861833,-72.17984865
SE,4713221.9,732292.9,42.53840831,-72.1713347
NE,4713721.9,732292.9,42.54290578,-72.17113153
NW,4713721.9,731592.9,42.54311583,-72.179646
