sp,latin,genus,species,family,species.id,authority,id.level,syn,subsp,db
acerpe,Acer pennsylvanicum,Acer,pennsylvanicum,Sapindaceae,30,NA,species,NA,NA,current_harvardforest
acerru,Acer rubrum,Acer,rubrum,Sapindaceae,31,NA,species,NA,NA,current_harvardforest
acersa,Acer saccharum,Acer,saccharum,Sapindaceae,32,NA,species,NA,NA,current_harvardforest
acerxx,Acer unknown,Acer,unknown,Sapindaceae,69,NA,multiple,NA,NA,current_harvardforest
alnuin,Alnus incana,Alnus,incana,Betulaceae,1,NA,species,NA,NA,current_harvardforest
amella,Amelanchier laevis,Amelanchier,laevis,Rosaceae,82,NA,species,NA,NA,current_harvardforest
aronme,Aronia melanocarpa,Aronia,melanocarpa,Rosaceae,2,NA,species,NA,NA,current_harvardforest
betual,Betula alleghaniensis,Betula,alleghaniensis,Betulaceae,34,NA,species,NA,NA,current_harvardforest
betule,Betula lenta,Betula,lenta,Betulaceae,35,NA,species,NA,NA,current_harvardforest
betupa,Betula papyrifera,Betula,papyrifera,Betulaceae,36,NA,species,NA,NA,current_harvardforest
betupo,Betula populifolia,Betula,populifolia,Betulaceae,37,NA,species,NA,NA,current_harvardforest
betuxx,Betula unknown,Betula,unknown,Betulaceae,68,NA,multiple,NA,NA,current_harvardforest
castde,Castanea dentata,Castanea,dentata,Fagaceae,41,NA,species,NA,NA,current_harvardforest
cratsp,Crataegus spp.,Crataegus,spp.,Rosaceae,4,NA,multiple,Crataegus unknown,NA,current_harvardforest
deadhw,Unidentified unk_hardwood,Unidentified,unk_hardwood,Unknown,71,NA,multiple,NA,NA,current_harvardforest
deadsw,Unidentified unk_conifer,Unidentified,unk_conifer,Unknown,72,NA,multiple,NA,NA,current_harvardforest
fagugr,Fagus grandifolia,Fagus,grandifolia,Fagaceae,43,NA,species,NA,NA,current_harvardforest
franal,Frangula alnus,Frangula,alnus,Rhamnaceae,7,NA,species,Rhamnus frangula,NA,current_harvardforest
fraxam,Fraxinus americana,Fraxinus,americana,Oleaceae,44,NA,species,NA,NA,current_harvardforest
fraxni,Fraxinus nigra,Fraxinus,nigra,Oleaceae,85,NA,species,NA,NA,current_harvardforest
hamavi,Hamamelis virginiana,Hamamelis,virginiana,Hamamelidaceae,8,NA,species,NA,NA,current_harvardforest
ilexla,Ilex laevigata,Ilex,laevigata,Aquifoliaceae,83,NA,species,NA,NA,current_harvardforest
ilexve,Ilex verticillata,Ilex,verticillata,Aquifoliaceae,9,NA,species,NA,NA,current_harvardforest
