"Core_CN","PLT_CN","STATECD","COUNTYCD","PLOT","SUBP","DIA","SPCD"
"295712754489998","295712754489998",35,49,2,3,6.60,106
"295712755489998","295712755489998",35,49,3,1,7.50,106
"558531547126144","558531547126144",35,6,3,3,5.00,106
"9000303","2505734010690",4,9,3,3,17.00,106
"558531549126144","558531549126144",35,6,3,4,12.20,106
"558532050126144","558532050126144",35,31,3,4,4.40,106
"558531550126144","558531550126144",35,6,4,1,5.70,106
"558531553126144","558531553126144",35,6,4,3,7.60,106
"558532948126144","558532948126144",35,51,4,4,12.10,106
"11000601","2511050010690",4,11,6,1,14.90,106
"558531554126144","558531554126144",35,6,6,1,6.10,106
"9000601","2505918010690",4,9,6,1,27.50,106
"9000602","2505918010690",4,9,6,2,24.30,106
"9000701","2505957010690",4,9,7,1,27.00,106
"558532810126144","558532810126144",35,43,7,3,7.10,106
"558532949126144","558532949126144",35,51,7,3,8.00,106
"558532950126144","558532950126144",35,51,8,1,10.80,106
"9000901","2506014010690",4,9,9,1,16.30,106
"9000902","2506014010690",4,9,9,2,17.60,106
"9001003","2506041010690",4,9,10,3,25.70,106
"9001004","2506041010690",4,9,10,4,17.60,106
"9001101","2506056010690",4,9,11,1,16.70,106
"558531556126144","558531556126144",35,6,12,2,9.10,106
"558531558126144","558531558126144",35,6,12,3,5.30,106
"558531559126144","558531559126144",35,6,12,3,15.30,106
"558532812126144","558532812126144",35,43,12,3,4.10,106
"11001301","2511340010690",4,11,13,1,19.20,106
"295712327489998","295712327489998",35,35,13,1,6.70,106
"558531560126144","558531560126144",35,6,13,1,4.20,106
"558532952126144","558532952126144",35,51,13,1,5.20,106
"11001304","2511340010690",4,11,13,4,15.30,106
"295712756489998","295712756489998",35,49,13,4,5.20,106
"295712685489998","295712685489998",35,45,14,3,12.00,106
"558531488126144","558531488126144",35,1,15,2,8.50,106
"558531490126144","558531490126144",35,1,15,4,11.80,106
"558532755126144","558532755126144",35,39,18,1,7.30,106
"558531810126144","558531810126144",35,27,18,2,8.10,106
"558531812126144","558531812126144",35,27,19,2,6.00,106
"558531813126144","558531813126144",35,27,19,4,3.60,106
"558531569126144","558531569126144",35,6,20,1,6.30,106
"558531571126144","558531571126144",35,6,20,1,13.00,106
"558531814126144","558531814126144",35,27,20,1,12.20,106
"295711814489998","295711814489998",35,3,20,2,9.10,106
"558531572126144","558531572126144",35,6,20,2,8.60,106
"558531574126144","558531574126144",35,6,20,3,10.90,106
"11002101","2511629010690",4,11,21,1,8.90,106
"295711965489998","295711965489998",35,7,21,1,3.60,106
"11002201","2511642010690",4,11,22,1,7.60,106
"295712686489998","295712686489998",35,45,23,3,5.00,106
"11002304","2511686010690",4,11,23,4,8.60,106
"558533060126144","558533060126144",35,55,23,4,9.50,106
"558533061126144","558533061126144",35,55,24,3,5.20,106
"558532301126144","558532301126144",35,35,25,3,9.00,106
"295711979489998","295711979489998",35,7,26,2,11.30,106
"295712687489998","295712687489998",35,45,26,3,8.80,106
