localID,title,alternateTitle,abstract,dataType,coordinateLon_WGS84,coordinateLat_WGS84,publicationDate,largerWorkCitation,attachmentFileName
AG66,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Agassiz Glacier in Glacier National Park, Montana, USA.",digital images,-114.17,48.92,2024,"Carrara, P.E., 1989. Late Quaternary glacial and vegetative history of the Glacier National Park region, Montana (No. 1902). USGPO; For sale by the Books and Open-File Reports Section, US Geological Survey.",AG66.zip
BA6,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at ""The Lump"" in the Alaska Range, Alaska, USA.",digital images,NA,NA,2024,NA,BA6.zip
BB790,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Bob's Bog on South Baranof Island, Alaska, USA.",digital images,-135,57,2024,NA,BB790.zip
BP16,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BP16.zip
BP17,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BP17.zip
BPSA10A,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA10A.zip
BPSA10B,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA10B.zip
BPSA12C,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA12C.zip
BPSA12A,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA12A.zip
BPSA12B,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA12B.zip
BPSA15,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA15.zip
BPSA5,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA5.zip
BPSA8,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA8.zip
BPSA9,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Boreas Pass, Colorado, USA.",digital images,-105.96,39.42,2024,10.1177/0959683615591353,BPSA9.zip
BQ01,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected at Bob Qd along Tower Rd, Alaska, USA.",digital images,-144.94,63.82,2024,NA,BQ01.zip
CK50,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected by Paul Carrara, location unknown.",digital images,NA,NA,2024,NA,CK50.zip
CL01,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected from avalanche paths at Cliff Lake in southwestern Montana, USA.",digital images,-111.57,44.8,2024,10.1016/S0033-5894(02)00010-8,CL01.zip
CL02A,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected from avalanche paths at Cliff Lake in southwestern Montana, USA.",digital images,-111.57,44.8,2024,10.1016/S0033-5894(02)00010-8,CL02A.zip
CL02B,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected from avalanche paths at Cliff Lake in southwestern Montana, USA.",digital images,-111.57,44.8,2024,10.1016/S0033-5894(02)00010-8,CL02B.zip
CL02C,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected from avalanche paths at Cliff Lake in southwestern Montana, USA.",digital images,-111.57,44.8,2024,10.1016/S0033-5894(02)00010-8,CL02C.zip
CL02D,Carrara Career Samples,Geosciences and Environmental Change Science Center,"Data consist of digital images of tree ring samples collected from avalanche paths at Cliff Lake in southwestern Montana, USA.",digital images,-111.57,44.8,2024,10.1016/S0033-5894(02)00010-8,CL02D.zip
