Year,28PienD6,28Unkn7,28Unkn8,28Unkn10,28Unkn11,34PienD2,34Unkn1,34Unkn4,34Unkn5,28Unkn9,28Pip3SF,28Pip1NF,28Pip2SF,34Pip1,34Pip2,34Pip3,34Pip4,34Pip5,34Pip6,34Psm1SF,34Psm2SF,34Psm3SF,28Pie1,28Pie2,28Pie3,34Pie1NF,34Pie1SF,34Pie2NF,34Pie2SF,34Pie3NF,34Pie3SF
1999,0.946043527,1.091993351,1.489081952,0.998211251,0.984740506,1.104576016,0.584623598,0.995148675,0.943911365,0.822510635,1.21756547,1.670873385,1.638505621,0.866032768,1.538534589,0.842233935,0.936905778,1.117954199,1.310510014,0.803404632,1.341695761,1.357951212,0.917497425,0.735907708,1.318626127,1.031204735,0.949172057,1.285666641,1.107511873,1.700863792,1.047969241
2000,0.967284323,0.847077267,0.49528706,0.994041278,0.810247882,0.787054642,0.786399801,0.996617926,0.703336527,0.863377643,0.665892768,2.03389813,1.083407925,1.222276871,1.402072654,1.022825823,1.524185845,1.429983445,1.479630589,0.520227637,0.667693277,0.540156788,1.033522932,0.807437938,0.438282854,0.865178694,0.635750672,0.750627008,0.806127295,0.911323369,0.570767715
2001,1.135711258,1.069704175,0.809841592,1.258522054,0.877535446,0.863505905,1.328142559,0.994616669,0.837313938,1.247008626,0.755699992,1.550808615,0.922894756,0.862909346,0.981840452,0.991826689,1.309823977,0.795093604,2.005112432,0.575525774,0.702205952,0.721662603,1.318375125,1.000678343,0.698674586,0.867366204,0.966037048,0.858957684,1.246175494,1.07544433,0.753980136
2002,0.724982057,0.976050913,0.746534702,1.125726957,0.981832552,0.85743076,1.288913154,1.009869578,0.71635033,0.769846829,0.553704523,0.962613545,0.571191344,0.813258673,0.809512405,0.600684277,1.068235067,1.319356353,0.868692799,0.497925557,0.478621834,0.544129924,1.361877977,0.668298968,0.319737269,0.542969884,0.667956216,0.371250393,0.600948266,0.467507441,0.62049263
2003,1.120018327,0.990779422,1.061897987,0.954762645,1.101775118,1.151779553,1.143628889,1.065177762,0.564107304,1.008029362,0.626635785,0.730584231,0.614026488,0.774073426,0.837180508,0.67972326,0.628067736,1.331253019,1.01577765,0.735261722,0.771837932,0.906086958,1.455632935,0.60436827,0.962279958,0.682570924,0.944890386,0.951270402,0.922716363,0.649143838,1.10352372
2004,1.049245051,1.012495497,1.110635783,0.932293611,0.952900977,1.121316783,0.992192851,0.997764421,0.817464427,0.95431442,1.096546687,0.575090351,1.110911481,1.050961113,0.996731283,0.681904343,0.955838813,0.766861889,0.743070531,0.955585128,0.78367074,1.133327442,1.14500811,0.644669336,0.80963732,0.761955536,0.99183582,0.844682765,0.944683161,0.823020716,1.267005911
2005,1.071595387,1.221644715,1.055778976,0.923293192,1.202135995,1.199289107,0.78760772,0.983350339,0.954646308,1.14530967,0.826795286,0.472475407,1.097493007,1.065416352,0.676140607,1.059553637,0.676630491,1.107299271,0.696954823,1.32975521,1.341287046,1.921210029,0.895165172,0.9748949,1.374000354,1.044960238,1.077886002,1.000839906,0.885441795,0.890198299,1.086845825
2006,0.940646669,0.614617176,1.014968939,0.797673077,0.9154479,0.684173342,0.823976271,0.898104325,1.127893614,0.833823469,0.630997354,0.2875391,0.961794881,1.020005246,0.690321907,0.869673068,0.705986106,1.234202712,0.848221796,0.507475243,0.254482316,0.253029334,0.528090158,0.936621944,0.383610366,0.683024482,0.783284009,0.26722551,0.514603817,0.259023155,0.458033962
2007,0.974259784,1.19618497,0.963284506,1.114857064,1.083484514,1.148713622,0.926013022,1.01223408,1.974876253,1.225405313,1.294480701,0.518208597,1.654671281,1.335775373,1.15249147,0.985892337,0.552369379,0.544181251,1.203438349,1.038051931,1.497795852,1.401608148,0.669542982,1.131655914,1.011542938,1.100127023,1.02694443,0.96735096,1.116363649,1.016515094,0.915608243
2008,0.898662838,0.788931094,1.023276384,0.892171716,0.897782509,0.759907742,0.793641534,0.883918218,1.397164946,0.855057626,1.040777993,0.622551263,0.826687806,1.026707153,1.138996804,1.581786202,1.213661968,1.119392509,0.665488183,1.061065364,0.99305009,0.962015892,0.522491504,0.959080946,0.604551743,0.951159687,0.820873191,0.799179906,1.012746208,0.965675058,0.872823771
