tree,n_missing_total,n_missing_1980_on,n_outliers_total
SFC2A_raw,1045,12,3
SFC2B_raw,1086,12,0
SFC3A_raw,938,12,0
SFC3B_raw,948,11,4
SFC5A_raw,1166,12,1
SFC8A_raw,732,12,0
SFC8B_raw,716,12,2
SFC9A_raw,976,12,3
SFC9B_raw,926,11,2
SFC10A_raw,1115,12,1
SFC10B_raw,1149,15,0
SFC10B2_raw,1114,45,1
SFC11A_raw,977,12,2
SFC11B_raw,1074,12,2
SFC11C_raw,1080,12,0
SFC12A_raw,976,12,5
SFC12B_raw,880,12,3
SFC13A_raw,960,17,2
SFC14A_raw,1106,12,4
SFC14B_raw,1046,14,2
SFC15B_raw,1200,19,0
SFC16A_raw,898,12,3
SFC16B_raw,924,12,1
SFC17A_raw,1166,12,0
SFC17B_raw,900,12,1
SFC18A_raw,940,12,3
SFC18B_raw,1176,12,0
SFC19B_raw,1093,12,1
SFC20A_raw,1034,12,1
SFC20A2_raw,878,12,2
SFC21A_raw,1023,11,1
SFC21B_raw,1065,12,0
SFC22A_raw,923,12,9
SFC22B_raw,914,16,5
SFC23A_raw,1210,12,0
SFC23B_raw,1212,12,0
SFC24A_raw,1163,12,1
SFC24B_raw,1150,12,0
SFC26A_raw,1175,12,0
SFC26B_raw,1130,12,1
SFC26C_raw,1136,12,0
SFC27A_raw,986,12,3
SFC27C_raw,971,12,3
SFC28B_raw,1042,12,5
SFC29A_raw,1176,12,2
SFC30_raw,1132,36,1
SFC31A_raw,901,45,6
SFC31A2_raw,803,45,4
SFC31B_raw,864,45,3
SFC31B2_raw,866,45,1
SFC32A_raw,948,45,3
SFC32A2_raw,979,45,1
SFC31A3_raw,964,45,3
SFC32B_raw,999,45,3
SFC32B2_raw,989,45,3
SFC32C_raw,951,45,0
SFC32C2_raw,1032,45,2
SFC33_raw,483,45,15
SFC33B_raw,705,45,6
SFC33C_raw,946,45,6
SFC34_raw,778,45,5
SFC34B_raw,441,45,15
SFC34C_raw,817,45,8
SFC35_raw,758,45,4
SFC35B_raw,907,45,2
SFC36-1_raw,892,45,1
SFC36-2_raw,884,45,6
SFC37_raw,633,45,7
SFC37-2_raw,711,45,5
SFC37-3_raw,822,45,10
SFC37-4_raw,961,45,6
SFC37-5_raw,1215,45,0
