age_CE,279011_raw,279012_raw,279021_raw,279022_raw,279031_raw,279032_raw,279041_raw,279042_raw,279051_raw,279052_raw,279061_raw,279062_raw,279071_raw,279072_raw,279081_raw,279082_raw,279091_raw,279092_raw,279011_raw_outlier_flag,279012_raw_outlier_flag,279021_raw_outlier_flag,279022_raw_outlier_flag,279031_raw_outlier_flag,279032_raw_outlier_flag,279041_raw_outlier_flag,279042_raw_outlier_flag,279051_raw_outlier_flag,279052_raw_outlier_flag,279061_raw_outlier_flag,279062_raw_outlier_flag,279071_raw_outlier_flag,279072_raw_outlier_flag,279081_raw_outlier_flag,279082_raw_outlier_flag,279091_raw_outlier_flag,279092_raw_outlier_flag
1936,0.25,0.33,0.49,0.35,0.43,0.68,0.68,0.5,1.17,0.8,0.35,0.2,0.3,0.41,0.34,0.4,0.31,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1937,0.56,0.72,1.02,1.13,0.84,1.24,1.14,1.54,2.28,1.28,0.69,0.52,0.62,0.81,0.52,0.81,0.69,1.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1938,0.67,0.69,1.15,1.51,1.07,1.11,1.75,2.75,2.71,1.52,0.74,0.37,0.47,0.83,0.65,0.91,0.72,1.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1939,0.46,0.5,0.87,1.2,0.76,0.77,2.53,3.31,1.61,1.13,0.73,0.38,0.47,0.64,0.79,1,0.75,1.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1940,0.53,0.46,1.28,1.41,0.97,1.13,2.39,2.81,2.29,1.62,0.94,0.48,0.66,0.81,0.99,0.84,0.79,1.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1941,0.62,0.56,2.08,2.02,1.3,1.45,2.69,3.57,3.12,2.2,1.46,0.47,0.77,1.12,0.93,0.97,0.86,1.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1942,0.83,0.81,2.32,2.35,1.62,1.57,3.24,4.17,3.38,2.63,1.31,0.62,0.94,1.15,0.95,1.06,0.86,1.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1943,0.61,0.58,1.94,1.61,1.36,1.44,3.24,3.87,2.82,2.4,1.12,0.35,0.43,1,0.95,0.97,0.81,1.53,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1944,0.75,0.7,1.98,1.43,1.7,1.67,2.94,3.01,2.98,2.82,1.33,0.55,0.56,1.39,0.86,1.19,0.95,1.44,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1945,0.51,0.52,1.32,1.19,1.1,1.21,2.15,2.08,1.68,1.51,0.75,0.33,0.53,0.83,0.83,1,0.73,0.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
