tree,n_missing_total,n_missing_1980_on,n_outliers_total
762011_raw,140,41,3
762012_raw,116,41,2
762021_raw,162,41,0
762022_raw,96,41,6
762031_raw,278,41,4
762032_raw,162,41,2
762041_raw,47,41,3
762042_raw,41,41,1
762051_raw,282,41,1
762052_raw,287,41,1
762061_raw,266,41,3
762062_raw,191,41,2
762071_raw,248,41,2
762072_raw,258,41,3
762081_raw,270,41,3
762082_raw,242,41,2
762091_raw,271,41,3
762092_raw,344,41,0
762101_raw,257,41,3
762102_raw,258,41,3
762111_raw,274,41,0
762112_raw,271,41,2
762121_raw,279,41,1
762122_raw,283,41,0
762131_raw,189,41,1
762132_raw,150,41,2
