"","Tag","years","Ring_width(mm)","Lat","Long"
"1","I001013",1990,2.8705,59.8833,-111.716698
"2","I001013",1991,3.357,59.8833,-111.716698
"3","I001013",1992,2.398,59.8833,-111.716698
"4","I001013",1993,3.5415,59.8833,-111.716698
"5","I001013",1994,5.4935,59.8833,-111.716698
"6","I001013",1995,4.6655,59.8833,-111.716698
"7","I001013",1996,4.811,59.8833,-111.716698
"8","I001013",1997,5.7765,59.8833,-111.716698
"9","I001013",1998,3.872,59.8833,-111.716698
"10","I001013",1999,2.4915,59.8833,-111.716698
"11","I001013",2000,3.125,59.8833,-111.716698
"12","I001013",2001,4.267,59.8833,-111.716698
"13","I001013",2002,2.336,59.8833,-111.716698
"14","I001013",2003,3.9265,59.8833,-111.716698
"15","I001013",2004,4.4295,59.8833,-111.716698
"16","I001013",2005,4.4715,59.8833,-111.716698
"17","I001013",2006,2.4335,59.8833,-111.716698
"18","I001013",2007,3.05,59.8833,-111.716698
"19","I001013",2008,2.754,59.8833,-111.716698
"20","I001013",2009,1.6225,59.8833,-111.716698
"21","I001013",2010,1.5015,59.8833,-111.716698
"22","I001025",1990,NA,59.8833,-111.716698
"23","I001025",1991,NA,59.8833,-111.716698
"24","I001025",1992,1.1705,59.8833,-111.716698
"25","I001025",1993,1.8545,59.8833,-111.716698
"26","I001025",1994,3.0835,59.8833,-111.716698
"27","I001025",1995,2.643,59.8833,-111.716698
"28","I001025",1996,3.4405,59.8833,-111.716698
"29","I001025",1997,3.77,59.8833,-111.716698
"30","I001025",1998,3.2685,59.8833,-111.716698
"31","I001025",1999,1.9995,59.8833,-111.716698
"32","I001025",2000,3.4935,59.8833,-111.716698
"33","I001025",2001,4.436,59.8833,-111.716698
"34","I001025",2002,2.4985,59.8833,-111.716698
"35","I001025",2003,4.3035,59.8833,-111.716698
"36","I001025",2004,3.257,59.8833,-111.716698
"37","I001025",2005,3.955,59.8833,-111.716698
"38","I001025",2006,2.685,59.8833,-111.716698
"39","I001025",2007,2.7515,59.8833,-111.716698
"40","I001025",2008,2.154,59.8833,-111.716698
"41","I001025",2009,1.989,59.8833,-111.716698
"42","I001025",2010,1.9615,59.8833,-111.716698
"43","I001031",1990,2.8775,59.8833,-111.716698
"44","I001031",1991,3.117,59.8833,-111.716698
"45","I001031",1992,2.5125,59.8833,-111.716698
"46","I001031",1993,2.9645,59.8833,-111.716698
"47","I001031",1994,2.881,59.8833,-111.716698
"48","I001031",1995,3.135,59.8833,-111.716698
"49","I001031",1996,2.696,59.8833,-111.716698
"50","I001031",1997,2.7495,59.8833,-111.716698
"51","I001031",1998,2.3345,59.8833,-111.716698
"52","I001031",1999,1.836,59.8833,-111.716698
"53","I001031",2000,2.519,59.8833,-111.716698
"54","I001031",2001,3.3675,59.8833,-111.716698
"55","I001031",2002,2.5155,59.8833,-111.716698
"56","I001031",2003,2.9715,59.8833,-111.716698
"57","I001031",2004,2.7595,59.8833,-111.716698
"58","I001031",2005,2.549,59.8833,-111.716698
"59","I001031",2006,2.4045,59.8833,-111.716698
"60","I001031",2007,2.8835,59.8833,-111.716698
"61","I001031",2008,2.446,59.8833,-111.716698
"62","I001031",2009,1.7235,59.8833,-111.716698
"63","I001031",2010,2.4015,59.8833,-111.716698
"64","I001041",1990,2.3825,59.8833,-111.716698
"65","I001041",1991,2.366,59.8833,-111.716698
"66","I001041",1992,1.9125,59.8833,-111.716698
"67","I001041",1993,1.375,59.8833,-111.716698
"68","I001041",1994,2.413,59.8833,-111.716698
"69","I001041",1995,3.21,59.8833,-111.716698
"70","I001041",1996,4.1465,59.8833,-111.716698
"71","I001041",1997,5.471,59.8833,-111.716698
"72","I001041",1998,3.8085,59.8833,-111.716698
"73","I001041",1999,1.83,59.8833,-111.716698
"74","I001041",2000,2.4415,59.8833,-111.716698
"75","I001041",2001,3.993,59.8833,-111.716698
"76","I001041",2002,2.0435,59.8833,-111.716698
"77","I001041",2003,3.4295,59.8833,-111.716698
"78","I001041",2004,2.891,59.8833,-111.716698
"79","I001041",2005,4.5345,59.8833,-111.716698
"80","I001041",2006,2.449,59.8833,-111.716698
"81","I001041",2007,2.1755,59.8833,-111.716698
"82","I001041",2008,1.655,59.8833,-111.716698
"83","I001041",2009,1.0835,59.8833,-111.716698
"84","I001041",2010,1.02,59.8833,-111.716698
"85","I001053",1990,2.9925,59.8833,-111.716698
"86","I001053",1991,3.255,59.8833,-111.716698
"87","I001053",1992,2.733,59.8833,-111.716698
"88","I001053",1993,2.4655,59.8833,-111.716698
"89","I001053",1994,3.614,59.8833,-111.716698
"90","I001053",1995,4.42,59.8833,-111.716698
"91","I001053",1996,3.5445,59.8833,-111.716698
"92","I001053",1997,4.14,59.8833,-111.716698
"93","I001053",1998,3.031,59.8833,-111.716698
"94","I001053",1999,2.0105,59.8833,-111.716698
"95","I001053",2000,2.9105,59.8833,-111.716698
"96","I001053",2001,4.4645,59.8833,-111.716698
"97","I001053",2002,3.188,59.8833,-111.716698
"98","I001053",2003,3.3415,59.8833,-111.716698
"99","I001053",2004,4.9645,59.8833,-111.716698
"100","I001053",2005,5.1405,59.8833,-111.716698
"101","I001053",2006,4.7275,59.8833,-111.716698
"102","I001053",2007,4.196,59.8833,-111.716698
"103","I001053",2008,3.729,59.8833,-111.716698
"104","I001053",2009,3.377,59.8833,-111.716698
"105","I001053",2010,3.6675,59.8833,-111.716698
"106","I001212",1990,NA,54.6333,-110.216698
"107","I001212",1991,NA,54.6333,-110.216698
"108","I001212",1992,NA,54.6333,-110.216698
"109","I001212",1993,4.0885,54.6333,-110.216698
"110","I001212",1994,4.8585,54.6333,-110.216698
"111","I001212",1995,6.2995,54.6333,-110.216698
"112","I001212",1996,6.091,54.6333,-110.216698
"113","I001212",1997,6.848,54.6333,-110.216698
"114","I001212",1998,4.6195,54.6333,-110.216698
"115","I001212",1999,3.011,54.6333,-110.216698
"116","I001212",2000,4.3305,54.6333,-110.216698
"117","I001212",2001,5.1085,54.6333,-110.216698
"118","I001212",2002,2.613,54.6333,-110.216698
"119","I001212",2003,3.7435,54.6333,-110.216698
"120","I001212",2004,4.857,54.6333,-110.216698
"121","I001212",2005,5.6345,54.6333,-110.216698
"122","I001212",2006,3.691,54.6333,-110.216698
"123","I001212",2007,3.9145,54.6333,-110.216698
"124","I001212",2008,3.7355,54.6333,-110.216698
"125","I001212",2009,2.4115,54.6333,-110.216698
"126","I001212",2010,2.252,54.6333,-110.216698
"127","I001223",1990,NA,54.6333,-110.216698
"128","I001223",1991,2.607,54.6333,-110.216698
"129","I001223",1992,2.0415,54.6333,-110.216698
"130","I001223",1993,2.8995,54.6333,-110.216698
"131","I001223",1994,3.066,54.6333,-110.216698
"132","I001223",1995,3.613,54.6333,-110.216698
"133","I001223",1996,4.043,54.6333,-110.216698
"134","I001223",1997,3.845,54.6333,-110.216698
"135","I001223",1998,3.0485,54.6333,-110.216698
"136","I001223",1999,1.884,54.6333,-110.216698
"137","I001223",2000,3.5235,54.6333,-110.216698
"138","I001223",2001,4.318,54.6333,-110.216698
"139","I001223",2002,2.0795,54.6333,-110.216698
"140","I001223",2003,3.983,54.6333,-110.216698
"141","I001223",2004,3.6975,54.6333,-110.216698
"142","I001223",2005,4.246,54.6333,-110.216698
"143","I001223",2006,3.209,54.6333,-110.216698
"144","I001223",2007,3.222,54.6333,-110.216698
"145","I001223",2008,3.7185,54.6333,-110.216698
"146","I001223",2009,2.337,54.6333,-110.216698
"147","I001223",2010,2.0675,54.6333,-110.216698
"148","I001232",1990,3.8795,54.6333,-110.216698
"149","I001232",1991,3.924,54.6333,-110.216698
"150","I001232",1992,3.284,54.6333,-110.216698
"151","I001232",1993,3.248,54.6333,-110.216698
"152","I001232",1994,4.3235,54.6333,-110.216698
"153","I001232",1995,4.1035,54.6333,-110.216698
"154","I001232",1996,3.9415,54.6333,-110.216698
"155","I001232",1997,2.8055,54.6333,-110.216698
"156","I001232",1998,2.5615,54.6333,-110.216698
"157","I001232",1999,1.4885,54.6333,-110.216698
