tree,n_missing_total,n_missing_1980_on,n_outliers_total
693011_raw,69,41,3
693012_raw,71,41,3
693021_raw,84,41,2
693022_raw,41,41,6
693031_raw,81,41,4
693032_raw,52,41,4
693041_raw,58,41,2
693042_raw,44,41,2
693051_raw,81,41,6
693052_raw,80,41,3
693061_raw,51,41,4
693062_raw,63,41,4
693071_raw,108,41,2
693072_raw,76,41,2
693081_raw,88,41,3
693082_raw,119,41,2
693091_raw,50,41,5
693092_raw,61,41,4
693101_raw,72,41,3
693102_raw,88,41,4
693111_raw,138,41,2
693112_raw,119,41,3
693121_raw,156,41,0
693122_raw,149,41,1
693131_raw,45,41,2
