# Graumlich - The Dalles - PSME - ITRDB WA062
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3333
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3333.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa062-crn-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa062-crn-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/chronologies/northamerica/usa/wa062.crn
#   Related_Online_Description: CRN File; Chronology - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Graumlich - The Dalles - PSME - ITRDB WA062
#--------------------
# Investigators
#   Investigators: Graumlich, L.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: The Dalles
#   Location: Washington
#   Northernmost_Latitude: 47.07
#   Southernmost_Latitude: 47.07
#   Easternmost_Longitude: -121.57
#   Westernmost_Longitude: -121.57
#   Elevation_m: 790
#--------------------
# Data_Collection
#   Collection_Name: WA062
#   First_Year: 1601
#   Last_Year: 1980
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#---------------------
# Data:
# Missing_Values: NA
age_CE	trsgi	numsamp
1601	1.189	1
1602	0.817	1
1603	0.756	1
1604	0.918	1
1605	0.713	1
1606	1.253	1
1607	0.997	1
1608	1.274	1
1609	0.871	1
1610	1.463	2
1611	1.481	2
1612	1.071	2
1613	1.063	2
1614	1.173	2
1615	1.133	2
1616	1.08	2
1617	0.747	2
1618	0.692	2
1619	0.943	2
1620	0.782	2
1621	0.987	2
1622	0.983	2
1623	1.002	2
1624	1.323	2
1625	1.34	3
1626	1.023	3
1627	0.983	3
1628	0.991	3
1629	1.252	3
1630	0.866	3
1631	1.05	3
1632	1.19	3
1633	1.525	3
1634	1.264	3
1635	0.852	3
1636	1.167	3
1637	1.162	3
1638	1.206	3
1639	0.937	3
1640	1.199	4
1641	1.209	5
1642	0.988	5
1643	1.008	5
1644	0.863	5
1645	1.078	6
1646	1.06	6
1647	0.841	6
1648	1.075	6
1649	0.801	6
1650	0.873	6
1651	0.991	6
1652	0.918	6
1653	0.712	6
1654	1.095	6
1655	0.977	6
1656	0.794	6
1657	0.751	6
1658	0.758	6
1659	0.9	6
1660	0.725	6
1661	0.819	6
1662	0.845	6
1663	0.827	6
1664	0.633	6
1665	0.524	6
1666	0.743	6
1667	0.737	6
1668	0.694	6
1669	0.749	6
1670	0.722	7
1671	0.74	7
1672	0.892	7
1673	0.803	7
1674	0.805	7
1675	0.852	7
1676	0.82	7
1677	0.557	7
1678	0.933	7
1679	0.729	7
1680	0.805	7
1681	0.996	7
1682	1.12	7
1683	1.079	7
1684	0.913	7
1685	1.054	7
1686	1.019	7
1687	1.187	7
1688	0.911	7
1689	0.933	7
1690	0.703	7
1691	0.958	7
1692	0.973	7
1693	0.835	7
1694	0.953	7
1695	0.854	7
1696	0.833	7
1697	1.055	7
1698	0.943	7
1699	1.23	7
1700	1.285	7
1701	0.987	7
1702	1.088	8
1703	1.111	8
1704	1.049	8
1705	0.827	8
1706	0.937	8
1707	1.12	8
1708	0.977	8
1709	1.214	9
1710	1.19	9
1711	1.099	11
1712	1.131	11
1713	1.068	11
1714	1.238	11
1715	1.355	11
1716	1.17	12
1717	0.906	12
1718	1.008	12
1719	1.209	12
1720	1.009	12
1721	0.947	13
1722	1.26	13
1723	1.278	13
1724	1.126	14
1725	1.074	14
1726	1.082	14
1727	1.072	14
1728	0.9	14
1729	1.036	14
1730	0.95	14
1731	1.114	16
1732	1.238	16
1733	1.181	16
1734	0.903	17
1735	1.098	17
1736	0.877	18
1737	1.044	18
1738	1.227	18
1739	0.935	19
1740	1.094	19
1741	1.044	20
1742	1.126	20
1743	1.07	20
1744	0.892	20
1745	0.875	20
1746	0.759	20
1747	0.908	20
1748	0.828	20
1749	0.993	20
1750	1.055	21
1751	1.04	21
1752	1.166	21
1753	1.024	21
1754	0.877	21
1755	0.923	21
1756	0.913	21
1757	0.882	21
1758	0.842	21
1759	0.888	21
1760	0.983	21
1761	1.013	22
1762	1.05	23
1763	1.089	24
1764	0.85	24
1765	1.1	24
1766	1.075	24
1767	0.897	24
1768	0.928	24
1769	0.889	24
1770	1.134	24
1771	1.168	24
1772	1.079	24
1773	1.371	24
1774	1.146	24
1775	1.039	24
1776	0.86	24
1777	1.016	24
1778	1.042	24
1779	1.033	24
1780	0.982	24
1781	0.906	24
1782	0.838	24
1783	0.677	24
1784	0.712	24
1785	0.877	24
1786	1.04	24
