# Graumlich - Frying Pan Creek - PSME - ITRDB WA048
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3312
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3312.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa048-crn-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa048-crn-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/chronologies/northamerica/usa/wa048.crn
#   Related_Online_Description: CRN File; Chronology - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Graumlich - Frying Pan Creek - PSME - ITRDB WA048
#--------------------
# Investigators
#   Investigators: Graumlich, L.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: Frying Pan Creek
#   Location: Washington
#   Northernmost_Latitude: 46.88
#   Southernmost_Latitude: 46.88
#   Easternmost_Longitude: -121.62
#   Westernmost_Longitude: -121.62
#   Elevation_m: 1170
#--------------------
# Data_Collection
#   Collection_Name: WA048
#   First_Year: 1286
#   Last_Year: 1979
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Pseudotsuga menziesii (Mirb.) Franco
#   Common_Name: Douglas-fir
#   Tree_Species_Code: PSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#---------------------
# Data:
# Missing_Values: NA
age_CE	trsgi	numsamp
1286	1.068	1
1287	1.176	1
1288	1.079	2
1289	1.083	3
1290	1.086	5
1291	1.084	5
1292	0.915	5
1293	0.943	5
1294	1.052	5
1295	1.145	5
1296	1.215	5
1297	1.428	5
1298	1.355	5
1299	1.187	5
1300	1.152	5
1301	1.016	6
1302	1.109	6
1303	1.126	7
1304	1.205	7
1305	0.856	7
1306	0.81	7
1307	0.993	7
1308	1.17	7
1309	0.853	7
1310	1.05	7
1311	0.976	7
1312	1.038	7
1313	1.269	7
1314	1.092	7
1315	1.123	7
1316	1.126	7
1317	1.143	7
1318	1.108	7
1319	1.157	7
1320	1.1	7
1321	0.98	7
1322	1.221	7
1323	1.024	8
1324	1.045	8
1325	0.96	8
1326	0.954	8
1327	0.97	8
1328	1.036	8
1329	0.941	8
1330	0.666	8
1331	0.919	8
1332	0.922	8
1333	0.852	8
1334	0.796	8
1335	0.818	9
1336	0.743	9
1337	0.998	10
1338	0.798	10
1339	1.109	11
1340	1.006	11
1341	1.023	11
1342	0.981	11
1343	0.981	11
1344	0.873	11
1345	0.812	11
1346	0.904	11
1347	0.819	12
1348	0.751	12
1349	0.831	12
1350	0.748	13
1351	0.888	13
1352	0.928	13
1353	0.858	13
1354	0.885	13
1355	0.835	14
1356	0.903	14
1357	0.877	14
1358	1.153	14
1359	0.94	14
1360	0.961	14
1361	0.834	14
1362	0.806	14
1363	0.861	14
1364	0.986	14
1365	0.991	14
1366	1.105	14
1367	0.896	14
1368	1.127	14
1369	1.1	14
1370	1.134	14
1371	1.117	14
1372	0.944	14
1373	1.042	14
1374	1.111	14
1375	1.014	14
1376	0.912	14
1377	0.933	14
1378	1.098	14
1379	0.941	14
1380	0.768	14
1381	0.93	15
1382	0.937	15
1383	0.831	15
1384	0.871	15
1385	1.009	15
1386	0.972	15
1387	0.997	15
1388	1.009	15
1389	1.008	15
1390	1.02	15
1391	1.094	15
1392	1.054	15
1393	0.988	15
1394	1.138	15
1395	1.022	15
1396	0.986	15
1397	0.994	15
1398	0.972	15
1399	0.912	15
1400	1.126	16
1401	0.834	16
1402	1.07	17
1403	0.945	17
1404	0.958	17
1405	1.05	17
1406	1.031	17
1407	1.131	17
1408	1.062	17
1409	0.982	17
1410	0.98	17
1411	1.004	17
1412	0.928	17
1413	1.115	17
1414	0.969	17
1415	1.128	17
1416	1.105	18
1417	0.744	18
1418	1.1	18
1419	1.001	18
1420	0.95	18
1421	1.224	18
1422	1.131	18
1423	1.043	18
1424	1.013	18
1425	0.938	18
1426	0.93	18
1427	0.981	18
1428	1.075	18
1429	1.037	18
1430	1.028	18
1431	1.062	18
1432	0.922	18
1433	1.066	18
1434	1.201	18
1435	1.013	18
1436	1.078	18
1437	1.078	18
1438	0.886	18
1439	0.969	18
1440	0.895	19
1441	0.894	19
1442	0.755	19
1443	1.029	19
1444	1.066	19
1445	0.819	20
1446	0.814	20
1447	0.818	20
1448	0.787	20
1449	0.886	20
1450	0.809	20
1451	0.779	20
1452	0.827	20
1453	0.825	20
1454	0.716	20
1455	0.706	20
1456	0.761	21
1457	0.789	21
1458	0.656	21
1459	0.786	21
1460	0.791	21
1461	0.825	21
1462	0.88	22
1463	0.741	22
1464	0.647	22
1465	0.636	22
1466	0.623	22
1467	0.695	22
1468	0.713	22
1469	0.714	22
1470	0.723	23
1471	0.694	23
1472	0.533	23
1473	0.843	23
