# Graumlich - White Pass A - TSME - ITRDB WA066
#----------------------------------------------------
#                World Data Service for Paleoclimatology, Boulder
#                                  and
#                     NOAA Paleoclimatology Program
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------
# Template Version 4.0
# Encoding: UTF-8
# NOTE: Please cite original publication, NOAA Landing Page URL, dataset and publication DOIs (where available), and date accessed when using downloaded data. If there is no publication information, please cite investigator, study title, NOAA Landing Page URL, and date accessed.
#
# Description/Documentation lines begin with #
# Data lines have no #
#
# NOAA_Landing_Page: https://www.ncei.noaa.gov/access/paleo-search/study/3336
#   Landing_Page_Description: NOAA Landing Page of this file's parent study, which includes all study metadata.
#
# Study_Level_JSON_Metadata: https://www.ncei.noaa.gov/pub/data/metadata/published/paleo/json/noaa-tree-3336.json
#   Study_Level_JSON_Description: JSON metadata of this data file's parent study, which includes all study metadata.
#
# Data_Type: Tree Ring
#
# Dataset_DOI:
#
# Science_Keywords: 
#--------------------
# Resource_Links
#
# Data_Download_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/northamerica/usa/wa066-crn-noaa.txt
#   Data_Download_Description: Raw Measurements - NOAA Template File; wa066-crn-noaa.txt
#
# Related_Online_Resource: https://www.ncei.noaa.gov/pub/data/paleo/treering/chronologies/northamerica/usa/wa066.crn
#   Related_Online_Description: CRN File; Chronology - Tucson Decadal File
#
#--------------------
# Contribution_Date
#   Date: 2002-04-26
#--------------------
# File_Last_Modified_Date
#   Date: 2002-04-26
#--------------------
# Title
#   Study_Name: Graumlich - White Pass A - TSME - ITRDB WA066
#--------------------
# Investigators
#   Investigators: Graumlich, L.J.
#--------------------
# Description_Notes_and_Keywords
#   Description: NOAA Template Chronology file added 2018-12-20. NOAA Template Raw Measurements file added 2019-02-08.
#--------------------
# Publication
#   Authors: 
#   Journal_Name: 
#   Published_Title: 
#   Published_Date_or_Year: 
#   Volume: 
#   Pages: 
#   Issue: 
#   Report_Number: 
#   DOI: 
#   Full_Citation: 
#   Abstract: 
#--------------------
# Funding_Agency
#   Funding_Agency_Name:
#   Grant:
#--------------------
# Site_Information
#   Site_Name: White Pass A
#   Location: Washington
#   Northernmost_Latitude: 46.62
#   Southernmost_Latitude: 46.62
#   Easternmost_Longitude: -121.42
#   Westernmost_Longitude: -121.42
#   Elevation_m: 1750
#--------------------
# Data_Collection
#   Collection_Name: WA066
#   First_Year: 1520
#   Last_Year: 1982
#   Time_Unit: CE
#   Core_Length_m:
#   Parameter_Keywords:  ring width
#   Notes: None
#--------------------
# Species
#   Species_Name: Tsuga mertensiana (Bong.) Carrière
#   Common_Name: mountain hemlock
#   Tree_Species_Code: TSME
#--------------------
# Variables
#
# PaST_Thesaurus_Download_Resource: https://www.ncei.noaa.gov/access/paleo-search/skos/past-thesaurus.rdf
#   PaST_Thesaurus_Download_Description: Paleoenvironmental Standard Terms (PaST) Thesaurus terms, definitions, and relationships in SKOS format.
#
# Data variables follow that are preceded by '##' in columns one and two.
# Variables format: shortname-tab-var components: what, material, error, units, seasonality, data type, detail, method, C or N for Character or Numeric data)
#
## age_CE	age,,,year Common Era,,tree ring,,,N,
## trsgi	tree ring standardized growth index,,,,,tree ring,composited,standard chronology method,N,
## numsamp	number of samples,,,count,,tree ring,,,N,
#---------------------
# Data:
# Missing_Values: NA
age_CE	trsgi	numsamp
1520	1.717	1
1521	2.003	1
1522	1.87	1
1523	1.507	1
1524	0.439	1
1525	0.782	1
1526	0.477	1
1527	1.317	2
1528	1.465	2
1529	1.42	2
1530	1.721	2
1531	2.145	2
1532	1.724	2
1533	1.299	2
1534	1.188	2
1535	0.943	2
1536	0.977	2
1537	1.001	2
1538	0.953	2
1539	0.882	2
1540	0.96	2
1541	1.087	2
1542	1.298	2
1543	1.28	2
1544	1.405	2
1545	1.213	2
1546	1.411	2
1547	1.033	2
1548	1.122	2
1549	1.18	2
1550	1.185	2
1551	0.902	2
1552	0.678	2
1553	0.731	3
1554	0.732	3
1555	0.78	3
1556	0.864	3
1557	1.01	3
1558	0.527	3
1559	0.887	3
1560	0.699	3
1561	0.661	3
1562	0.673	3
1563	0.713	3
1564	0.578	3
1565	0.561	3
1566	0.649	3
1567	0.978	3
1568	0.864	3
1569	0.906	3
1570	0.932	3
1571	1.218	3
1572	1.155	3
1573	0.868	4
1574	1.16	4
1575	1.326	4
1576	1.042	4
1577	0.827	4
1578	0.881	5
1579	0.8	5
1580	0.891	5
1581	0.773	6
1582	0.754	6
1583	1.065	6
1584	0.767	6
1585	1.016	6
1586	0.835	7
1587	0.546	7
1588	1.065	7
1589	0.84	7
1590	0.855	9
1591	1.089	9
1592	0.772	9
1593	1.134	9
1594	0.811	9
1595	0.957	9
1596	0.799	9
1597	1.135	9
1598	1.138	9
1599	1.086	9
1600	1.325	9
1601	0.466	9
1602	0.826	10
1603	1.07	10
1604	1.147	10
1605	0.94	10
1606	1.053	11
1607	1.307	11
1608	1.157	11
1609	1.014	11
1610	1.215	11
1611	0.907	11
1612	0.956	11
1613	0.961	11
1614	1.056	11
1615	0.99	11
1616	1.148	11
1617	1.282	11
1618	1.304	11
1619	1.236	11
1620	1.15	12
1621	1.23	12
1622	1.243	12
1623	0.997	12
1624	1.06	12
1625	1.111	12
1626	1.02	13
1627	0.951	13
1628	1.086	13
1629	1.172	13
1630	0.981	13
1631	1.017	13
1632	1.007	13
1633	1.292	13
1634	1.239	13
1635	1.033	13
1636	0.947	13
1637	0.918	13
1638	1.169	13
1639	0.93	13
1640	0.865	13
1641	0.459	14
1642	1.03	14
1643	0.871	14
1644	0.941	14
1645	1.047	14
1646	1.131	14
1647	0.954	14
1648	0.784	14
1649	1.022	14
1650	0.798	15
1651	1.037	15
1652	0.937	15
1653	0.746	16
1654	0.806	16
1655	0.921	17
1656	1.013	18
1657	0.966	18
1658	0.889	18
1659	1.053	18
1660	1.091	19
1661	1.266	19
1662	1.027	19
1663	0.745	21
1664	0.936	21
1665	1.209	21
1666	1.107	21
1667	1.103	21
1668	0.665	21
1669	0.965	21
1670	0.811	21
1671	0.94	21
1672	0.567	21
1673	0.996	21
1674	1.104	21
1675	0.855	21
1676	0.69	21
1677	1.255	21
1678	1.171	21
1679	1.176	21
1680	1.129	21
1681	1.18	21
1682	1.126	21
1683	0.981	21
1684	0.746	21
1685	0.782	21
1686	0.846	21
1687	0.984	21
1688	0.684	21
1689	0.897	21
1690	0.917	21
1691	0.939	21
1692	1.128	21
1693	1.034	21
1694	0.881	21
1695	0.959	21
1696	0.571	21
1697	0.434	21
1698	0.837	21
1699	0.843	21
1700	1.108	22
1701	0.795	22
1702	1.089	22
1703	0.777	23
1704	1.067	23
1705	1.136	23
