tree,n_missing_total,n_missing_1980_on,n_outliers_total
TWP05B_raw,356,45,9
TWP05C_raw,482,45,6
TWP07A_raw,300,45,10
TWP08A_raw,963,38,0
TWP08BB_raw,948,33,0
TWP10A1_raw,529,32,3
TWP10C_raw,793,33,0
TWP10EE_raw,497,45,4
TWP10E2_raw,867,32,1
TWP11A_raw,571,45,9
TWP11A1_raw,997,45,0
TWP11B_raw,859,45,2
TWP11B1_raw,912,45,1
TWP11C_raw,671,45,2
TWP13B_raw,623,45,2
TWP13C_raw,663,45,3
TWP14A_raw,633,45,1
TWP15A_raw,707,32,1
TWP15B_raw,617,32,0
TWP15C_raw,895,45,2
TWP15C1_raw,762,32,2
TWP17A_raw,906,33,1
TWP17B_raw,911,32,0
TWP17C_raw,911,32,0
TWP20B_raw,901,45,1
TWP21A_raw,698,45,1
TWP21B_raw,406,45,0
TWM05A_raw,349,45,9
TWM05C_raw,699,45,2
